Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119)
1.6244292870644012e-15,0.11224537200004903,0.9,0.0,0.0,0.0,0.0,0.09999999999956335,1.1183198338399707e-13,1.1179577635502897e-13,7.726953097507439e-14,7.726953191265087e-14,6.692551859270161e-14,6.692554324654858e-14,6.692371878439088e-14,6.692371885141138e-14,5.967356197525869e-14,5.967356197525869e-14,5.40294933020228e-14,5.402949412903295e-14,3.6159309536564636e-17,4.6206587356936626e-20,1.9546599168069965e-20,4.235982028458807e-21,1.5738935542414323e-22,3.0101793898926117e-26,4.03317193088686e-21,1.5730578928559948e-22,3.1163009949773066e-22,9.516228067611655e-22,5.346478558113388e-26,3.561275316238176e-22,4.409362999424418e-31,2.4528927776769336e-22
3.250269894100188e-15,0.11224537200009808,0.9,0.0,0.0,0.0,0.0,0.09999999999912632,2.2376112860050063e-13,2.2362473603093336e-13,1.5460619328620028e-13,1.5460619712214675e-13,1.3390913393710587e-13,1.3390923261600173e-13,1.3390558052585177e-13,1.3390558079492029e-13,1.1939896892147724e-13,1.1939896892147724e-13,1.0810592712552603e-13,1.0810593043572185e-13,1.362009385410845e-16,1.848988979048409e-19,7.823665800735283e-20,1.695478440929957e-20,1.1906846131077585e-21,2.4099495534075293e-25,1.61423475484088e-20,1.1900156079258168e-21,1.2473325339371421e-21,3.808718928015852e-21,4.28016910732915e-25,1.30816153087285e-21,6.684132282335144e-30,8.98598486032274e-22
6.501951108171761e-15,0.1122453720001962,0.9,0.0,0.0,0.0,0.0,0.09999999999825225,4.4761942290099086e-13,4.47131709513574e-13,3.092795143538776e-13,3.0927953023060087e-13,2.6787621819655983e-13,2.678766130347421e-13,2.6786930094052046e-13,2.6786930202262436e-13,2.3884978281287034e-13,2.3884978281287034e-13,2.1625879228732336e-13,2.1625880553241816e-13,4.869423858054901e-16,7.395083185151041e-19,3.1304310977911274e-19,6.783975789533632e-20,8.579608791322287e-21,1.9286532196532565e-24,6.458462468342866e-20,8.574255222129852e-21,4.990954897374391e-21,1.523781811799042e-20,3.425012628525546e-24,4.485196463618514e-21,9.665574289505907e-29,3.0676175121172947e-21
9.753632322243335e-15,0.1122453720002943,0.9,0.0,0.0,0.0,0.0,0.09999999999737819,6.714777213907034e-13,6.705159914402231e-13,4.639528318669804e-13,4.639528662522012e-13,4.0184315603055585e-13,4.0184399513331656e-13,4.0183301828431886e-13,4.018330205910147e-13,3.583005967032193e-13,3.583005967032193e-13,3.244116549639116e-13,3.2441168311243293e-13,9.600860182902048e-16,1.5711800474141256e-18,6.652723310548892e-19,1.4417113884956798e-19,2.3148791737465362e-20,5.515216932486693e-24,1.3724800512607107e-19,2.313348320466548e-20,1.060679477884604e-20,3.238049949492559e-20,9.79365527636657e-24,8.613459058922253e-21,3.3940896738344706e-28,5.875349540769793e-21
1.3005313536314908e-14,0.1122453720003924,0.9,0.0,0.0,0.0,0.0,0.09999999999650412,8.953360243100584e-13,8.938005370650216e-13,6.186261458255089e-13,6.186262053526116e-13,5.358099474429906e-13,5.358113789117248e-13,5.357967325551567e-13,5.357967365000913e-13,4.777514105925242e-13,4.777514105925242e-13,4.325645151552908e-13,4.32564563175766e-13,1.5326752101140683e-15,2.6797800728125232e-18,1.1349207573532307e-18,2.4594796605183456e-19,4.6408032418123964e-20,1.163369568853727e-23,2.3413019360540705e-19,4.63757421086863e-20,1.809485220182806e-20,5.523543860528713e-20,2.0657439821412374e-23,1.345252886737639e-20,8.260722786030865e-28,9.156126580399728e-21
1.9508675964458054e-14,0.11224537200058864,0.9,0.0,0.0,0.0,0.0,0.09999999999475599,1.3430526410650977e-12,1.3401905511289344e-12,9.27972765400198e-13,9.279728911338325e-13,8.03743186637507e-13,8.037461504110083e-13,8.037241538799119e-13,8.037241620769985e-13,7.166530383686836e-13,7.166530383686836e-13,6.488702297054159e-13,6.488703291306284e-13,2.8562451455963496e-15,5.546585292321516e-18,2.3497822384620956e-18,5.092175433129273e-19,1.169400539625402e-19,3.177643069842521e-23,4.847291233447445e-19,1.168518612962675e-19,3.7464947064976585e-20,1.1434752868994363e-19,5.641893854565068e-23,2.4278660277063035e-20,2.702971351569806e-27,1.647325563589368e-20
2.60120383926012e-14,0.11224537200078487,0.9,0.0,0.0,0.0,0.0,0.09999999999300786,1.7907692753405452e-12,1.7863482026325786e-12,1.2373193719034498e-12,1.2373195890733318e-12,1.0716758874200874e-12,1.0716809280876393e-12,1.0716515638925332e-12,1.0716515778746611e-12,9.555546661410039e-13,9.555546661410039e-13,8.651759351165414e-13,8.651761042175376e-13,4.411100472037214e-15,9.430943895904274e-18,3.99640640589234e-18,8.660511172985928e-19,2.282726665359259e-19,6.64880441168036e-23,8.24375782364188e-19,2.28088145012717e-19,6.371985376267111e-20,1.9445462986497317e-19,1.1803988115694968e-22,3.6487649333179066e-20,6.402064921057747e-27,2.469351234255612e-20
3.901876324888749e-14,0.11224537200117728,0.9,0.0,0.0,0.0,0.0,0.0999999999895116,2.686202604151955e-12,2.678268902284468e-12,1.856012541987928e-12,1.85601302669017e-12,1.6075395211899214e-12,1.6075505037251467e-12,1.6075063467440541e-12,1.607506377358368e-12,1.4333579216730364e-12,1.4333579216730364e-12,1.2977873159295152e-12,1.2977876843778039e-12,7.911855689006472e-15,2.053853041839181e-17,8.707264955797997e-18,1.886909944176441e-18,6.091864904390432e-19,2.0994855514608257e-22,1.7960336048335528e-18,6.086039190955511e-19,1.3883698366406156e-19,4.2355434804330277e-19,3.7264808419360126e-22,6.271682804523339e-20,2.529584758135169e-26,4.2285118076151614e-20
5.072481561954516e-14,0.11224537200153045,0.9,0.0,0.0,0.0,0.0,0.09999999998636497,3.4920926688647572e-12,3.4807038057922015e-12,2.4128363466944033e-12,2.412837168146076e-12,2.089814799548063e-12,2.0898331446575595e-12,2.0897756094098623e-12,2.0897756607065795e-12,1.8633808516376586e-12,1.8633808516376586e-12,1.6871375248432305e-12,1.687138140314277e-12,1.1352242348901275e-14,3.42968373472214e-17,1.4544453380399786e-17,3.1518318633997358e-18,1.1403143759081924e-18,4.425970829401515e-22,2.9999807787911077e-18,1.1390863857527231e-18,2.3191896854752513e-19,7.073303573044841e-19,7.854529517856389e-22,8.749021753990504e-20,5.987925670771615e-26,5.884895066068762e-20
6.243086799020283e-14,0.11224537200188368,0.9,0.0,0.0,0.0,0.0,0.09999999998321833,4.297982799787557e-12,4.283018529417559e-12,2.9696601054182387e-12,2.969661355379816e-12,2.572088184366579e-12,2.572115807320607e-12,2.5720448322365843e-12,2.572044909653408e-12,2.293403781588774e-12,2.293403781588774e-12,2.0764877016078162e-12,2.076488628375422e-12,1.4908978965632467e-14,5.1629621265910653e-17,2.1900052344771044e-17,4.745773509967763e-18,1.8609903628526277e-18,8.050848234165943e-22,4.517108967959532e-18,1.858756902337967e-18,3.4922032067472385e-19,1.064798355919371e-18,1.428494325003155e-21,1.1255143372871175e-19,1.1863375855149402e-25,7.558183162542005e-20
