Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887)
2.148917957966594e-15,0.11224537200006483,0.9,0.0,0.0,0.0,0.0,0.09999999999942237,1.4793980855769592e-13,1.478776968961331e-13,1.0221798118749839e-13,1.022179825975418e-13,8.853412886841988e-14,8.853417164568227e-14,8.853175813873867e-14,8.853175825614381e-14,7.89407024148557e-14,7.894102609594584e-14,7.147430119257035e-14,7.14743022284966e-14,6.202806006902432e-17,8.085452045783e-20,3.420645277214204e-20,7.412942722747349e-21,1.1648498443983256e-18,6.970566290422192e-26,7.057928988878867e-21,3.574474680498221e-22,5.45352670847827e-22,1.6653043018663572e-21,1.2378949909181519e-25,6.057580201311542e-22,1.7226044921853503e-21,4.1684552338808246e-22,2.935674265256897e-22,3.6686513494558573e-22,1.939750909108511e-30,8.426096866392208e-19,3.2360512825459883e-19,1.5011445036088408e-27,1.8040900569804372e-22,6.271418275162664e-23,2.0988625897104584e-31,1.0452925943354058e-22,1.324482947300166e-23,4.7345177194267804e-32,5.011427815428515e-31,6.82688151989408e-27,2.962434760703523e-31,5.688216391126874e-35,2.9628340372232587e-31,1.428371397981947e-35,5.98757008143417e-45,1.3890270647131952e-42,5.110751111831022e-51,2.3347218958466662e-36,1.1389192751909784e-46,2.3109926559558126e-46
4.299702916765479e-15,0.11224537200012974,0.9,0.0,0.0,0.0,0.0,0.09999999999884422,2.960081506970832e-13,2.957782541525714e-13,2.0452476827921697e-13,2.045247741012411e-13,1.7714509166748436e-13,1.7714526302574704e-13,1.7714043174303788e-13,1.771404322147408e-13,1.5794998927923767e-13,1.5795102622648954e-13,1.4301069850459802e-13,1.430107027703356e-13,2.295605467304895e-16,3.2352353846641166e-19,1.3691338477217688e-19,2.9670665948266146e-20,2.3326577048306844e-18,5.579702274240916e-25,2.8248249680049253e-20,2.6600262287348512e-21,2.182831911074323e-21,6.664973068844874e-21,9.90896179517122e-25,2.172859756701808e-21,3.446702021973362e-21,1.4902837781126161e-21,1.0557018777479603e-21,1.3289669175798686e-21,1.4078459756337389e-29,1.2969939728508604e-18,1.0364488796472909e-18,6.012527287892167e-27,5.704295525387957e-22,4.026967497145498e-22,2.454966430605952e-30,3.7574634524878027e-22,9.565685938167338e-23,6.583384250184946e-31,8.199013050183327e-31,2.732531760818885e-26,4.634566028005479e-31,4.5540317873593486e-34,4.635164670742118e-31,5.864835478466702e-35,7.932559385034092e-44,3.264753562353407e-41,2.4238901928843857e-49,3.0193586313373426e-35,1.9940964056276456e-45,5.38115316760642e-45
8.601272834363249e-15,0.11224537200025954,0.9,0.0,0.0,0.0,0.0,0.09999999999768794,5.921448421022128e-13,5.913467300657033e-13,4.0913833624251907e-13,4.0913836060395484e-13,3.543667610186453e-13,3.543674475220994e-13,3.543577735792767e-13,3.543577754781358e-13,3.1596856300536767e-13,3.1597150394568714e-13,2.860834887800311e-13,2.8608350657239075e-13,7.967587940119289e-16,1.2938235677648359e-18,5.478193060999152e-19,1.1871792162385547e-19,4.679659985593389e-18,4.465018309423369e-24,1.1301767045053379e-19,1.8643607619866072e-20,8.734170919174353e-21,2.6663901054038863e-20,7.928563932090929e-24,7.176454522629436e-21,6.894886513673677e-21,4.897273444305752e-21,3.500329748987664e-21,4.45665724153197e-21,9.480942007556899e-29,1.7299008050186645e-18,2.9379981155673876e-18,2.4113543525045796e-26,1.5928412472615361e-21,2.3009313070303598e-21,2.3752647126444586e-29,1.2450616325802547e-21,6.411647414269607e-22,8.224271775900608e-30,1.3794366001493125e-30,1.093368647656623e-25,6.3434685206308e-31,3.644609495064554e-33,6.344073322048278e-31,2.3770253559904256e-34,9.20959262321259e-43,6.434479139363884e-40,9.652763542524924e-48,3.4855390773935287e-34,3.3468628590715e-44,1.1129915774395048e-43
1.2902842751961018e-14,0.11224537200038931,0.9,0.0,0.0,0.0,0.0,0.09999999999653165,8.882815412115765e-13,8.867368693785799e-13,6.13751897985693e-13,6.137519510009385e-13,5.31588174131859e-13,5.315896340993105e-13,5.315751100382018e-13,5.315751140877318e-13,4.739871367288637e-13,4.739922101770061e-13,4.291562747068421e-13,4.291563133720062e-13,1.5417850702926205e-15,2.748769115274827e-18,1.164209032857421e-18,2.5229476126555783e-19,7.041620256501714e-18,1.2768010194185159e-23,2.401704484362345e-19,4.95729769835209e-20,1.8561890478405533e-20,5.665935331518727e-20,2.267061776709714e-23,1.3471561362676725e-20,1.034306064513578e-20,9.165412353791306e-21,6.586133422075864e-21,8.443198414518465e-21,2.469783233494937e-28,1.9361230957082762e-18,5.06623187906823e-18,5.135066822896879e-26,2.7258746768448307e-21,5.549184129599545e-21,6.960048800178363e-29,2.3417969938249362e-21,1.6668173091628093e-21,2.6980084223923105e-29,2.065636166766968e-30,2.3236308800510275e-25,7.273602165027227e-31,1.0422321875060536e-32,7.273852169725202e-31,5.3668433715219084e-34,3.07267711743786e-42,2.5250998879588923e-39,4.1303942970515077e-47,1.1163473825756373e-33,1.2840957675851174e-43,4.498086729235186e-43
1.7204412669558788e-14,0.1122453720005191,0.9,0.0,0.0,0.0,0.0,0.09999999999537537,1.1844182484244151e-12,1.1819902708171299e-12,8.183654535087423e-13,8.183655455648312e-13,7.088093310161456e-13,7.088118230033241e-13,7.087924411161232e-13,7.087924480435291e-13,6.320057104497259e-13,6.320130263501325e-13,5.722290562850313e-13,5.722291233636774e-13,2.423038169188515e-15,4.688111979087794e-18,1.98607431347669e-18,4.303989597251799e-19,9.421275395367338e-18,2.6932305156178126e-23,4.0970242199394483e-19,9.818094691861222e-20,3.1665990621278876e-20,9.664826461688779e-20,4.781719949857187e-23,2.0658939122041536e-20,1.3791224661962017e-20,1.4022052409559764e-20,1.0118617610726785e-20,1.3042646032531922e-20,4.810895217217271e-28,2.0343604887082282e-18,7.302450523173981e-18,8.77923454946842e-26,3.909397604977689e-21,1.0207587457230174e-20,1.459233104637115e-28,3.5967546835497225e-21,3.2418121878019193e-21,6.192067778113224e-29,2.9938041558624537e-30,3.9640398849408946e-25,7.833085217102995e-31,2.1984882109891632e-32,7.832590070811629e-31,9.560911764187014e-34,7.64822421482577e-42,7.07753210978091e-39,1.5855648353836173e-46,2.5286845593664904e-33,3.652929717553772e-43,1.3139042021385168e-42
2.5807552504754327e-14,0.11224537200077869,0.9,0.0,0.0,0.0,0.0,0.0999999999930628,1.7766916826544672e-12,1.772268926047192e-12,1.2275925499565941e-12,1.2275927450019003e-12,1.063251043459095e-12,1.0632562067756382e-12,1.0632270906352422e-12,1.063227105032943e-12,9.480428578852685e-13,9.480547657002989e-13,8.583746092354605e-13,8.583747512253426e-13,4.412487096901374e-15,9.703073568484519e-18,4.112017824084688e-18,8.91103439556695e-19,1.4228221353400074e-17,7.356234463572983e-23,8.482184405271512e-19,2.429817816464731e-19,6.556365566645e-20,2.000706189403841e-19,1.3059178783056105e-22,3.634178367052832e-20,2.0687529827511755e-20,2.458667765655641e-20,1.78451538094728e-20,2.317657110088164e-20,1.162670887997161e-27,2.128634449147106e-18,1.1877088592944128e-17,1.8252078254373282e-25,6.321981452198348e-21,2.2906888842796757e-20,3.8260244477956446e-28,6.340625393897452e-21,7.818457278956285e-21,1.846701475725099e-28,5.609974142191961e-30,8.207447296943665e-25,8.602367086992574e-31,6.005084868169342e-32,8.599272919530838e-31,2.155208288377613e-33,2.763831208259636e-41,3.0724801993835357e-38,1.1267597211034957e-45,7.484498860184544e-33,1.685654779342273e-42,6.28010394894516e-42
3.4410692339949867e-14,0.11224537200103826,0.9,0.0,0.0,0.0,0.0,0.09999999999075024,2.3689651484926065e-12,2.362266319193092e-12,1.6368196235308395e-12,1.636819960976795e-12,1.4176918137318212e-12,1.4177006002760253e-12,1.417661720348174e-12,1.4176617449086795e-12,1.2640800053111252e-12,1.2640965968071966e-12,1.144520146194457e-12,1.1445203917178835e-12,6.681305651045861e-15,1.6497941415892867e-17,6.993499688754947e-18,1.5155324158357799e-18,1.9114827343859437e-17,1.5391834170044763e-22,1.4425556250884096e-18,4.67349070872506e-19,1.1150974101038577e-19,3.402170368119685e-19,2.732156435096816e-22,5.3497105520965276e-20,2.7583800208984697e-20,3.6100741311333675e-20,2.6321744002337638e-20,3.439278015516377e-20,2.1942557421231963e-27,2.138814366622183e-18,1.653582063493812e-17,3.117696168399468e-25,8.770697537060558e-21,4.094135241425637e-20,7.604785767536933e-28,9.349439097653596e-21,1.4732126414291806e-20,4.055300485950069e-28,9.546715616388043e-30,1.3959110776070117e-24,9.085546655272516e-31,1.2565053165395663e-31,9.077859375816006e-31,3.837336612438305e-33,6.556079054705906e-41,8.200755518352761e-38,3.7816710022931923e-45,1.647199154872538e-32,4.5715958785406004e-42,1.7610824858915479e-41
5.1616972010340945e-14,0.1122453720015574,0.9,0.0,0.0,0.0,0.0,0.0999999999861251,3.553512187278779e-12,3.541860133759809e-12,2.4552736955704167e-12,2.4552744494039162e-12,2.1265702608929077e-12,2.126589421543206e-12,2.1265309147040174e-12,2.1265309684648232e-12,1.896154300131033e-12,1.896180307634672e-12,1.71681116760218e-12,1.7168117158492592e-12,1.1613669865240475e-14,3.59284389820143e-17,1.5237045779048697e-17,3.3019122999894052e-18,2.9184113385815626e-17,4.860175787574355e-22,3.1428391913856534e-18,1.211682339795491e-18,2.429647145814523e-19,7.409721699887821e-19,8.624553319032294e-22,8.932285383187177e-20,4.137624050984079e-20,6.007322807462659e-20,4.406692285627815e-20,5.805621570189108e-20,5.499191392259885e-27,2.136424141615196e-18,2.5876034543482515e-17,6.874546290700515e-25,1.367612856940112e-20,9.463973536143896e-20,2.0363837998310076e-27,1.5645668177192033e-20,3.6824812729157384e-20,1.3139126366315395e-27,2.2493943895076778e-29,3.041502398808079e-24,9.98866201925733e-31,3.967829383724066e-31,9.961850681058597e-31,8.645921685097339e-33,2.2994090309236193e-40,3.529771138659876e-37,2.454195084762321e-44,5.603841763759093e-32,2.2620258743286938e-41,9.130076834077001e-41
6.710262371369291e-14,0.11224537200202463,0.9,0.0,0.0,0.0,0.0,0.09999999998196249,4.619604643731269e-12,4.603222782577704e-12,3.191882275764539e-12,3.1918835531659748e-12,2.7645573776371574e-12,2.764589399947613e-12,2.7645131162920913e-12,2.7645132063378883e-12,2.4650211654331075e-12,2.4650556840730448e-12,2.2318730276944233e-12,2.2318739566238153e-12,1.6317534722826434e-14,5.999619012245188e-17,2.545138545524853e-17,5.515326099894411e-18,3.859207938408984e-17,1.0245718066402036e-21,5.24961673211524e-18,2.2265262444922178e-18,4.0585818398419884e-19,1.2373056704552372e-18,1.817728076128937e-21,1.2243243405495006e-19,5.378933478853532e-20,8.218000368619208e-20,6.049606534068074e-20,8.009200254105329e-20,9.89747723754914e-27,2.126885161553035e-18,3.42896145760785e-17,1.1607591950938798e-24,1.8093316907716368e-20,1.6284192654069576e-19,3.7855756452171066e-27,2.1473237049434638e-20,6.6175589312222e-20,2.7342466263401637e-27,4.0078564051691186e-29,5.0806499480758865e-24,1.0796976710210693e-30,8.364945905033361e-31,1.0739074684084041e-30,1.46214547858668e-32,5.146623764210211e-40,8.709065009733262e-37,7.759362223962624e-44,1.2239839643677649e-31,6.212307980808157e-41,2.5511910128019926e-40
8.258827541704488e-14,0.11224537200249188,0.9,0.0,0.0,0.0,0.0,0.09999999997779987,5.6856972164554475e-12,5.6645017940408775e-12,3.928490775494008e-12,3.928492718392376e-12,3.402541181138516e-12,3.4025894162564768e-12,3.4024952481715857e-12,3.402495384008539e-12,3.033888030701109e-12,3.03393108247679e-12,2.746934831532083e-12,2.7469362444110523e-12,2.109832817271567e-14,9.031736235461652e-17,3.832253059485926e-17,8.304413068567206e-18,4.834027739025429e-17,1.8636763273958535e-21,7.904448092037581e-18,3.580768992591492e-18,6.111355459489728e-19,1.8624471986552684e-18,3.3056607502781943e-21,1.556409743180835e-19,6.620234997042965e-20,1.0433794644805646e-19,7.698389346336943e-20,1.0225193481567443e-19,1.567075095997476e-26,2.1233780697381557e-18,4.269716247535975e-17,1.7675598828558552e-24,2.2507910567587307e-20,2.499418350753164e-19,6.11868440755458e-27,2.73210529349116e-20,1.0465930857879662e-19,4.818620353563706e-27,6.350793980516174e-29,7.650371391017318e-24,1.1652228641198529e-30,1.5216360732651148e-30,1.1545850124514984e-30,2.2157828484713536e-32,9.70610287751989e-40,1.7587104880527834e-36,1.913866320850261e-43,2.2802396282312427e-31,1.3680459649002717e-40,5.6979351480842255e-40
