Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65)
1.947622295551684e-15,0.11224537200005875,0.9,0.0,0.0,0.0,0.0,0.09999999999947647,1.3408183793343168e-13,1.3403042789019057e-13,9.26429129683122e-14,9.264291412271577e-14,8.024087213008482e-14,8.02409072656137e-14,8.023871992831956e-14,8.023872002472233e-14,7.154608740635487e-14,7.154635955352677e-14,6.477908669226407e-14,6.477908754064294e-14,5.1341399382934875e-17,6.641839806206827e-20,2.809818782698596e-20,6.089211092981787e-21,1.0556788435306495e-18,5.188039662589412e-26,5.7976232314673695e-21,2.680124648511015e-22,4.4796826541253865e-22,1.3679397599040324e-21,9.214552905789507e-26,5.030030127476443e-22,1.5612430572179456e-21,3.4625541431621753e-22,2.4370521018468297e-22,3.043231137216867e-22,1.458144071770789e-30,7.848825200726532e-19,2.7208941592060905e-19,1.2330304647234496e-27,1.5191884957041452e-22,4.7789485011820857e-23,1.4629418028412734e-31,8.677870359293168e-23,9.964299711573078e-24,3.2405386936558793e-32,4.647375432653956e-31,5.607795531267685e-27
3.896936704305411e-15,0.11224537200011761,0.9,0.0,0.0,0.0,0.0,0.09999999999895248,2.6828016912040984e-13,2.6808861413603555e-13,1.8536631329849e-13,1.853663180557351e-13,1.6055138817525077e-13,1.6055152891421513e-13,1.6054715056926362e-13,1.6054715095647716e-13,1.431543347489188e-13,1.4315521994508e-13,1.2961445289521288e-13,1.2961445638230246e-13,1.9127918436267787e-16,2.6576677190878184e-19,1.12464807783343e-19,2.437239792831347e-20,2.1137463722513386e-18,4.153536115584694e-25,2.320418901894494e-20,2.006893453648636e-21,1.7930404986026205e-21,5.474889170633111e-21,7.376698359883112e-25,1.820450915479337e-21,3.1238395962130844e-21,1.249294739276697e-21,8.840928508989585e-22,1.1115241570006136e-21,1.066838809359992e-29,1.2300499626194266e-18,8.848122207115886e-19,4.9381006613634344e-27,4.879624383575188e-22,3.11391316098899e-22,1.7498917057714007e-30,3.1468928281624963e-22,7.253478931607101e-23,4.555841096039945e-31,7.668269315226923e-31,2.24457965807258e-26
7.795565521812864e-15,0.1122453720002352,0.9,0.0,0.0,0.0,0.0,0.09999999999790452,5.366768372430122e-13,5.360044591365268e-13,3.708131088494473e-13,3.7081312871997944e-13,3.211722097756139e-13,3.2117277357580024e-13,3.2116400743901135e-13,3.211640089972234e-13,2.863708294318831e-13,2.863733863253432e-13,2.59285181729028e-13,2.592851962479661e-13,6.712677206640942e-16,1.062879635827042e-18,4.499963644305204e-19,9.751881441504533e-20,4.238614447385684e-18,3.324010945654645e-24,9.283761606378119e-20,1.4211615640909788e-20,7.174497538460344e-21,2.1903209113214646e-20,5.902725581116697e-24,6.09606400050423e-21,6.24902396470867e-21,4.1634136371100464e-21,2.9714853220767303e-21,3.776305510463297e-21,7.275277716760085e-29,1.6760521645523277e-18,2.5545905091147503e-18,1.9797370695131625e-26,1.3879299082574066e-21,1.810526141495804e-21,1.744430035124777e-29,1.0570602372420091e-21,4.9234006137756335e-22,5.797699556046487e-30,1.265564256746084e-30,8.981242439335053e-26
1.1694194339320318e-14,0.11224537200035285,0.9,0.0,0.0,0.0,0.0,0.09999999999685655,8.05073511587648e-13,8.03763153808135e-13,5.562598992910126e-13,5.56259942510095e-13,4.817928208927242e-13,4.817940198818971e-13,4.81780859892637e-13,4.817808632152063e-13,4.2958732411268376e-13,4.295917767526406e-13,3.8895590699076064e-13,3.889559385242205e-13,1.3079894671263565e-15,2.2581571497267276e-18,9.56320094346552e-19,2.0724361702800391e-19,6.3750682282895755e-18,9.505389074879747e-24,1.9728700927784996e-19,3.799295874223299e-20,1.5247267167118302e-20,4.654366726533166e-20,1.6878315265968253e-23,1.1539006635537692e-20,9.374199769476203e-21,7.857900592464781e-21,5.637248797857446e-21,7.211336435026539e-21,1.9073325175796507e-28,1.8994714381645723e-18,4.446951715431633e-18,4.2146386267068035e-26,2.3974856539924386e-21,4.399884120858904e-21,5.177533500050022e-29,2.0046405802449656e-21,1.2881498869566501e-21,1.9181218985692993e-29,1.8353763549241286e-30,1.908696787247143e-25
1.5592823156827772e-14,0.11224537200047047,0.9,0.0,0.0,0.0,0.0,0.09999999999580858,1.0734701924911206e-12,1.071398672264549e-12,7.417066846231893e-13,7.417067596568474e-13,6.424132215332972e-13,6.424152680379263e-13,6.423977079270946e-13,6.423977136104255e-13,5.728038187913209e-13,5.728102802593297e-13,5.186266286804109e-13,5.186266833747258e-13,2.0674682824626628e-15,3.851398383536047e-18,1.6314298542884291e-18,3.5354514915173635e-19,8.525342661763953e-18,2.0050448478879957e-23,3.36548972023707e-19,7.558284282076118e-20,2.6011349406751232e-20,7.939398134963319e-20,3.5600427508924136e-23,1.7812475240257378e-20,1.2499367184380823e-20,1.2101983392978318e-20,8.717723278264473e-21,1.1211196109262372e-20,3.7343188263982686e-28,2.0113905636870327e-18,6.4508130564200285e-18,7.203359830642819e-26,3.459742716684342e-21,8.136352210699435e-21,1.0962650106909085e-28,3.0991793037127152e-21,2.5182151716897295e-21,4.433538653711383e-29,2.5785558983075626e-30,3.256175604303051e-25
2.339008079184268e-14,0.11224537200070574,0.9,0.0,0.0,0.0,0.0,0.09999999999371263,1.6102635703781478e-12,1.606458456839886e-12,1.1126002432961243e-12,1.1126004022930848e-12,9.63653528859727e-13,9.636577691261475e-13,9.636313936177848e-13,9.636314054290731e-13,8.59236808143517e-13,8.592474029112754e-13,7.779680636762532e-13,7.779681794542615e-13,3.796689909559681e-15,7.971402133768208e-18,3.3777607970859016e-18,7.319864195721005e-19,1.2863450440723851e-17,5.476587041054884e-23,6.967680669467763e-19,1.8828371118303333e-19,5.385585989693855e-20,1.643555615138456e-19,9.722867375750631e-23,3.1621711761622355e-20,1.874968294540519e-20,2.1415084334584443e-20,1.5515057375316957e-20,2.0102048788575942e-20,9.090078599168817e-28,2.1234896435560983e-18,1.057027487412385e-17,1.4967297460777834e-25,5.6346734246982666e-21,1.837475580566738e-20,2.9128502969073924e-28,5.5134214995718676e-21,6.117254088941109e-21,1.3365050557078476e-28,4.646093086391656e-30,6.741831664051076e-25
3.118733842685759e-14,0.112245372000941,0.9,0.0,0.0,0.0,0.0,0.09999999999161668,2.1470569739812166e-12,2.1412527671770633e-12,1.483493783180025e-12,1.48349405834982e-12,1.2848930622446445e-12,1.2849002780382876e-12,1.2848650630417388e-12,1.284865083190057e-12,1.145669797487757e-12,1.1456846277291327e-12,1.0373094855362757e-12,1.037309685785644e-12,5.78983328612571e-15,1.3553700438994998e-17,5.744727141726597e-18,1.2449196091658232e-18,1.7264723737102604e-17,1.145901000746376e-22,1.1849865907531394e-18,3.6408042385601896e-19,9.159728697937092e-20,2.7948876014024884e-19,2.0341828820047772e-22,4.6888227722206255e-20,2.4999969581475496e-20,3.167224157311546e-20,2.305202329757812e-20,3.004891932862782e-20,1.7252992393001932e-27,2.13966124267624e-18,1.4785664115062456e-17,2.5551446007819113e-25,7.851422464269483e-21,3.2983475724993693e-20,5.847817317877105e-28,8.189077302404511e-21,1.1592209525797182e-20,2.9601086462467566e-28,7.743956390692243e-30,1.146641232807433e-24
4.67818536968874e-14,0.11224537200141152,0.9,0.0,0.0,0.0,0.0,0.0999999999874248,3.2206438687728904e-12,3.2104372905186396e-12,2.225280801251216e-12,2.225281416600222e-12,1.927369587939016e-12,1.9273853237154734e-12,1.9273323484426715e-12,1.9273323925515744e-12,1.718535776150111e-12,1.7185591307575303e-12,1.555992286122883e-12,1.5559927336869186e-12,1.0175092141445457e-14,2.951668899296241e-17,1.2516355302045577e-17,2.7123418809304325e-18,2.6305528627199915e-17,3.618366784539665e-22,2.5816817142166033e-18,9.535781989661152e-19,1.995781573342001e-19,6.087338628590287e-19,6.421501079924331e-22,7.906340352755817e-20,3.750045722324262e-20,5.321752337399989e-20,3.897961434396784e-20,5.1248354335067914e-20,4.366539545369199e-27,2.1397799341794387e-18,2.3248666909820507e-17,5.625921860730174e-25,1.2296722125306312e-20,7.667702288068295e-20,1.592127654740238e-27,1.3840948453683006e-20,2.925980526629263e-20,9.776290416002713e-28,1.8014991798205792e-29,2.498376939124893e-24
6.081691743991423e-14,0.112245372001835,0.9,0.0,0.0,0.0,0.0,0.09999999998365211,4.186872173656669e-12,4.1724199941518295e-12,2.8928890479883404e-12,2.892890091573153e-12,2.5055955976962875e-12,2.5056218968674124e-12,2.5055528450666997e-12,2.5055529189579505e-12,2.2341151569167884e-12,2.2341462191216866e-12,2.0228067580430334e-12,2.0228075169549877e-12,1.4399407001137843e-14,4.9289260874137705e-17,2.0906939055796488e-17,4.5305661268047375e-18,3.472214594828265e-17,7.627906545328274e-22,4.3122855409836405e-18,1.7635242636653724e-18,3.3338350582086317e-19,1.0165229033083444e-18,1.3534436469718119e-21,1.090019657117226e-19,4.875080784123623e-20,7.32147968027438e-20,5.383039777142271e-20,7.114468819433348e-20,7.90536638018998e-27,2.1282697089804322e-18,3.0876986255811004e-17,9.487605904985428e-25,1.6301409995058965e-20,1.323239674258356e-19,2.987606324882966e-27,1.9108947084976744e-20,5.288830519082205e-20,2.058619138910443e-27,3.206046378466959e-29,4.173390961476285e-24
7.485198118294107e-14,0.11224537200225847,0.9,0.0,0.0,0.0,0.0,0.09999999997987942,5.153100573970752e-12,5.134305262072898e-12,3.560497228629498e-12,3.5604988169882482e-12,3.0838188857188675e-12,3.0838585010822803e-12,3.0837732844259e-12,3.083773395912342e-12,2.7496945376554772e-12,2.749733323724739e-12,2.489621183754059e-12,2.489622338798002e-12,1.871564814456896e-14,7.419911456963677e-17,3.1480028915342136e-17,6.821699864467661e-18,4.341628865037992e-17,1.387508204156953e-21,6.4930796925756416e-18,2.850375321283395e-18,5.020041937744854e-19,1.5301667387914248e-18,2.461391911477755e-21,1.3910040397248354e-19,6.000108772564412e-20,9.330064611038504e-20,6.877200297873284e-20,9.121587740767784e-20,1.2571156101866429e-26,2.123504292574075e-18,3.84985605900473e-17,1.4429805290930831e-24,2.0303104568973607e-20,2.034948983623755e-19,4.8613296897145606e-27,2.440848215869745e-20,8.400395997592857e-20,3.663513366554052e-27,5.087548078580701e-29,6.284233518759687e-24
