Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370)
2.0305366088072714e-15,0.11224537200006127,0.9,0.0,0.0,0.0,0.0,0.09999999999945418,1.3978997939663067e-13,1.3973427414584652e-13,9.658691353289369e-14,9.658691478941291e-14,8.365689062304258e-14,8.365692881515686e-14,8.365464832017918e-14,8.365464842498154e-14,7.459195246804573e-14,7.459224543840497e-14,6.75368664975597e-14,6.753686742086373e-14,5.563062494309455e-17,7.219292881010696e-20,3.0541494989674087e-20,6.6187040643486915e-21,1.1006446981330376e-18,5.88098278973503e-26,6.301746981213839e-21,3.0282991537415798e-22,4.869220275888246e-22,1.4868860171355784e-21,1.0443920287353308e-25,5.44303053494194e-22,1.6277083410270453e-21,3.746317788323357e-22,2.637438896386404e-22,3.294492555734202e-22,1.6458269898828014e-30,8.090639419935308e-19,2.9290547764590135e-19,1.3402734101797545e-27,1.6343813147059337e-22,5.363614469850263e-23,1.705335001932374e-31,9.391244699020718e-23,1.124299061737673e-23,3.8060292314791884e-32,4.799301576354132e-31,6.095429926603459e-27,2.841060807413696e-31,4.798981497375123e-35,2.841444190372719e-31,1.2716026920358357e-35
4.062837367578754e-15,0.11224537200012259,0.9,0.0,0.0,0.0,0.0,0.09999999999890788,2.7970141149019626e-13,2.794944230613712e-13,1.9325774086568685e-13,1.9325774604798394e-13,1.6738638693262952e-13,1.673865399186326e-13,1.6738197501707208e-13,1.673819754380724e-13,1.4924871114944174e-13,1.49249658035186e-13,1.351324083882403e-13,1.3513241218620649e-13,2.0668855673067634e-16,2.888700272013747e-19,1.222442480628289e-19,2.6491707693836787e-20,2.2039024907457277e-18,4.707481005250074e-25,2.5221822920103345e-20,2.2617858471508726e-21,1.9489570635914264e-21,5.950926255438282e-21,8.360018811716408e-25,1.962637206510758e-21,3.2568276547782533e-21,1.3465499609879544e-21,9.533190657881831e-22,1.1991922768504612e-21,1.2001469460829658e-29,1.2584394418152096e-18,9.464568030875138e-19,5.367833488162245e-27,5.215132850148442e-22,3.4734948873520786e-22,2.020857168377452e-30,3.393201264953798e-22,8.157559901997709e-23,5.326566436265555e-31,7.889140561331381e-31,2.4397604990673383e-26,4.48989338456729e-31,3.8421031800973117e-34,4.490477385062787e-31,5.228714958321185e-35
8.12743888512172e-15,0.11224537200024523,0.9,0.0,0.0,0.0,0.0,0.0999999999978153,5.595242819741206e-13,5.588010572218967e-13,3.8659938997758e-13,3.86599411640161e-13,3.3484515075898033e-13,3.348457636369189e-13,3.3483662361465623e-13,3.348366253090763e-13,2.9856222850988205e-13,2.985649425242279e-13,2.703234882869032e-13,2.703235041122241e-13,7.220172630210865e-16,1.15526040764678e-18,4.891256169946179e-19,1.0599847776530926e-19,4.4201933204786795e-18,3.767030205133843e-24,1.0090969299296458e-19,1.5948077856967077e-20,7.798366890571786e-21,2.3807514092732584e-20,6.689231618616707e-24,6.534428911115892e-21,6.515056828078368e-21,4.461270348628083e-21,3.186008777273428e-21,4.05208411347956e-21,8.141573364712973e-29,1.6992912033042012e-18,2.7114586866678617e-18,2.1523352372848237e-26,1.4718228508907182e-21,2.004759801154758e-21,1.9894016750768465e-29,1.1333252527398934e-21,5.508054779602197e-22,6.726500826659994e-30,1.3115452821963167e-30,9.762220053279424e-26,6.213898643439242e-31,3.0748502385331875e-33,6.214526273740001e-31,2.120766071829055e-34
1.2192040402664685e-14,0.11224537200036788,0.9,0.0,0.0,0.0,0.0,0.09999999999672271,8.393471592704433e-13,8.379417713956753e-13,5.799410335357867e-13,5.799410806638743e-13,5.023036858001188e-13,5.023049891726444e-13,5.02291267411667e-13,5.022912710249027e-13,4.478757458679706e-13,4.478804532290538e-13,4.0551456430286773e-13,4.055145986823825e-13,1.4028122738734835e-15,2.4544095946876607e-18,1.039475886781427e-18,2.2526413324856676e-19,6.649399343300528e-18,1.0772062731874752e-23,2.144405152432821e-19,4.2539267976042817e-20,1.6573116490932605e-20,5.059002231743375e-20,1.9127005435566776e-23,1.2325738316206864e-20,9.773276716584494e-21,8.390365684743035e-21,6.023429341156939e-21,7.712277395666856e-21,2.1287545784814636e-28,1.9155360650568948e-18,4.7010674581756194e-18,4.5826474176462076e-26,2.5323055456846865e-21,4.8561398424014134e-21,5.872802751507838e-29,2.1418637523651687e-21,1.4372562533471156e-21,2.217574163271066e-29,1.9269325788041596e-30,2.074670424084212e-25,7.166216293841823e-31,8.793007574728367e-33,7.16656741357793e-31,4.789184277170827e-34
1.625664192020765e-14,0.11224537200049049,0.9,0.0,0.0,0.0,0.0,0.09999999999563013,1.119170043741554e-12,1.116953617732236e-12,7.732826715403106e-13,7.732827533670763e-13,6.697619920636553e-13,6.697642167477571e-13,6.697459064047965e-13,6.697459125855515e-13,5.971892632237074e-13,5.971960758371088e-13,5.407056364361342e-13,5.40705696072962e-13,2.212019229245569e-15,4.186097672361425e-18,1.7732880957557913e-18,3.842867968307859e-19,8.893958118332311e-18,2.272213913720194e-23,3.658105843108125e-19,8.446948545380975e-20,2.827320589078888e-20,8.629586470556675e-20,4.034313417333384e-23,1.897417607375099e-20,1.3031487521655268e-20,1.2885876274013005e-20,9.289300459085085e-21,1.195782386632622e-20,4.158906109993299e-28,2.0216076502496892e-18,6.800849491351766e-18,7.833331220914425e-26,3.644625267689926e-21,8.959825713993174e-21,1.2383088813582715e-28,3.3022034478724123e-21,2.803659992864792e-21,5.110525176387819e-29,2.7427798330650564e-30,3.539321315938582e-25,7.740281577085583e-31,1.854800083862018e-32,7.740017922841414e-31,8.532817063675077e-34
2.438584495529358e-14,0.11224537200073581,0.9,0.0,0.0,0.0,0.0,0.09999999999344496,1.678815830250874e-12,1.674758807632845e-12,1.1599659345152083e-12,1.1599661079011066e-12,1.004678067687309e-12,1.0046826771473894e-12,1.0046551731094629e-12,1.004655185954902e-12,8.958162979296615e-13,8.958274331067494e-13,8.110877715902124e-13,8.110878978311834e-13,4.0478609697320706e-15,8.66410051651222e-18,3.6714648582679244e-18,7.956335647443052e-19,1.3424632793642239e-17,6.206282318060205e-23,7.573487026214357e-19,2.0984419752622988e-19,5.853897819893814e-20,1.7864204879972791e-19,1.1018046541129573e-22,3.355436712823611e-20,1.9547888530819467e-20,2.2714123382607505e-20,1.646888289789026e-20,2.135961414981468e-20,1.0092943346224162e-27,2.1259577610497822e-18,1.110820657840443e-17,1.6280051424093473e-25,5.917643888456966e-21,2.0179561766447284e-20,3.271744861516364e-28,5.852051663586358e-21,6.789986771544454e-21,1.5336815496673172e-28,5.026632334749831e-30,7.3280779154521785e-25,8.519256827770972e-31,5.066314141077011e-32,8.516818087817304e-31,1.9236564315593254e-33
3.251504799037951e-14,0.11224537200098107,0.9,0.0,0.0,0.0,0.0,0.09999999999125979,2.23846164483036e-12,2.2322915905624606e-12,1.5466491770672427e-12,1.5466494771008992e-12,1.3395933020773391e-12,1.3396011461304272e-12,1.3395644221316433e-12,1.3395644440441836e-12,1.1944433326269673e-12,1.19445888810013e-12,1.0814698924662254e-12,1.0814701107914525e-12,6.154421240382939e-15,1.4731447627328257e-17,6.244238776732262e-18,1.3531654373102053e-18,1.8025029940255344e-17,1.2985739469872237e-22,1.2880150078989698e-18,4.048624279897315e-19,9.956226857833236e-20,3.0378104203331565e-19,2.3051395673797895e-22,4.9600609649937647e-20,2.606425812753595e-20,3.349024734799181e-20,2.4393676329508188e-20,3.1830103433458606e-20,1.9110483940661317e-27,2.1393919210077565e-18,1.5506479553473765e-17,2.7799048816977525e-25,8.230054978923074e-21,3.615570390984275e-20,6.54049474748131e-28,8.665221278166008e-21,1.2836177042281443e-20,3.384676633742333e-28,8.456369416217172e-30,1.2463491703513531e-24,8.98822173109808e-31,1.0600767167638851e-31,8.981916087671305e-31,3.4253553636029105e-33
4.877345406055137e-14,0.11224537200147161,0.9,0.0,0.0,0.0,0.0,0.09999999998688945,3.357753369384985e-12,3.3469536445281607e-12,2.32001559510978e-12,2.3200162657740737e-12,2.009421008855191e-12,2.009438114514197e-12,2.009382862079719e-12,2.009382910048345e-12,1.791697401993182e-12,1.7917218490939507e-12,1.6222340873340812e-12,1.622234575113648e-12,1.0765480720507063e-14,3.2081494031561705e-17,1.360463975335602e-17,2.948172275998614e-18,2.7487163746175294e-17,4.1004312925836085e-22,2.8061462179452035e-18,1.055837317206946e-18,2.1693278018515676e-19,6.616322498668046e-19,7.276739309399029e-22,8.32840506468005e-20,3.909690562921501e-20,5.603832466177388e-20,4.1072224595677083e-20,5.404751821863174e-20,4.8164527092728844e-27,2.1382997626537377e-18,2.4330985771357253e-17,6.124463319239729e-25,1.2864950810023516e-20,8.384564174056366e-20,1.7680749205001286e-27,1.4583316186854677e-20,3.226532843239318e-20,1.108839539373172e-27,1.9790046715799178e-29,2.7156271217765808e-24,9.842662039922718e-31,3.3475413794075758e-31,9.820233200805895e-31,7.718291165831805e-33
6.340601952370604e-14,0.1122453720019131,0.9,0.0,0.0,0.0,0.0,0.09999999998295614,4.365116029846867e-12,4.349870550151388e-12,3.016045295775296e-12,3.016046432780971e-12,2.6122628326499158e-12,2.6122914209915066e-12,2.6122193925578253e-12,2.61221947290971e-12,2.3292260643907736e-12,2.32925854980651e-12,2.1089218098805905e-12,2.108922636721213e-12,1.5188087017376877e-14,5.3572199717310763e-17,2.2724735028757663e-17,4.924474811400564e-18,3.630924765223075e-17,8.644123415236436e-22,4.687220202089712e-18,1.947317449096713e-18,3.6237337698019195e-19,1.1048424655651753e-18,1.533682831244078e-21,1.145322707975214e-19,5.082619444590954e-20,7.690668616809607e-20,5.657497236659806e-20,7.482791882989287e-20,8.697926855274335e-27,2.1276344032136092e-18,3.2282723549149555e-17,1.0333600615213489e-24,1.7039528484224288e-20,1.445097952875382e-19,3.304402226426392e-27,2.0082448500387995e-20,5.817543343088003e-20,2.3232741048204253e-27,3.524402969095228e-29,4.5362945535106104e-24,1.0596015807386114e-30,7.057259730457557e-31,1.0547363323858857e-30,1.3053202521207862e-32
7.803858498686072e-14,0.1122453720023546,0.9,0.0,0.0,0.0,0.0,0.09999999997902283,5.372478794078007e-12,5.35269580488765e-12,3.712074924597371e-12,3.7120766546404664e-12,3.215101698101088e-12,3.2151447612700304e-12,3.2150558607933005e-12,3.215055982018919e-12,2.8667547267579417e-12,2.8667952690432325e-12,2.595609482199792e-12,2.5956107402800314e-12,1.969635500794319e-14,8.064665674574064e-17,3.421706125996562e-17,7.414793686309316e-18,4.5433954553025355e-17,1.5723530763709913e-21,7.0576298980651e-18,3.1407175850567436e-18,5.456567344463001e-19,1.6630906574153852e-18,2.789146998946043e-21,1.4591360063160282e-19,6.255540895344128e-20,9.784710522127186e-20,7.215447417790885e-20,9.576121632982738e-20,1.380564111094556e-26,2.1234344325312404e-18,4.0227995718316384e-17,1.5724389366700615e-24,2.121127650272771e-20,2.220474233973152e-19,5.361285533694379e-27,2.5608172288375382e-20,9.223143760371125e-20,4.117404829826933e-27,5.58979464331467e-29,6.830688662892345e-24,1.1393703074610315e-30,1.2837597631756234e-30,1.1304156732692568e-30,1.9781722614509018e-32
