Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19)
1.3771769323904617e-15,0.11224537200004153,0.9,0.0,0.0,0.0,0.0,0.09999999999962982,9.481017632350128e-14,9.478390458140882e-14,6.550843259072495e-14,6.550843259072495e-14,5.673887249379014e-14,5.6738889587562375e-14,5.673734349364966e-14,5.673734349364966e-14,5.0590723573107534e-14,5.0590723573107534e-14,4.5805731900008177e-14,4.5805731900008177e-14,2.62385297144473e-17,3.321237799148511e-20,1.4049136785321018e-20,3.0446354455724146e-21,0.0
2.755550369500637e-15,0.11224537200008315,0.9,0.0,0.0,0.0,0.0,0.0999999999992593,1.8970272465029026e-13,1.896029033594701e-13,1.310737795448018e-13,1.310737795448018e-13,1.1352700605503989e-13,1.1352707447422534e-13,1.1352398094313849e-13,1.1352398094313849e-13,1.0122540085888692e-13,1.0122540085888692e-13,9.165126026538512e-14,9.165126026538512e-14,9.968838465533431e-17,1.329061648287704e-19,5.62327471200331e-20,1.2186438334794597e-20,0.0
5.512297243720988e-15,0.11224537200016635,0.9,0.0,0.0,0.0,0.0,0.09999999999851827,3.794878213024619e-13,3.7912551096767397e-13,2.622044734519839e-13,2.622044734519839e-13,2.2710317048445787e-13,2.2710344424670967e-13,2.2709725584127455e-13,2.2709725584127455e-13,2.0249475542969527e-13,2.0249475542969527e-13,1.8334231699545953e-13,1.8334231699545953e-13,3.6177874629406983e-16,5.315884938917259e-19,2.2500092898963724e-19,4.876132284243261e-20,0.0
8.269044117941339e-15,0.11224537200024952,0.9,0.0,0.0,0.0,0.0,0.09999999999777724,5.692729179532271e-13,5.685515816262131e-13,3.933351673581941e-13,3.933351673581941e-13,3.406792322231641e-13,3.406798140183524e-13,3.40670530738569e-13,3.40670530738569e-13,3.037641099997532e-13,3.037641099997532e-13,2.7503337372485446e-13,2.7503337372485446e-13,7.20206869234861e-16,1.1294577791820873e-18,4.781679018449667e-19,1.0362728647315226e-19,0.0
1.102579099216169e-14,0.11224537200033272,0.9,0.0,0.0,0.0,0.0,0.09999999999703621,7.590580146025859e-13,7.578968827475225e-13,5.244658612634328e-13,5.244658612634328e-13,4.542551912735283e-13,4.5425618378915336e-13,4.5424380563502183e-13,4.5424380563502183e-13,4.0503346456906065e-13,4.0503346456906065e-13,3.6672443045356993e-13,3.6672443045356993e-13,1.1592054322576499e-15,1.9264228058696674e-18,8.157314955271686e-19,1.767841296232209e-19,0.0
1.653928474060239e-14,0.11224537200049899,0.9,0.0,0.0,0.0,0.0,0.09999999999555416,1.138628207898003e-12,1.136437068098941e-12,7.867272490716295e-13,7.867272490716295e-13,6.814068683783559e-13,6.8140892332878e-13,6.813903554259522e-13,6.813903554259522e-13,6.075721737059144e-13,6.075721737059144e-13,5.501065439094062e-13,5.501065439094062e-13,2.1871524111443256e-15,3.987387917637899e-18,1.6889256531287135e-18,3.660247711359014e-19,0.0
2.2052778489043094e-14,0.11224537200066534,0.9,0.0,0.0,0.0,0.0,0.09999999999407211,1.5181984011882484e-12,1.5147770271899286e-12,1.0489886368762527e-12,1.0489886368762527e-12,9.085581678812106e-13,9.08561662865312e-13,9.085369052137878e-13,9.085369052137878e-13,8.101108828400084e-13,8.101108828400084e-13,7.334886573627439e-13,7.334886573627439e-13,3.414594073210502e-15,6.779925109451041e-18,2.8724582592437044e-18,6.225258421179701e-19,0.0
3.30797659859245e-14,0.11224537200099809,0.9,0.0,0.0,0.0,0.0,0.09999999999110801,2.277338787751757e-12,2.2710858675636235e-12,1.5735114124737657e-12,1.5735114124737657e-12,1.3628595270721117e-12,1.3628671419282128e-12,1.3628300047792963e-12,1.3628300047792963e-12,1.2151883010991352e-12,1.2151883010991352e-12,1.100252884261215e-12,1.100252884261215e-12,6.2381547686977466e-15,1.47654194356723e-17,6.2584766389475865e-18,1.3563794621175047e-18,0.0
4.410675348280591e-14,0.11224537200133079,0.9,0.0,0.0,0.0,0.0,0.0999999999881439,3.0364791742928805e-12,3.0270684644576173e-12,2.0980341880558117e-12,2.0980341880558117e-12,1.8171592520347719e-12,1.817172620977717e-12,1.8171231043314085e-12,1.8171231043314085e-12,1.620265719346317e-12,1.620265719346317e-12,1.4670171111488704e-12,1.4670171111488704e-12,9.384795827531275e-15,2.5914007731845047e-17,1.0987591157013868e-17,2.3813517878921466e-18,0.0
5.5133740979687314e-14,0.11224537200166353,0.9,0.0,0.0,0.0,0.0,0.0999999999851798,3.79561956081154e-12,3.782889281871149e-12,2.6225569636223366e-12,2.6225569636223366e-12,2.271457337266278e-12,2.2714781000137786e-12,2.2714162038700782e-12,2.2714162038700782e-12,2.0253431375815126e-12,2.0253431375815126e-12,1.833781338025674e-12,1.833781338025674e-12,1.2690043603433677e-14,4.0235336957463615e-17,1.7064310915282485e-17,3.698436584970813e-18,0.0
