Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98)
1.816167155237982e-15,0.1122453720000548,0.9,0.0,0.0,0.0,0.0,0.09999999999951181,1.2503195852174638e-13,1.2498703018228773e-13,8.638996184586777e-14,8.638996284747451e-14,7.48250012839536e-14,7.482503183489399e-14,7.482299218634309e-14,7.482299227015026e-14,6.671707051728905e-14,6.67173108494654e-14,6.04068098513158e-14,6.040681067168282e-14,4.4868665705944866e-17,5.775638356570147e-20,2.443322395150409e-20,5.294970791466041e-21,9.843939984769035e-19,4.206848586097743e-26,5.0414337427169284e-21,2.1834135327559295e-22,3.8953762214186654e-22,1.1895192097649907e-21,7.47187641407081e-26,4.405216369983386e-22,1.455866750383767e-21,3.0331422325741147e-22,2.133956454774561e-22,2.663409802696329e-22,1.1899179813889605e-30,7.453385893661709e-19,2.402928180737946e-19,1.0721727683476049e-27,1.343029519304767e-22,3.9356470275150005e-23
3.633912214172956e-15,0.11224537200010967,0.9,0.0,0.0,0.0,0.0,0.09999999999902319,2.501725474442009e-13,2.500044036151475e-13,1.7285497865087216e-13,1.728549827728755e-13,1.4971495026968323e-13,1.4971507263993451e-13,1.4971099003993788e-13,1.4971099037649616e-13,1.334921054741359e-13,1.3349289532045843e-13,1.2086610069177474e-13,1.2086610405084726e-13,1.6790411818310695e-16,2.311104114559346e-19,9.7795622294117e-20,2.1193426519384843e-20,1.9708487782013487e-18,3.367998881103469e-25,2.0177712194503837e-20,1.6417007099949456e-21,1.5591656511137187e-21,4.7608242238386075e-21,5.98163088104103e-25,1.6038506671232524e-21,2.912995812990095e-21,1.1010755223708739e-21,7.786722170588013e-22,9.781496665843769e-22,8.752725935249276e-30,1.1825318541303295e-18,7.895872808686676e-19,4.293597196435379e-27,4.3606046759116405e-22,2.590297588049678e-22
7.269402332042906e-15,0.11224537200021936,0.9,0.0,0.0,0.0,0.0,0.09999999999804596,5.004537302238463e-13,4.998591356260991e-13,3.4578500781792507e-13,3.4578502501233187e-13,2.99494665205599e-13,2.994951553989712e-13,2.994869819110059e-13,2.9948698326504584e-13,2.6704217538630095e-13,2.6704448619224003e-13,2.417846792661812e-13,2.4178469318110506e-13,5.936297591897662e-16,9.242997447114587e-19,3.913022849584593e-19,8.479926528738061e-20,3.950981185571797e-18,2.6953619965080422e-24,8.072934971278038e-20,1.1706355243939797e-20,6.238693510706337e-21,1.904667708814622e-20,4.7864609724209364e-24,5.421334680106348e-21,5.827246349265673e-21,3.70468008907614e-21,2.6414446740300652e-21,3.352604076935526e-21,6.019963187482345e-29,1.6358133865454256e-18,2.3092811714953434e-18,1.7209643771785183e-26,1.256569811912769e-21,1.5246963469500596e-21
1.0904892449912854e-14,0.11224537200032904,0.9,0.0,0.0,0.0,0.0,0.09999999999706873,7.507349183473025e-13,7.49570706111067e-13,5.187150325420277e-13,5.187150699240902e-13,4.492741971114168e-13,4.4927523954776473e-13,4.492629699425567e-13,4.492629728294533e-13,4.0059224529693725e-13,4.0059629629828685e-13,3.6270325473407634e-13,3.627032848802628e-13,1.1621546029986833e-15,1.963757419405204e-18,8.315858319904003e-19,1.8021268798902369e-19,5.940759974934416e-18,7.707702798081711e-24,1.7155639079114311e-19,3.1410024767145905e-20,1.3258493183116997e-20,4.0473921531414385e-20,1.3686535202456992e-23,1.032057036379828e-20,8.741489409783006e-21,7.032713806682205e-21,5.039465078701505e-21,6.437094163685837e-21,1.5851325913751163e-28,1.8707943041524837e-18,4.047275639279277e-18,3.6630422794828355e-26,2.18522126038861e-21,3.725535134514829e-21
1.4540382567782802e-14,0.11224537200043873,0.9,0.0,0.0,0.0,0.0,0.0999999999960915,1.0010161121113958e-12,9.991684081418783e-13,6.916450528231831e-13,6.916451177119837e-13,5.990535459925822e-13,5.990553252661328e-13,5.990389541319464e-13,5.990389590697188e-13,5.341423152060448e-13,5.341482205591591e-13,4.836218270954602e-13,4.836218792923055e-13,1.844183828608666e-15,3.349311131648265e-18,1.4186412819467422e-18,3.0743235130205255e-19,7.94211200287798e-18,1.6258464319650404e-23,2.926559080163492e-19,6.267711143976763e-20,2.2618564685118454e-20,6.904070677604527e-20,2.8868345908000534e-23,1.6004731140375304e-20,1.1655725130311083e-20,1.088133773341186e-20,7.828748545341384e-21,1.005180199141499e-20,3.1144501580488306e-28,1.9926082948706077e-18,5.898436993433043e-18,6.25937680292549e-26,3.1677668203570532e-21,6.915794113216467e-21
2.1811362803522698e-14,0.11224537200065808,0.9,0.0,0.0,0.0,0.0,0.09999999999413701,1.5015785134976825e-12,1.498164897877214e-12,1.0375050829581733e-12,1.0375052204586174e-12,8.986118142241512e-13,8.986155007753419e-13,8.985909134874517e-13,8.985909237486919e-13,8.012424550206722e-13,8.012521894297813e-13,7.254589645274364e-13,7.254590747867485e-13,3.406298081999284e-15,6.9322714153199454e-18,2.937201400007505e-18,6.365148105020896e-19,1.1976474121775248e-17,4.440849343721508e-23,6.058957477262171e-19,1.5683868558563234e-19,4.683118245864237e-20,1.4292460310251038e-19,7.884330443747353e-23,2.859535324459008e-20,1.7484179833398063e-20,1.9379629401921362e-20,1.4022202676003334e-20,1.813682854580145e-20,7.619359940489471e-28,2.1182787295256114e-18,9.718717149481026e-18,1.3001161023633447e-25,5.186550628370459e-21,1.5691214206825312e-20
2.9082343039262594e-14,0.11224537200087749,0.9,0.0,0.0,0.0,0.0,0.09999999999218254,2.002140937077777e-12,1.9969081893379363e-12,1.3833650967548713e-12,1.3833653347633914e-12,1.1981694094540306e-12,1.1981756829761817e-12,1.1981428586997416e-12,1.1981428762036094e-12,1.068342594829678e-12,1.0683562663081396e-12,9.672960905356633e-13,9.672962809695838e-13,5.2202619410290586e-15,1.1786937075793363e-17,4.995452773461847e-18,1.0825490020575742e-18,1.606429036637598e-17,9.291882069602109e-23,1.0304416877491987e-18,3.043978860944277e-19,7.964981461527854e-20,2.430477696883834e-19,1.649543581423545e-22,4.262124944611531e-20,2.331260890516051e-20,2.881070629984949e-20,2.0942323065627075e-20,2.725190827664597e-20,1.4519502365965816e-27,2.1397265761070303e-18,1.364321973635596e-17,2.218679480651555e-25,7.251230014870005e-21,2.8257377621325455e-20
4.3624303510742385e-14,0.11224537200131626,0.9,0.0,0.0,0.0,0.0,0.09999999998827358,3.0032658601094816e-12,2.993992078222558e-12,2.075085070699041e-12,2.075085603304611e-12,1.7972823902368593e-12,1.7972960713868335e-12,1.7972467026515026e-12,1.7972467409739225e-12,1.6025428744292306e-12,1.6025644728191243e-12,1.4509703050405208e-12,1.4509707299284875e-12,9.246429937145706e-15,2.566918473477545e-17,1.0883906788766969e-17,2.3585904001422318e-18,2.4443712953923017e-17,2.9340718302865763e-22,2.2449806074709714e-18,8.030193559136996e-19,1.7354622318174365e-19,5.293781812795511e-19,5.207388058338719e-22,7.239116915222873e-20,3.4969390849274475e-20,4.875679934952959e-20,3.5672389595886234e-20,4.6828401892593847e-20,3.700847303140081e-27,2.142432719642144e-18,2.1532413937261437e-17,4.880481043665614e-25,1.1395680725240677e-20,6.597279436132633e-20
5.6712067935074203e-14,0.11224537200171113,0.9,0.0,0.0,0.0,0.0,0.09999999998475552,3.9042783772176295e-12,3.891078479701e-12,2.6976329867905765e-12,2.6976338905553805e-12,2.3364815829920307e-12,2.3365044486630965e-12,2.3364401098292953e-12,2.3364401740332995e-12,2.0833231260480256e-12,2.083351888209943e-12,1.8862770558224438e-12,1.8862777756778368e-12,1.3154051189967733e-14,4.286438019543717e-17,1.818019906511227e-17,3.939690687786876e-18,3.222574507875412e-17,6.185355838877836e-22,3.749877208506652e-18,1.491929173481803e-18,2.8989869935739403e-19,8.8402649239607e-19,1.0975662533373602e-21,1.0024155797959593e-19,4.5460415333135916e-20,6.736562265548507e-20,4.9483402790559e-20,6.531388762925694e-20,6.729109598500838e-27,2.129508330890514e-18,2.864804804824058e-17,8.2238519840159625e-25,1.5131075863396445e-20,1.1410838470566722e-19
6.979983235940602e-14,0.11224537200210603,0.9,0.0,0.0,0.0,0.0,0.09999999998123746,4.805290977240704e-12,4.788058121021804e-12,3.3201808454073573e-12,3.320182221627849e-12,2.8756784089405615e-12,2.8757128528899507e-12,2.875633467209763e-12,2.875633564090949e-12,2.564103377647045e-12,2.564139309974791e-12,2.321583766417955e-12,2.3215848614674337e-12,1.716364289875402e-14,6.45271163572061e-17,2.7374396671816756e-17,5.93203655565412e-18,4.0247620197680165e-17,1.1251127949126956e-21,5.646246076816223e-18,2.4201788693257337e-18,4.365253832829281e-19,1.3307498341972987e-18,1.9960828183572288e-21,1.2829929800060023e-19,5.595137505559203e-20,8.609260159334914e-20,6.341000779791804e-20,8.401207530129208e-20,1.0735217205729023e-26,2.1236899896235027e-18,3.57565755553237e-17,1.249773103057271e-24,1.8863233802777628e-20,1.7574372809712275e-19
