Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825)
2.8148162974465197e-15,0.11224537200008491,0.9,0.0,0.0,0.0,0.0,0.09999999999924337,1.9378281991352525e-13,1.9367888610128782e-13,1.3389289301847977e-13,1.3389289301847977e-13,1.1596872488301822e-13,1.1596879627693064e-13,1.159656362106817e-13,1.159656362106817e-13,1.0340254027174866e-13,1.0340254027174866e-13,9.362248062380468e-14,9.362248062380468e-14,1.037951288218816e-16,1.3868341552552197e-19,5.86776306272259e-20,1.2716125244084191e-20,1.565312395259522e-25,1.565312395259522e-25
5.630854833841127e-15,0.11224537200016992,0.9,0.0,0.0,0.0,0.0,0.09999999999848641,3.8764978347247304e-13,3.872732343609339e-13,2.6784392450413525e-13,2.6784392450413525e-13,2.319876624225346e-13,2.3198794808733096e-13,2.31981626582681e-13,2.31981626582681e-13,2.0684997960466442e-13,2.0684997960466442e-13,1.8728561364815092e-13,1.8728561364815092e-13,3.759944190808733e-16,5.54692458258814e-19,2.347834296918563e-19,5.0880114019645726e-20,1.2527038053095591e-24,1.2527038053095591e-24
8.446893370235734e-15,0.11224537200025486,0.9,0.0,0.0,0.0,0.0,0.09999999999772945,5.815167470299535e-13,5.807679460695723e-13,4.0179495598877676e-13,4.0179495598877676e-13,3.4800649280668517e-13,3.480070998968531e-13,3.479976169538022e-13,3.479976169538022e-13,3.1029741893679714e-13,3.1029741893679714e-13,2.809487466717882e-13,2.809487466717882e-13,7.47622417956604e-16,1.1785424245465657e-18,4.989573862998585e-19,1.0812919942751302e-19,3.582263482137689e-24,3.582263482137689e-24
1.1262931906630341e-14,0.11224537200033984,0.9,0.0,0.0,0.0,0.0,0.09999999999697248,7.753837105859663e-13,7.74179586223915e-13,5.357459874724044e-13,5.357459874724044e-13,4.640252160379959e-13,4.64026251705497e-13,4.640136073240453e-13,4.640136073240453e-13,4.137448582681468e-13,4.137448582681468e-13,3.7461187969471635e-13,3.7461187969471635e-13,1.2021142246650307e-15,2.010137386311669e-18,8.51197187237956e-19,1.8446275756271055e-19,7.556370422443714e-24,7.556370422443714e-24
1.6895008979419558e-14,0.11224537200050975,0.9,0.0,0.0,0.0,0.0,0.09999999999545856,1.1631176376945478e-12,1.1608488497208508e-12,8.036480504372799e-13,8.036480504372799e-13,6.960624110272982e-13,6.960645553207237e-13,6.960455880624701e-13,6.960455880624701e-13,6.206397369290081e-13,6.206397369290081e-13,5.619381457389089e-13,5.619381457389089e-13,2.2646273230712094e-15,4.160650625801736e-18,1.762354758525715e-18,3.8191802758763257e-19,2.063961895190612e-23,2.063961895190612e-23
2.2527086052208772e-14,0.11224537200067969,0.9,0.0,0.0,0.0,0.0,0.09999999999394463,1.550851564797733e-12,1.5473137333336727e-12,1.0715501133984265e-12,1.0715501133984265e-12,9.280992119983737e-13,9.28102858932721e-13,9.280775687976655e-13,9.280775687976655e-13,8.2753461558699e-13,8.2753461558699e-13,7.49264411780494e-13,7.49264411780494e-13,3.530756948439516e-15,7.074515620791616e-18,2.997342633507352e-18,6.495485278966258e-19,4.318580561927914e-23,4.318580561927914e-23
3.37912401977872e-14,0.11224537200101956,0.9,0.0,0.0,0.0,0.0,0.09999999999091677,2.3263194189863826e-12,2.3198687507100954e-12,1.6073542393084762e-12,1.6073542393084762e-12,1.392171520226942e-12,1.3921794661461107e-12,1.3921415302574518e-12,1.3921415302574518e-12,1.241324372893498e-12,1.241324372893498e-12,1.1239169438551034e-12,1.1239169438551034e-12,6.435261328607302e-15,1.540694768004097e-17,6.530568166741622e-18,1.4152146335269148e-18,1.3636815296700918e-22,1.3636815296700918e-22
4.5055394343365626e-14,0.11224537200135942,0.9,0.0,0.0,0.0,0.0,0.09999999998788892,3.1017872731516733e-12,3.0920965370462997e-12,2.143158365202386e-12,2.143158365202386e-12,1.8562421231842887e-12,1.8562560733455206e-12,1.856205491703259e-12,1.856205491703259e-12,1.655114130187542e-12,1.655114130187542e-12,1.4985694759184272e-12,1.4985694759184272e-12,9.663696205233245e-15,2.7039900140646957e-17,1.1465275774107405e-17,2.4845752869387e-18,3.1017092513818518e-22,3.1017092513818518e-22
5.6319548488944054e-14,0.11224537200169929,0.9,0.0,0.0,0.0,0.0,0.09999999998486106,3.877255127293525e-12,3.864164500108762e-12,2.6789624910801006e-12,2.6789624910801006e-12,2.3203110151314982e-12,2.3203326805309036e-12,2.320269453135039e-12,2.320269453135039e-12,2.0689038874690785e-12,2.0689038874690785e-12,1.873222007970427e-12,1.873222007970427e-12,1.3048643731649872e-14,4.198345311266664e-17,1.780616762175859e-17,3.858641995205992e-18,5.897890408989759e-22,5.897890408989759e-22
6.758370263452248e-14,0.11224537200203914,0.9,0.0,0.0,0.0,0.0,0.0999999999818332,4.6527229814119096e-12,4.636163465456622e-12,3.2147666169416005e-12,3.2147666169416005e-12,2.7843781942632634e-12,2.7844092877022435e-12,2.7843334145527768e-12,2.7843334145527768e-12,2.4826936447380928e-12,2.4826936447380928e-12,2.247874540011089e-12,2.247874540011089e-12,1.6499275470800875e-14,6.024048448765059e-17,2.5554712499260036e-17,5.537725336496518e-18,1.001144397488269e-21,1.001144397488269e-21
