Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60)
1.9263361668555878e-15,0.11224537200005813,0.9,0.0,0.0,0.0,0.0,0.09999999999948218,1.3261641864706566e-13,1.3256608557599602e-13,9.163039172390893e-14,9.163039285281424e-14,7.936389675499005e-14,7.936393112639621e-14,7.936176770443524e-14,7.936176779873841e-14,7.076413947543185e-14,7.07644063705053e-14,6.407109728036496e-14,6.407109811003301e-14,5.02659224683501e-17,6.497474757181595e-20,2.748736078017767e-20,5.956837781067201e-21,1.0441354534010822e-18,5.0197879079332454e-26,5.671591979037142e-21,2.5951637832017513e-22,4.3822982486796035e-22,1.3382031003634573e-21,8.915724556115805e-26,4.926347556774311e-22,1.544179795150604e-21,3.391306706544012e-22,2.3867506305384415e-22,2.980177246608919e-22,1.4123059955045022e-30,7.785809134608549e-19,2.6683906430239593e-19,1.2062202872551992e-27,1.4901177533328077e-22,4.635507384340911e-23,1.404894149898815e-31,8.498794900059443e-23,9.651945714543356e-24,3.105916879684751e-32,4.60790997085607e-31
3.8543459533174795e-15,0.11224537200011629,0.9,0.0,0.0,0.0,0.0,0.09999999999896393,2.6534805733870076e-13,2.6516038192557535e-13,1.833403911583824e-13,1.8334039580955384e-13,1.5879667702498443e-13,1.5879681470233881e-13,1.5879248424880232e-13,1.5879248462757122e-13,1.4158975952311715e-13,1.415906290753818e-13,1.281978589891978e-13,1.281978623986964e-13,1.87405629572018e-16,2.5999083797090064e-19,1.1001994566287742e-19,2.3842569933947625e-20,2.090604204802362e-18,4.018834564938534e-25,2.2699778432783826e-20,1.9445637789116667e-21,1.754061357355021e-21,5.355879137143453e-21,7.137477494303626e-25,1.784635137772091e-21,3.0896983110603006e-21,1.2247915820411896e-21,8.666580807069443e-22,1.0894552277815551e-21,1.0341926432385199e-29,1.2225688173889257e-18,8.69179402026062e-19,4.83067540298953e-27,4.794482060372578e-22,3.0252829355635575e-22,1.684542512867449e-30,3.0848578929337545e-22,7.032036940867264e-23,4.371698994707985e-31,7.610991506100357e-31
7.710365526241262e-15,0.11224537200023264,0.9,0.0,0.0,0.0,0.0,0.09999999999792741,5.308113403342759e-13,5.301517962731341e-13,3.6676038502900483e-13,3.6676040445248683e-13,3.176620316507297e-13,3.176625831822692e-13,3.1765391302140566e-13,3.176539145455769e-13,2.8324099961637125e-13,2.8324351643270155e-13,2.564513789124349e-13,2.564513931054424e-13,6.584579423730865e-16,1.0397837361353606e-18,4.402140348793656e-19,9.539889415220421e-20,4.192018450291747e-18,3.216212219506503e-24,9.081958462427448e-20,1.378554019429385e-20,7.018530200466946e-21,2.142712677014703e-20,5.7113138121228634e-24,5.985088688387222e-21,6.180726819852922e-21,4.087987317563959e-21,2.9171892482353423e-21,3.7065516867192026e-21,7.062260408184707e-29,1.6698287859148972e-18,2.5145758797658813e-18,1.936597833842146e-26,1.3665171082225824e-21,1.7624072908461374e-21,1.6848103332275605e-29,1.0377568007171113e-21,4.779608894525403e-22,5.5744757363651114e-30,1.253950885140177e-30
1.1566385099165045e-14,0.11224537200034902,0.9,0.0,0.0,0.0,0.0,0.0999999999968909,7.962746294049047e-13,7.949883194424107e-13,5.50180373901309e-13,5.501804161452651e-13,4.765271803687296e-13,4.765283532638482e-13,4.76515337473994e-13,4.765153407239228e-13,4.248922397075087e-13,4.2489662719993683e-13,3.8470489534124353e-13,3.8470492616467614e-13,1.2839934516285958e-15,2.209092338228934e-18,9.355310993119431e-19,2.0273847531857685e-19,6.304690421869439e-18,9.197127695823037e-24,1.9299860379489107e-19,3.687545241309454e-20,1.491580483630726e-20,4.553206106759827e-20,1.6331005644669485e-23,1.1339246262621387e-20,9.271746945711569e-21,7.722658957390005e-21,5.5392171272357776e-21,7.084266121952443e-21,1.8527748095706593e-28,1.89510686140545e-18,4.3819542075174304e-18,4.122670874379644e-26,2.36298498485482e-21,4.286615886540703e-21,5.0076639397028746e-29,1.9698051879628085e-21,1.2514028936669326e-21,1.8459581890669057e-29,1.812587252925949e-30
1.5422404672088828e-14,0.11224537200046532,0.9,0.0,0.0,0.0,0.0,0.09999999999585438,1.0617379248808627e-12,1.0597031504943376e-12,7.336003577752981e-13,7.336004311142634e-13,6.353921231854818e-13,6.353941251482971e-13,6.353767576035874e-13,6.353767631626087e-13,5.665434797965297e-13,5.665498513177089e-13,5.129584082756237e-13,5.129584617368412e-13,2.0308111148877464e-15,3.767720474370394e-18,1.5959651949386384e-18,3.4585971053987586e-19,8.430804051670931e-18,1.9400211704183234e-23,3.2923351702104237e-19,7.33953039662621e-20,2.544588528610717e-20,7.766847374146811e-20,3.44460489108657e-23,1.7516832157779945e-20,1.2362758855886112e-20,1.1902425662421921e-20,8.57229815192125e-21,1.1021376913022093e-20,3.6295344977778955e-28,2.0085760196024936e-18,6.361141406550685e-18,7.045947389832664e-26,3.412363322825459e-21,7.931642590874287e-21,1.0614588640260081e-28,3.0475222199407882e-21,2.4477550125518017e-21,4.270026721785164e-29,2.537900428167592e-30
2.3134443817936393e-14,0.11224537200069805,0.9,0.0,0.0,0.0,0.0,0.09999999999378134,1.5926645315418376e-12,1.5889234879026664e-12,1.1004403137925407e-12,1.1004404691991885e-12,9.531215256015198e-13,9.531256735755265e-13,9.530995877103836e-13,9.530995992632285e-13,8.498459599696041e-13,8.498564161142725e-13,7.694654259431749e-13,7.694655391103957e-13,3.732804439563815e-15,7.798220858692697e-18,3.304334511434546e-18,7.160745603747071e-19,1.2719598259897577e-17,5.298982337673264e-23,6.816227985642057e-19,1.8296536985311868e-19,5.2685080322648784e-20,1.6078383929358934e-19,9.407607133692185e-23,3.1128394936223254e-20,1.8544763993177366e-20,2.108340153192803e-20,1.5271647834407717e-20,1.97813609170416e-20,8.842040735471197e-28,2.1227624663157605e-18,1.0432267562355667e-17,1.4639355789522769e-25,5.562064299238859e-21,1.792542082522228e-20,2.824570409818047e-28,5.427002143148469e-21,5.950832730756733e-21,1.288720485144063e-28,4.552075157788721e-30
3.084648296378396e-14,0.1122453720009307,0.9,0.0,0.0,0.0,0.0,0.0999999999917083,2.1235911633311167e-12,2.1178802307594284e-12,1.4672802514292055e-12,1.4672805203937156e-12,1.2708501708992086e-12,1.2708572296373358e-12,1.2708224019043733e-12,1.2708224216117856e-12,1.133148440134895e-12,1.1331630842499778e-12,1.0259724307604673e-12,1.025972626498597e-12,5.696873806699552e-15,1.3259252212714339e-17,5.619848667304669e-18,1.2178579995920965e-18,1.7069928432015478e-17,1.108739868826952e-22,1.159229304508617e-18,3.540039854596463e-19,8.960604158245172e-20,2.7341547965691036e-19,1.968227736055477e-22,4.61943715208688e-20,2.4726740582519435e-20,3.1207058912886556e-20,2.2708884137987464e-20,2.959365953596299e-20,1.67928124319539e-27,2.139705829760711e-18,1.460063662404404e-17,2.499010128930997e-25,7.754224962546689e-21,3.2192958052911075e-20,5.676955778740119e-28,8.067295374996913e-21,1.1283963575792704e-20,2.856940567390124e-28,7.567816281066228e-30
4.627056125547909e-14,0.1122453720013961,0.9,0.0,0.0,0.0,0.0,0.09999999998756223,3.1854445125430885e-12,3.1753896438091235e-12,2.200960066347156e-12,2.2009606678854805e-12,1.906304975651497e-12,1.90632036897288e-12,1.906267978007722e-12,1.9062680211519382e-12,1.6997534004399192e-12,1.6997764746289758e-12,1.5389863981992985e-12,1.5389868357227646e-12,1.0024071896822681e-14,2.8875464005259135e-17,1.2244282403132451e-17,2.6533838005442217e-18,2.6003088311703155e-17,3.50102657186392e-22,2.525565242381863e-18,9.282382789869068e-19,1.9523950163161044e-19,5.955086035155493e-19,6.213316318244428e-22,7.798125711897173e-20,3.709060967396623e-20,5.249418089202709e-20,3.8443149031926835e-20,5.05310499624341e-20,4.254787333982242e-27,2.1401831063058847e-18,2.2970783610111136e-17,5.501481304408842e-25,1.2150832407742176e-20,7.488870071744731e-20,1.5485455464751263e-27,1.3650629844012926e-20,2.851315114520178e-20,9.455631476348801e-28,1.7575009061430778e-29
6.015223171800471e-14,0.11224537200181493,0.9,0.0,0.0,0.0,0.0,0.09999999998383077,4.141112624207308e-12,4.1268637052920715e-12,2.861271831757819e-12,2.861272852011962e-12,2.478211498796276e-12,2.4782372256948242e-12,2.4781689375735536e-12,2.4781690098499326e-12,2.209697864685639e-12,2.2097285616259303e-12,2.0006989213431407e-12,2.000699663291083e-12,1.4197301128419737e-14,4.821848839774811e-17,2.0452486297469807e-17,4.432087940418635e-18,3.431626206424122e-17,7.380543975535806e-22,4.218551373258085e-18,1.7179001922393857e-18,3.2613603805355416e-19,9.944416167971793e-19,1.3095685757785754e-21,1.0758271741315152e-19,4.821800505487475e-20,7.226727432874607e-20,5.3126098894105613e-20,7.019972705110427e-20,7.708219169509714e-27,2.1284492695298537e-18,3.0516078622516803e-17,9.276537050534056e-25,1.6111909975449088e-20,1.2928248087056058e-19,2.9089617606703174e-27,1.8859129430523625e-20,5.1572965425953775e-20,1.993714889256465e-27,3.127002485864703e-29
7.403390218053033e-14,0.11224537200223378,0.9,0.0,0.0,0.0,0.0,0.09999999998009931,5.0967808292169475e-12,5.078238829781437e-12,3.521583532509384e-12,3.5215850854776255e-12,3.0501153593597866e-12,3.0501541127947362e-12,3.0500698411190744e-12,3.0500699501709854e-12,2.7196423289039795e-12,2.7196806642932156e-12,2.462411399282405e-12,2.4624125285899845e-12,1.8464077873061727e-14,7.258717422228041e-17,3.0795763980851887e-17,6.673424562425635e-18,4.290068371208785e-17,1.3425138017169777e-21,6.351941484298361e-18,2.7782097209515348e-18,4.910910586486885e-19,1.496933221507226e-18,2.3816064921792663e-21,1.3735131742901847e-19,5.934533064592443e-20,9.213344662973182e-20,6.790367491525103e-20,9.004913814308207e-20,1.2263778734533126e-26,2.123526817283782e-18,3.8054561625317914e-17,1.4106962936329829e-24,2.006995301121839e-20,1.988628757028158e-19,4.737034744216511e-27,2.4100503485213352e-20,8.195514670762034e-20,3.551888729330208e-27,4.9626924091840523e-29
