Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52)
1.2517068305015887e-15,0.11224537200003773,0.9,0.0,0.0,0.0,0.0,0.09999999999966355,8.617233015892997e-14,8.615054908391069e-14,5.954017279896872e-14,5.954017279896872e-14,5.15695942775981e-14,5.15695942775981e-14,5.156818904326282e-14,5.156818904326282e-14,4.598156763094594e-14,4.598156763094594e-14,4.1632520954193374e-14,4.1632520954193374e-14,2.1781075019277795e-17
2.504501156077462e-15,0.11224537200007555,0.9,0.0,0.0,0.0,0.0,0.0999999999993268,1.7241952767642932e-13,1.723364050614044e-13,1.1913207467916343e-13,1.1913207467916343e-13,1.0318399272027959e-13,1.0318399272027959e-13,1.0318118103072775e-13,1.0318118103072775e-13,9.20030844950745e-14,9.20030844950745e-14,8.330121264751703e-14,8.330121264751703e-14,8.31226150249477e-17
5.010089807229208e-15,0.11224537200015115,0.9,0.0,0.0,0.0,0.0,0.09999999999865328,3.449139227102663e-13,3.446098830389766e-13,2.3831587843875013e-13,2.3831587843875013e-13,2.0641278960494728e-13,2.0641278960494728e-13,2.0640716500496243e-13,2.0640716500496243e-13,1.840461182227117e-13,1.840461182227117e-13,1.6663859603360306e-13,1.6663859603360306e-13,3.0403967128970067e-16
7.515678458380955e-15,0.11224537200022676,0.9,0.0,0.0,0.0,0.0,0.09999999999797976,5.174083177429415e-13,5.167999609783476e-13,3.5749968219753414e-13,3.5749968219753414e-13,3.096415864889197e-13,3.096415864889197e-13,3.096331489785018e-13,3.096331489785018e-13,2.7608915194972903e-13,2.7608915194972903e-13,2.499759794191277e-13,2.499759794191277e-13,6.0835676459391105e-16
1.0021267109532703e-14,0.11224537200030238,0.9,0.0,0.0,0.0,0.0,0.09999999999730624,6.899027127744548e-13,6.889192328019776e-13,4.766834859555154e-13,4.766834859555154e-13,4.128703833721969e-13,4.128703833721969e-13,4.128591329513459e-13,4.128591329513459e-13,3.681321856761264e-13,3.681321856761264e-13,3.333133628040911e-13,3.333133628040911e-13,9.83479972477338e-16
1.5032444411836197e-14,0.11224537200045359,0.9,0.0,0.0,0.0,0.0,0.09999999999595921,1.0348915028347553e-12,1.0330234483272392e-12,7.150510934695939e-13,7.150510934695939e-13,6.193279771371195e-13,6.193279771371195e-13,6.193111008954026e-13,6.193111008954026e-13,5.52218253127466e-13,5.52218253127466e-13,4.999881295727006e-13,4.999881295727006e-13,1.8680545075161208e-15
2.004362171413969e-14,0.11224537200060475,0.9,0.0,0.0,0.0,0.0,0.09999999999461218,1.379880292890783e-12,1.3769465304278496e-12,9.534187009807206e-13,9.534187009807206e-13,8.257855708994853e-13,8.257855708994853e-13,8.257630688369025e-13,8.257630688369025e-13,7.363043205765262e-13,7.363043205765262e-13,6.666628963392459e-13,6.666628963392459e-13,2.9337624629332946e-15
3.006597631874668e-14,0.11224537200090717,0.9,0.0,0.0,0.0,0.0,0.09999999999191812,2.0698578729888103e-12,2.064442056318564e-12,1.430153915993281e-12,1.430153915993281e-12,1.2387007584158216e-12,1.2387007584158216e-12,1.2386670047115074e-12,1.2386670047115074e-12,1.1044764554671607e-12,1.1044764554671607e-12,1.0000124298655592e-12,1.0000124298655592e-12,5.415816670246485e-15
4.008833092335367e-14,0.11224537200120956,0.9,0.0,0.0,0.0,0.0,0.09999999998922407,2.7598354530683448e-12,2.751620849101952e-12,1.906889130993064e-12,1.906889130993064e-12,1.651615945921091e-12,1.651615945921091e-12,1.6515709405750457e-12,1.6515709405750457e-12,1.4726485903479277e-12,1.4726485903479277e-12,1.3333619633829384e-12,1.3333619633829384e-12,8.214603966393385e-15
5.011068552796066e-14,0.11224537200151194,0.9,0.0,0.0,0.0,0.0,0.09999999998653002,3.449813033129324e-12,3.4386334257082526e-12,2.3836243459800258e-12,2.3836243459800258e-12,2.0645311334152555e-12,2.0645311334152555e-12,2.064474876427479e-12,2.064474876427479e-12,1.8408207252187927e-12,1.8408207252187927e-12,1.6667114968913518e-12,1.6667114968913518e-12,1.1179607421071312e-14
6.013304013256765e-14,0.11224537200181431,0.9,0.0,0.0,0.0,0.0,0.09999999998383596,4.1397906131717236e-12,4.125567291487639e-12,2.8603595609541516e-12,2.8603595609541516e-12,2.4774463208983018e-12,2.4774463208983018e-12,2.4773788122687948e-12,2.4773788122687948e-12,2.208992860079745e-12,2.208992860079745e-12,2.00006103039079e-12,2.00006103039079e-12,1.4223321684085075e-14
7.015539473717463e-14,0.11224537200211676,0.9,0.0,0.0,0.0,0.0,0.09999999998114191,4.829768193195541e-12,4.8124617064250455e-12,3.3370947759154363e-12,3.3370947759154363e-12,2.890361508370227e-12,2.890361508370227e-12,2.89028274809899e-12,2.89028274809899e-12,2.577164994930781e-12,2.577164994930781e-12,2.33341056388125e-12,2.33341056388125e-12,1.730648677049529e-14
9.02001039463886e-14,0.11224537200272153,0.9,0.0,0.0,0.0,0.0,0.0999999999757538,6.209723353187409e-12,6.186243205714127e-12,4.290565205799476e-12,4.290565205799476e-12,3.716191883280705e-12,3.716191883280705e-12,3.716090619726008e-12,3.716090619726008e-12,3.313509264603096e-12,3.313509264603096e-12,3.0001096308352273e-12,3.0001096308352273e-12,2.348014747328207e-14
1.3028952236481655e-13,0.11224537200393107,0.9,0.0,0.0,0.0,0.0,0.09999999996497759,8.969633672799381e-12,8.933776221953644e-12,6.197506065310688e-12,6.197506065310688e-12,5.367852632879181e-12,5.367852632879181e-12,5.367706362757569e-12,5.367706362757569e-12,4.786197803749353e-12,4.786197803749353e-12,4.333507764563572e-12,4.333507764563572e-12,3.5857450845738593e-14
2.1046835920167244e-13,0.11224537200635032,0.9,0.0,0.0,0.0,0.0,0.09999999994342516,1.4489454310833672e-11,1.4428852295206857e-11,1.0011387783511128e-11,1.0011387783511128e-11,8.671174131364185e-12,8.671174131364185e-12,8.670937848108764e-12,8.670937848108764e-12,7.731574881407069e-12,7.731574881407069e-12,7.000304031445503e-12,7.000304031445503e-12,6.06020156268189e-14
3.7082603287538423e-13,0.11224537201118862,0.9,0.0,0.0,0.0,0.0,0.09999999990032031,2.5529095582143635e-11,2.541900768067195e-11,1.763915121662407e-11,1.763915121662407e-11,1.527781712548641e-11,1.527781712548641e-11,1.5277400815963452e-11,1.5277400815963452e-11,1.3622329034183296e-11,1.3622329034183296e-11,1.2333896562910326e-11,1.2333896562910326e-11,1.1008790147168525e-13
6.915413802228078e-13,0.11224537202086526,0.9,0.0,0.0,0.0,0.0,0.09999999981411059,4.7608378105729074e-11,4.739931897857563e-11,3.289467806969821e-11,3.289467806969821e-11,2.8491103102339723e-11,2.8491103102339723e-11,2.8490326740281994e-11,2.8490326740281994e-11,2.5403837329578947e-11,2.5403837329578947e-11,2.3001081616643823e-11,2.3001081616643823e-11,2.0905912715344065e-13
1e-12,0.1122453720402185,0.9,0.0,0.0,0.0,0.0,0.09999999973119554,6.884386015385018e-11,6.853961219138302e-11,4.756718684696613e-11,4.756718684696613e-11,4.11994190024795e-11,4.11994190024795e-11,4.1198296347958225e-11,4.1198296347958225e-11,3.673509357123498e-11,3.673509357123498e-11,3.326060053310174e-11,3.326060053310174e-11,3.042479624671678e-13
1.3329720749176548e-12,0.1122453720402185,0.9,0.0,0.0,0.0,0.0,0.09999999964169116,9.176694307676197e-11,9.135994154551369e-11,6.34057317232395e-11,6.34057317232395e-11,5.4917675010481805e-11,5.4917675010481805e-11,5.4916178543355784e-11,5.4916178543355784e-11,4.896685387974303e-11,4.896685387974303e-11,4.433545168732622e-11,4.433545168732622e-11,4.070015312482931e-13
2.615833464307349e-12,0.11224537207892507,0.9,0.0,0.0,0.0,0.0,0.09999999929685231,1.8008407271427595e-10,1.7928118637824196e-10,1.2442783881989412e-10,1.2442783881989412e-10,1.0777081864450775e-10,1.0777081864450775e-10,1.0776788196725013e-10,1.0776788196725013e-10,9.609288681756232e-11,9.609288681756232e-11,8.700419168155259e-11,8.700419168155259e-11,8.028863360339935e-13
5.181556243086737e-12,0.11224537215633823,0.9,0.0,0.0,0.0,0.0,0.0999999986071746,3.5671833077109626e-10,3.5512367483099603e-10,2.4647205217149134e-10,2.4647205217149134e-10,2.1347710518352677e-10,2.1347710518352677e-10,2.1347128808602576e-10,2.1347128808602576e-10,1.9034495204316541e-10,1.9034495204316541e-10,1.7234167108145163e-10,1.7234167108145163e-10,1.5946559401002017e-12
1e-11,0.11224537231116448,0.9,0.0,0.0,0.0,0.0,0.0999999973119555,6.884385903760947e-10,6.853569860857848e-10,4.75671860757075e-10,4.75671860757075e-10,4.1199418334468454e-10,4.1199418334468454e-10,4.119829567996539e-10,4.119829567996539e-10,3.6735092975609105e-10,3.6735092975609105e-10,3.3260599993811445e-10,3.3260599993811445e-10,3.08160429030993e-12
1.0313001800645513e-11,0.11224537231116448,0.9,0.0,0.0,0.0,0.0,0.09999999722781922,7.099868420119041e-10,7.068086468855146e-10,4.905604755078367e-10,4.905604755078367e-10,4.2488967534543245e-10,4.2488967534543245e-10,4.248780974075242e-10,4.248780974075242e-10,3.788490798942297e-10,3.788490798942297e-10,3.4301662752703437e-10,3.4301662752703437e-10,3.178195126389476e-12
2.0575892915763066e-11,0.11224537262081702,0.9,0.0,0.0,0.0,0.0,0.09999999446910848,1.4165238450021724e-09,1.4101785715905753e-09,9.78737308713124e-10,9.78737308713124e-10,8.477148040047087e-10,8.477148040047087e-10,8.476917043863039e-10,8.476917043863039e-10,7.558573251957907e-10,7.558573251957907e-10,6.843665310013349e-10,6.843665310013349e-10,6.345273411597339e-12
4.1101675145998176e-11,0.11224537324012196,0.9,0.0,0.0,0.0,0.0,0.09999998895168737,2.8295977730171885e-09,2.816918343384659e-09,1.9550909212540204e-09,1.9550909212540204e-09,1.6933650146650747e-09,1.6933650146650747e-09,1.6933188716869474e-09,1.6933188716869474e-09,1.5098737741966451e-09,1.5098737741966451e-09,1.3670663002824472e-09,1.3670663002824472e-09,1.2679429632529728e-11
6.162745737623328e-11,0.112245373859427,0.9,0.0,0.0,0.0,0.0,0.09999998343426654,4.242671623066505e-09,4.223658037562527e-09,2.931444479925156e-09,2.931444479925156e-09,2.539015178667191e-09,2.539015178667191e-09,2.538945992330613e-09,2.538945992330613e-09,2.263890181595235e-09,2.263890181595235e-09,2.0497660318960286e-09,2.0497660318960286e-09,1.9013585503977982e-11
8.215323960646839e-11,0.11224537447873188,0.9,0.0,0.0,0.0,0.0,0.09999997791684602,5.655745395149946e-09,5.630397654124006e-09,3.907797984726445e-09,3.907797984726445e-09,3.384665296010995e-09,3.384665296010995e-09,3.384573066317238e-09,3.384573066317238e-09,3.0179065473915617e-09,3.0179065473915617e-09,2.7324657258420406e-09,2.7324657258420406e-09,2.5347741025941314e-11
9.999999999999999e-11,0.11224537571734157,0.9,0.0,0.0,0.0,0.0,0.09999997311955852,6.884384953358987e-09,6.853529790006002e-09,4.756717950898068e-09,4.756717950898068e-09,4.119941264682476e-09,4.119941264682476e-09,4.119828999247667e-09,4.119828999247667e-09,3.673508790428687e-09,3.673508790428687e-09,3.3260595402136467e-09,3.3260595402136467e-09,3.085516335298514e-11
1.2320480406693861e-10,0.11224537571734157,0.9,0.0,0.0,0.0,0.0,0.09999996688200566,8.481892756334992e-09,8.443876705085347e-09,5.860504867899461e-09,5.860504867899461e-09,5.0759654211941515e-09,5.0759654211941515e-09,5.07582710478902e-09,5.07582710478902e-09,4.525939181346258e-09,4.525939181346258e-09,4.09786502533042e-09,4.09786502533042e-09,3.801605124964512e-11
1.6425636852740884e-10,0.11224537695595128,0.9,0.0,0.0,0.0,0.0,0.09999995584716644,1.1308039830809932e-08,1.1257355470621776e-08,7.813211552972999e-09,7.813211552972999e-09,6.7672653747974236e-09,6.7672653747974236e-09,6.767080971685593e-09,6.767080971685593e-09,6.033971662314614e-09,6.033971662314614e-09,5.463264186301302e-09,5.463264186301302e-09,5.068436018816026e-11
2.4635949744834924e-10,0.1122453794331701,0.9,0.0,0.0,0.0,0.0,0.09999993377749167,1.6960333038296674e-08,1.6884312064451625e-08,1.1718624272627134e-08,1.1718624272627134e-08,1.014986471859299e-08,1.014986471859299e-08,1.0149588142083114e-08,1.0149588142083114e-08,9.05003612189776e-09,9.05003612189776e-09,8.194062053398334e-09,8.194062053398334e-09,7.602097384504714e-11
3.284626263692897e-10,0.11224538191038841,0.9,0.0,0.0,0.0,0.0,0.09999991170782174,2.261262500473642e-08,2.2511267422797526e-08,1.5624036134795996e-08,1.5624036134795996e-08,1.3532463319695889e-08,1.3532463319695889e-08,1.3532094569808204e-08,1.3532094569808204e-08,1.2066099919277041e-08,1.2066099919277041e-08,1.0924859320915988e-08,1.0924859320915988e-08,1.0135758193889491e-10
4.926688842111706e-10,0.1122453868648234,0.9,0.0,0.0,0.0,0.0,0.0999998675684965,3.391720519726453e-08,3.37651744159042e-08,2.3434857274799215e-08,2.3434857274799215e-08,2.029765828353852e-08,2.029765828353852e-08,2.0297105186956222e-08,2.0297105186956222e-08,1.8098225518272666e-08,1.8098225518272666e-08,1.6386452048913238e-08,1.6386452048913238e-08,1.5203078136032688e-10
8.210813998949323e-10,0.1122453967736868,0.9,0.0,0.0,0.0,0.0,0.09999977928990444,5.6526350616727255e-08,5.627297350360788e-08,3.90564892146555e-08,3.90564892146555e-08,3.3828039255356934e-08,3.3828039255356934e-08,3.382711746562945e-08,3.382711746562945e-08,3.016246873118323e-08,3.016246873118323e-08,2.730963027482809e-08,2.730963027482809e-08,2.5337711311936375e-10
9.999999999999999e-10,0.11224541659138733,0.9,0.0,0.0,0.0,0.0,0.09999973119590504,6.884376757365014e-08,6.853517718279865e-08,4.7567122880183975e-08,4.7567122880183975e-08,4.119936359908849e-08,4.119936359908849e-08,4.119824094607695e-08,4.119824094607695e-08,3.6735044172607545e-08,3.6735044172607545e-08,3.326055580575657e-08,3.326055580575657e-08,3.0859039085148426e-10
