Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879)
1.770180775790135e-15,0.11224537200005341,0.9,0.0,0.0,0.0,0.0,0.09999999999952418,1.2186607860744218e-13,1.2182332178538972e-13,8.420251917497257e-14,8.420252029072995e-14,7.293039068839739e-14,7.293041971122331e-14,7.29284317260841e-14,7.292843180569374e-14,6.502775656205495e-14,6.502798609206108e-14,5.887727527743672e-14,5.887727605628987e-14,4.270013752980176e-17,5.486898394240324e-20,2.3211568451949265e-20,5.030223788494126e-21,9.59458270880943e-19,3.8953134715110183e-26,4.789369492021532e-21,2.0250366429586836e-22,3.700607410498375e-22,1.1300453679444883e-21,6.91856217172501e-26,4.19544410288911e-22,1.4190034125551896e-21,2.888940479818582e-22,2.032214133224079e-22,2.535976075125879e-22,1.1042643065763635e-30,7.311446584143324e-19,2.2953000444624386e-19,1.0185553385834931e-27
3.5418995018633197e-15,0.11224537200010687,0.9,0.0,0.0,0.0,0.0,0.09999999999904793,2.4383803699244525e-13,2.4367777088988444e-13,1.6847819291155072e-13,1.6847819748280932e-13,1.4592408607178405e-13,1.459242023196564e-13,1.4592022317071444e-13,1.459202234903946e-13,1.3011200987136134e-13,1.301127669139409e-13,1.1780570272124814e-13,1.178057059090245e-13,1.6003841602839684e-16,2.1955787265389153e-19,9.290588679740896e-20,2.0133767495298627e-20,1.9208704269379294e-18,3.1185850610710824e-25,1.9168879222232284e-20,1.5248318629812006e-21,1.4812073686150293e-21,4.522799972557459e-21,5.538683359940297e-25,1.53070329159315e-21,2.8392372376556545e-21,1.0510022292794741e-21,7.430811359960413e-22,9.331584012992864e-22,8.138102225428492e-30,1.16514139517212e-18,7.570425684298334e-19,4.078788508410668e-27
7.085336954009689e-15,0.1122453720002138,0.9,0.0,0.0,0.0,0.0,0.09999999999809545,4.877819584283076e-13,4.872137260495955e-13,3.3702953616368645e-13,3.370295551117174e-13,2.9191130295452896e-13,2.9191176861513293e-13,2.919038024158386e-13,2.919038037018612e-13,2.6028051648873375e-13,2.602827410277465e-13,2.356625546576851e-13,2.356625678571931e-13,5.673160249715704e-16,8.781039458620114e-19,3.7173753578016956e-19,8.055940047112222e-20,3.8504296048490384e-18,2.4957610578597277e-24,7.669321761216735e-20,1.0899805647436425e-20,5.926758834896148e-21,1.8094478927544432e-20,4.432032841715959e-24,5.1914492140874035e-21,5.679697673389685e-21,3.5483056894014646e-21,2.5290420850885128e-21,3.208472578377372e-21,5.614288723003932e-29,1.6206635890782864e-18,2.22453894587592e-18,1.6347406140909285e-26
1.0628774406156058e-14,0.1122453720003207,0.9,0.0,0.0,0.0,0.0,0.09999999999714296,7.317258849174203e-13,7.306114282169609e-13,5.055808751948072e-13,5.05580916254158e-13,4.3789834595828793e-13,4.3789933621683194e-13,4.3788737801362563e-13,4.378873807553928e-13,3.904490231048659e-13,3.9045293160487315e-13,3.535194036429363e-13,3.5351943223450337e-13,1.1125025536336384e-15,1.8656181063894275e-18,7.900075843423523e-19,1.7120233510996763e-19,5.789004885183759e-18,7.136922912666379e-24,1.6297941409410193e-19,2.928406030686987e-20,1.259556852224244e-20,3.845061343135755e-20,1.2673099347683711e-23,9.903229069686252e-21,8.520150997763494e-21,6.749908145921001e-21,4.834801906582516e-21,6.172367269410884e-21,1.4806292786306218e-28,1.859721228118688e-18,3.9084998426678805e-18,3.479290305884039e-26
1.4172211858302429e-14,0.11224537200042761,0.9,0.0,0.0,0.0,0.0,0.09999999999619047,9.756698167428452e-13,9.738985949505474e-13,6.74132210004916e-13,6.741322811046689e-13,5.838852150881033e-13,5.838869052958189e-13,5.838709499615685e-13,5.838709546509895e-13,5.206175297197576e-13,5.206232357811691e-13,4.713762496770017e-13,4.713762991781785e-13,1.7678787880503376e-15,3.1819376190322876e-18,1.3477114199234463e-18,2.9206132756340745e-19,7.738419440393706e-18,1.5054477844851165e-23,2.780246991076464e-19,5.849849558198299e-20,2.14876364457677e-20,6.558948971991131e-20,2.673080346830152e-23,1.5382980784480587e-20,1.1360597334717165e-20,1.0461266704393226e-20,7.523137477218383e-21,9.653776654979404e-21,2.9128218695709573e-28,1.985178464354337e-18,5.7060611039358175e-18,5.944981642623149e-26
2.1259086762595166e-14,0.11224537200064144,0.9,0.0,0.0,0.0,0.0,0.09999999999428548,1.463557693513811e-12,1.4602785741186464e-12,1.0112348697186813e-12,1.011235019913325e-12,8.758585452918744e-13,8.758620472936451e-13,8.758380852857981e-13,8.758380950307028e-13,7.809545429466304e-13,7.809639642275855e-13,7.070899348188807e-13,7.070900393801617e-13,3.272170277904568e-15,6.5858702726118535e-18,2.7903473447007877e-18,6.046906919287331e-19,1.1666969165327636e-17,4.111993594842165e-23,5.756045744452271e-19,1.4661958858475452e-19,4.448962331655238e-20,1.3578060752542021e-19,7.30056124713153e-23,2.7548748420695366e-20,1.7041474056560023e-20,1.8675314627378363e-20,1.3506158345334138e-20,1.745842286925612e-20,7.13907405798188e-28,2.1159962171043967e-18,9.421280252312128e-18,1.2346602530939747e-25
2.8345961666887903e-14,0.11224537200085528,0.9,0.0,0.0,0.0,0.0,0.09999999999238049,1.9514455913073843e-12,1.946410031241622e-12,1.3483375139102895e-12,1.348337773305204e-12,1.1678312361410259e-12,1.1678371956079153e-12,1.1678052071746174e-12,1.1678052237975637e-12,1.0412915561689421e-12,1.0413047998795844e-12,9.42803609108198e-13,9.428037897056134e-13,5.02370304989491e-15,1.1197974173816671e-17,4.745692719602591e-18,1.028424945614987e-18,1.5645774473426112e-17,8.603799266761235e-23,9.789260477934556e-19,2.8494394837983883e-19,7.566732383667072e-20,2.309000558581036e-19,1.5274126902226804e-22,4.1139537572408354e-20,2.2722326328862694e-20,2.781654957332864e-20,2.021001629843188e-20,2.6282224756895747e-20,1.362410169096762e-27,2.1396038512350506e-18,1.324370937012236e-17,2.1067099475004323e-25
4.251971147547338e-14,0.11224537200128293,0.9,0.0,0.0,0.0,0.0,0.09999999998857051,2.9272214588619863e-12,2.9182714934581225e-12,2.0225427513241804e-12,2.0225433299181654e-12,1.7517745186309277e-12,1.75178751496548e-12,1.7517394068041957e-12,1.7517394431987383e-12,1.5619655825985883e-12,1.561986514534145e-12,1.4142309220508158e-12,1.4142313250640696e-12,8.923990648313497e-15,2.438659586629314e-17,1.0339751186900186e-17,2.2406715956916254e-18,2.3795737697769194e-17,2.716801253003392e-22,2.132745605105365e-18,7.536794949912981e-19,1.648689118319102e-19,5.029240250855725e-19,4.821874426409415e-22,7.006382066388281e-20,3.40839579119255e-20,4.72003746239339e-20,3.4519085244803793e-20,4.528834579805263e-20,3.481723536879379e-27,2.1434536628472015e-18,2.0931932566027343e-17,4.632655757973185e-25
5.527608630320031e-14,0.11224537200166781,0.9,0.0,0.0,0.0,0.0,0.09999999998514153,3.8054198216421605e-12,3.792656151144262e-12,2.629327407558492e-12,2.6293283875889425e-12,2.2773211073985143e-12,2.277342828648454e-12,2.2772801367114923e-12,2.2772801976875866e-12,2.0305722063683916e-12,2.030600074603951e-12,1.8385154635403447e-12,1.83851614644783e-12,1.2720131663059016e-14,4.072261389324863e-17,1.727127288134821e-17,3.742728742197845e-18,3.135816718053066e-17,5.72733025301508e-22,3.56240585504843e-18,1.4026324722691482e-18,2.7540376394614093e-19,8.398562556121788e-19,1.0163170517085804e-21,9.717986444017607e-20,4.430935020274616e-20,6.532105227604777e-20,4.796437354170904e-20,6.327734210542294e-20,6.340851760090454e-27,2.1300210097790876e-18,2.78682303673123e-17,7.804051595119186e-25
6.803246113092724e-14,0.11224537200205269,0.9,0.0,0.0,0.0,0.0,0.09999999998171255,4.6836182631630535e-12,4.666930782180681e-12,3.236112009189043e-12,3.236113499692039e-12,2.802865447672931e-12,2.8028981679097716e-12,2.8028208193108513e-12,2.802820911324793e-12,2.4991788301221507e-12,2.499213627461785e-12,2.262799966852783e-12,2.2628010058546614e-12,1.6621749555572455e-14,6.130291518136078e-17,2.6005829211154103e-17,5.635475815298627e-18,3.9147870289248454e-17,1.0417991836240255e-21,5.3639656905850045e-18,2.278393198389327e-18,4.1469911326287133e-19,1.2642688675396633e-18,1.8483301554794825e-21,1.2452135368560637e-19,5.453467989280193e-20,8.357124860321345e-20,6.153463718714359e-20,8.149312302273223e-20,1.0128057863636804e-26,2.1237843783019756e-18,3.4797331618102756e-17,1.1856426708727134e-24
8.078883595865417e-14,0.11224537200243757,0.9,0.0,0.0,0.0,0.0,0.09999999997828357,5.561816783750887e-12,5.541164937893611e-12,3.842896556155242e-12,3.8428986664335505e-12,3.328407537181482e-12,3.328453532981935e-12,3.3283614545538993e-12,3.328361584065026e-12,2.9677854538598465e-12,2.967827174723253e-12,2.687084431945766e-12,2.6870859034534093e-12,2.055928436402333e-14,8.613122757603123e-17,3.654521749212556e-17,7.919291484497242e-18,4.7169775417473426e-17,1.715218920445668e-21,7.537830269770737e-18,3.385789432354877e-18,5.827868781422839e-19,1.776183524136951e-18,3.0425324267423404e-21,1.5184969519369018e-19,6.475995584580388e-20,1.0180519584388003e-19,7.510336379862178e-20,9.973181788036317e-20,1.4851658048278643e-26,2.1231281467976052e-18,4.1720851941965155e-17,1.681566083997401e-24
1.0630158561410803e-13,0.11224537200320736,0.9,0.0,0.0,0.0,0.0,0.09999999997142561,7.318214062362675e-12,7.289614619312777e-12,5.056465485994264e-12,5.056469163967599e-12,4.3794849609891335e-12,4.379564340756232e-12,4.379442582934424e-12,4.379442806779514e-12,3.9049987012870204e-12,3.905054267826074e-12,3.5356532474032305e-12,3.5356558133565067e-12,2.843929754171859e-14,1.485357998998106e-16,6.304068712692873e-17,1.3660545625087929e-17,6.391791779954344e-17,3.873615921805253e-21,1.300314341494878e-17,6.302665234178128e-18,1.0053925145206136e-18,3.062266802061066e-18,6.868328200664885e-21,2.0637671164360597e-19,8.521039627206695e-20,1.381876121276747e-19,1.0217643584327588e-19,1.3612790664647708e-19,2.711370379987854e-26,2.1231878833731784e-18,5.556651882258921e-17,2.9595285385319606e-24
1.5732708492501577e-13,0.11224537200474691,0.9,0.0,0.0,0.0,0.0,0.09999999995770971,1.0831010201871896e-11,1.0786426360497876e-11,7.483602251647067e-12,7.483611252279175e-12,6.481594790337007e-12,6.481786473433701e-12,6.481603893216876e-12,6.481604433716632e-12,5.779425195819896e-12,5.779508453328096e-12,5.232790113412949e-12,5.2327963975593644e-12,4.4195747482559746e-14,3.5828369461153935e-16,1.5212752946366636e-16,3.296293658778903e-17,1.0212102016973014e-16,1.6741448962409612e-20,3.138474710266882e-17,1.6819571091684905e-17,2.4268413825036523e-18,7.376384167683112e-18,2.963429851618943e-20,3.1528858176756536e-19,1.2611133045308572e-19,2.108630965900263e-19,1.5624921307791368e-19,2.0881479972646288e-19,7.038536837967432e-26,2.123691750153196e-18,8.325745796178185e-17,7.645116338487732e-24
2.083525842359235e-13,0.11224537200628645,0.9,0.0,0.0,0.0,0.0,0.0999999999439938,1.4343807607163827e-11,1.428317506116482e-11,9.910738142032673e-12,9.910754215140259e-12,8.583668622421355e-12,8.584009019760056e-12,8.583764447225893e-12,8.583765405825016e-12,7.65385169009558e-12,7.653962639042788e-12,6.92992636746564e-12,6.929937593254888e-12,5.994232793929106e-14,6.359335399542963e-16,2.7007500164320866e-16,5.851681301851657e-17,1.4409877825342501e-16,3.958481966711418e-20,5.572740069108292e-17,3.108356379971842e-17,4.309305414244277e-18,1.3077649353998477e-17,6.9996265873359e-20,4.24200588179174e-19,1.6701310420851654e-19,2.8354050896715933e-19,2.103207984115018e-19,2.8149356262897454e-19,1.2865273533018618e-25,2.123727777398615e-18,1.1094885697957985e-16,1.4256756882692735e-23
3.1040358285773893e-13,0.11224537200936559,0.9,0.0,0.0,0.0,0.0,0.09999999991656199,2.1369407480875714e-11,2.127638708873129e-11,1.4765006421737622e-11,1.4765043638947673e-11,1.2787672417648636e-11,1.2788455766975577e-11,1.2788082536028217e-11,1.278808473072824e-11,1.1402704677618176e-11,1.1402871009521927e-11,1.0324196427744659e-11,1.0324222430610432e-11,9.142955327873173e-14,1.462513396184942e-15,6.213025839924082e-16,1.3460089603702663e-16,2.4320358834168735e-16,1.446738703775914e-19,1.2825657349924088e-16,7.459707173646119e-17,9.918294858444052e-18,2.998868683398655e-17,2.551063519925692e-19,6.4202479131054575e-19,2.4882499344809197e-19,4.2889607278101327e-19,3.184636192921738e-19,4.268480487907448e-19,3.0516984596079606e-25,2.1237307736848424e-18,1.6633169361981658e-16,3.65744298657791e-23
4.124545814795544e-13,0.1122453720124447,0.9,0.0,0.0,0.0,0.0,0.09999999988913016,2.8395012417712502e-11,2.8269310001427373e-11,1.961927120037883e-11,1.9619336560721255e-11,1.69915324639313e-11,1.699290416874786e-11,1.6992397611446243e-11,1.6992401436319317e-11,1.5151557664112005e-11,1.5151779378985658e-11,1.3718464040199087e-11,1.371850971392833e-11,1.2291491264422908e-13,2.5600460173494958e-15,1.0877530270731058e-15,2.356317322633914e-16,3.575100314860955e-16,3.286422969623104e-19,2.2462927537338443e-16,1.3309521413231674e-16,1.737134640904746e-17,5.2368436801071345e-17,5.783591139370663e-19,8.59849154170164e-19,3.30650223589829e-19,5.742517941552134e-19,4.2660648029179365e-19,5.722022976945378e-19,5.416693158380668e-25,2.123731271157908e-18,2.2171450370030557e-16,6.938147858251034e-23
5.145055801013698e-13,0.11224537201552383,0.9,0.0,0.0,0.0,0.0,0.09999999986169834,3.542062241767104e-11,3.526194363225218e-11,2.4473532477958833e-11,2.4473632980341498e-11,2.119524888115037e-11,2.1197354225073392e-11,2.119670967926767e-11,2.1196715522599633e-11,1.8900410649577065e-11,1.8900687747432924e-11,1.7112729204830688e-11,1.7112799443206794e-11,1.5439890092330285e-13,3.92820437790608e-15,1.669316657650449e-15,3.6157977947359326e-16,4.870704154008226e-16,6.109441010344833e-19,3.448451697309308e-16,2.065773384545116e-16,2.666846079173803e-17,8.01773920984923e-17,1.0732672117249751e-18,1.0776736741251941e-18,4.124938095345499e-19,7.196076245926886e-19,5.347494158236999e-19,7.175565757288199e-19,8.381511648030671e-25,2.123731728043652e-18,2.7709728616262483e-16,1.140776869097763e-22
7.186075773450007e-13,0.11224537202168208,0.9,0.0,0.0,0.0,0.0,0.0999999998068347,4.94718543004151e-11,4.924653283528026e-11,3.4182046816350334e-11,3.418223402844348e-11,2.9602344998392494e-11,2.9606258220849475e-11,2.9605326774050496e-11,2.960533754780259e-11,2.639811661809272e-11,2.6398504481946037e-11,2.390125378920904e-11,2.3901384642277984e-11,2.17363806894127e-13,7.298650229098292e-15,3.102267718399039e-15,6.718635372185621e-16,7.821525653287216e-16,1.4665869839789004e-18,6.412344285105933e-16,3.8870614501975043e-16,4.959059437331601e-17,1.4841587895852967e-16,2.5689583901820265e-18,1.5133230821141017e-18,5.762396790264885e-19,1.0103195318488345e-18,7.510354689317024e-19,1.0082652599559705e-18,1.5718899061510994e-24,2.123732757351243e-18,3.878627904192663e-16,2.3573412402347376e-22
9.227095745886315e-13,0.11224537202784034,0.9,0.0,0.0,0.0,0.0,0.09999999975197106,6.352310480203741e-11,6.323006070060089e-11,4.389054828011204e-11,4.3890847938383453e-11,3.8008913934528506e-11,3.801516830098085e-11,3.801393285628482e-11,3.801394994087724e-11,3.389582258282523e-11,3.389632121273259e-11,3.0689769372084485e-11,3.0689978836004044e-11,2.803239338187257e-13,1.166157249660953e-14,4.957621465272391e-15,1.0735318590618586e-15,1.1337598542473688e-15,2.8451092575682565e-18,1.025300818383113e-15,6.259312395293347e-16,7.929401071460171e-17,2.362954211108831e-16,4.970784647196462e-18,1.9489730668242492e-18,7.400949346805522e-19,1.3010318236410637e-18,9.67321808508979e-19,1.2989741552839032e-18,2.526205442681222e-24,2.1237339959889078e-18,4.986282044528286e-16,4.1280845554785667e-22
1e-12,0.11224537203399863,0.9,0.0,0.0,0.0,0.0,0.099999999731195,6.884411197669198e-11,6.852512082411934e-11,4.756701143786596e-11,4.756736087586996e-11,4.119221074875373e-11,4.119950061248396e-11,4.119814527627707e-11,4.119816512693497e-11,3.673509359062352e-11,3.673563416602524e-11,3.326047789304636e-11,3.3260722159077036e-11,3.0416467281907734e-13,1.3590764342517905e-14,5.778167666131512e-15,1.2511457437882818e-15,1.2828076682856065e-15,3.547189375540787e-18,1.1952629376284253e-15,7.311736933778971e-16,9.243891544843246e-17,2.7500023710241035e-16,6.190828900710129e-18,2.113947471926348e-18,8.021839461859004e-19,1.4111204018784626e-18,1.0492263452208024e-18,1.4090613977373194e-18,2.949283852205895e-24,2.12373451786174e-18,5.405734153869573e-16,4.978339363181274e-22
