Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32)
1.4921335787028159e-15,0.11224537200004503,0.9,0.0,0.0,0.0,0.0,0.09999999999959892,1.0272423634344063e-13,1.0269353065973221e-13,7.097659637667806e-14,7.097659737472106e-14,6.147501606961657e-14,6.147503687131269e-14,6.147336185784632e-14,6.14733611114025e-14,5.481366674016267e-14,5.481366674016267e-14,4.9629258650099515e-14,4.962925934788934e-14,3.066512929731795e-17,3.898767965800591e-20,1.6492454695263916e-20,3.574112977448786e-21,1.2252115775537602e-22,2.332992877426523e-26,3.403004350652981e-21,1.2249782782660172e-22,2.629378963745089e-22
2.985563537578267e-15,0.11224537200009008,0.9,0.0,0.0,0.0,0.0,0.09999999999919748,2.0553772194811597e-13,2.0542152218672026e-13,1.420148569116478e-13,1.420148609064202e-13,1.2300340106468038e-13,1.230034843251007e-13,1.2300013311656067e-13,1.2300013012950816e-13,1.096749561270693e-13,1.096749561270693e-13,9.930163498437844e-14,9.930163777735621e-14,1.1603703597056091e-16,1.5601472896201535e-19,6.60122734407212e-20,1.4305624491456264e-20,9.308527475472371e-22,1.8677955787054452e-25,1.3620217259154094e-20,9.306659679893666e-22,1.0524368248953865e-21
5.972423455329168e-15,0.1122453720001802,0.9,0.0,0.0,0.0,0.0,0.0999999999983946,4.1116469749472137e-13,4.107458910665529e-13,2.8409137498241503e-13,2.840913909667035e-13,2.460600475045046e-13,2.4606038065003676e-13,2.460536778694243e-13,2.460536659219235e-13,2.1939753490000162e-13,2.1939753490000162e-13,1.9864638555604102e-13,1.986463967315901e-13,4.1815254822772407e-16,6.240015748336689e-19,2.6413087011258453e-19,5.72399969617802e-20,6.7568108551497126e-21,1.4947764619501556e-24,5.449400550705484e-20,6.755316078687762e-21,4.211118189745158e-21
8.95928337308007e-15,0.11224537200027032,0.9,0.0,0.0,0.0,0.0,0.09999999999759171,6.167916773785814e-13,6.159616276379128e-13,4.261678900540101e-13,4.2616792402386867e-13,3.691165703970456e-13,3.6911727839233266e-13,3.691072248554307e-13,3.6910719947054284e-13,3.2912011367205296e-13,3.2912011367205296e-13,2.979911340308085e-13,2.9799115778112417e-13,8.286565179826293e-16,1.325789406875636e-18,5.6132566326767685e-19,1.216449738615209e-19,1.8302350030461646e-20,4.2744979443596496e-24,1.1580486081035652e-19,1.8298075532517287e-20,8.949483080597619e-21
1.1946143290830971e-14,0.11224537200036046,0.9,0.0,0.0,0.0,0.0,0.09999999999678882,8.224186615996959e-13,8.210876931663729e-13,5.682444021264331e-13,5.682444600779127e-13,4.921729697453233e-13,4.921741775519885e-13,4.921607740726877e-13,4.921607307753664e-13,4.3884269244322343e-13,4.3884269244322343e-13,3.973358804086807e-13,3.9733592092595845e-13,1.3285865460483835e-15,2.2612680724202166e-18,9.575938902849707e-19,2.0751981020341555e-19,3.681361992014099e-20,9.016553913763291e-24,1.9755088789260842e-19,3.6804603366227226e-20,1.5267531515647445e-20
1.7919863126332774e-14,0.1122453720005407,0.9,0.0,0.0,0.0,0.0,0.09999999999518307,1.2336726402211957e-12,1.2311756660931976e-12,8.523974192324057e-13,8.523975392194831e-13,7.382854785004247e-13,7.382879791977567e-13,7.382678777391863e-13,7.382677881189617e-13,6.582878499834969e-13,6.582878499834969e-13,5.960253682431408e-13,5.960254521331686e-13,2.4920270061619138e-15,4.680409095260576e-18,1.982641058411016e-18,4.2965561763627423e-19,9.322711635981473e-20,2.46279700095436e-23,4.0899840618638957e-19,9.320248838980518e-20,3.1611049005099886e-20
2.3893582961834576e-14,0.11224537200072093,0.9,0.0,0.0,0.0,0.0,0.09999999999357731,1.6449266347923265e-12,1.6410477249767326e-12,1.1365504253093533e-12,1.136550629381621e-12,9.84397532964293e-13,9.84401786055662e-13,9.843749895994167e-13,9.843748372113194e-13,8.777330075205307e-13,8.777330075205307e-13,7.947148483665701e-13,7.947149910455453e-13,3.870473826982722e-15,7.958234339112052e-18,3.3719936298353322e-18,7.307375673045613e-19,1.8273873049780608e-19,5.153088589624927e-23,6.955819413824748e-19,1.826871996119098e-19,5.376362644282334e-20
3.5841022632838185e-14,0.11224537200108138,0.9,0.0,0.0,0.0,0.0,0.09999999999036578,2.4674346763075985e-12,2.4604077540302072e-12,1.704856401247788e-12,1.7048568458934641e-12,1.47662015028341e-12,1.476629416886306e-12,1.476589240192678e-12,1.4765889083018565e-12,1.316623322583961e-12,1.316623322583961e-12,1.1920937832931002e-12,1.192094094171374e-12,7.008456446190687e-15,1.733141618236949e-17,7.346836035636456e-18,1.5921021696721135e-18,4.918086419634299e-19,1.6271909296722932e-22,1.515436749199907e-18,4.916459228704626e-19,1.171437044315197e-19
4.778846230384179e-14,0.1122453720014419,0.9,0.0,0.0,0.0,0.0,0.09999999998715425,3.2899427868611246e-12,3.279438721073575e-12,2.273162329446899e-12,2.2731631101077393e-12,1.9688408014861834e-12,1.9688570702777698e-12,1.9688035261918835e-12,1.9688029436767684e-12,1.7555136376333687e-12,1.7555136376333687e-12,1.5894726848422998e-12,1.5894732306491564e-12,1.0471536487079938e-14,3.0417378009492596e-17,1.2898314353723356e-17,2.7951146892269663e-18,9.839705949860657e-19,3.701056839620894e-22,2.6604580713730755e-18,9.836004893021036e-19,2.056684031882606e-19
5.97359019748454e-14,0.11224537200180237,0.9,0.0,0.0,0.0,0.0,0.09999999998394273,4.112450966691439e-12,4.09831573964872e-12,2.8414682097417414e-12,2.8414694221890845e-12,2.46105947996237e-12,2.4610847463079995e-12,2.4610178477015073e-12,2.461016943212654e-12,2.1944039526687055e-12,2.1944039526687055e-12,1.9868515528988482e-12,1.9868524005941317e-12,1.4084576596419669e-14,4.7227501047841123e-17,2.003170870309624e-17,4.3409104316723004e-18,1.6714648688918973e-18,7.037534251900146e-22,4.131751364998734e-18,1.6707611154667074e-18,3.1942460272352535e-19
7.168334164584901e-14,0.11224537200216284,0.9,0.0,0.0,0.0,0.0,0.0999999999807312,4.934959215878047e-12,4.9171302652834206e-12,3.4097740420773374e-12,3.40977578219225e-12,2.953276183637279e-12,2.9533124450029743e-12,2.953232204752855e-12,2.953230906868381e-12,2.6332942676899553e-12,2.6332942676899553e-12,2.384230387424306e-12,2.3842316040447144e-12,1.7756111669344525e-14,6.776504971520275e-17,2.8748661371567563e-17,6.229836081855767e-18,2.5605652785987667e-18,1.1945922944652693e-21,5.929681465495609e-18,2.5593706863043014e-18,4.584412638166677e-19
