Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54)
1.4358062055515836e-15,0.11224537200004332,0.9,0.0,0.0,0.0,0.0,0.09999999999961406,9.884644248241634e-14,9.881794949849577e-14,6.829726172519776e-14,6.829726264931166e-14,5.915436254075317e-14,5.915438204504893e-14,5.915277001415646e-14,5.915276932299861e-14,5.274447541284423e-14,5.274447541284423e-14,4.775577641487246e-14,4.7755777060974126e-14,2.845554661181422e-17,3.61000492381513e-20,1.5270795976188848e-20,3.3093651062619354e-21,2.0786335435756612e-26,2.0786335435756612e-26,2.9074751031142664e-21
2.8728598535059053e-15,0.11224537200008668,0.9,0.0,0.0,0.0,0.0,0.09999999999922778,1.9777876505398121e-13,1.976707265035078e-13,1.3665385985069177e-13,1.3665386354955519e-13,1.1836008084994173e-13,1.1836015891744223e-13,1.1835693322118587e-13,1.1835693045535204e-13,1.055347757388944e-13,1.055347757388944e-13,9.555304286608085e-14,9.555304545217132e-14,1.078887379585806e-16,1.4446059053774576e-19,6.112251216894237e-20,1.3245958516581298e-20,1.664155915827696e-25,1.664155915827696e-25,1.1636878256671151e-20
5.746967149414549e-15,0.11224537200017343,0.9,0.0,0.0,0.0,0.0,0.0999999999984552,3.9564341421308753e-13,3.9525268708690476e-13,2.733670533246685e-13,2.7336706812493585e-13,2.367714030696787e-13,2.3677171543726917e-13,2.367652617052644e-13,2.3676525064247e-13,2.1111537639017902e-13,2.1111537639017902e-13,1.9114757382692792e-13,1.9114758417465845e-13,3.90127919717557e-16,5.777959402655567e-19,2.4456591466472975e-19,5.300007652115452e-20,1.3318067876745666e-24,1.3318067876745666e-24,4.6558522929254114e-20
8.621074445323193e-15,0.11224537200026014,0.9,0.0,0.0,0.0,0.0,0.09999999999768262,5.935080673881703e-13,5.927319603601913e-13,4.1008024402163386e-13,4.100802754752075e-13,3.551826108934665e-13,3.5518327473213634e-13,3.5517359225727756e-13,3.551735687519991e-13,3.1669597704064796e-13,3.1669597704064796e-13,2.867421028462054e-13,2.867421248372384e-13,7.748339058108627e-16,1.2276258567403098e-18,5.197468257749858e-19,1.126344619209749e-19,3.808467557151915e-24,3.808467557151915e-24,9.894091815792941e-20
1.1495181741231838e-14,0.11224537200034683,0.9,0.0,0.0,0.0,0.0,0.09999999999691005,7.913727245792295e-13,7.901259098476784e-13,5.46793431941588e-13,5.467934856003674e-13,4.735937043239957e-13,4.735948368020437e-13,4.735819248754928e-13,4.735818847839394e-13,4.222765776903012e-13,4.222765776903012e-13,3.8233662992391325e-13,3.8233666743991106e-13,1.2446432743195014e-15,2.0938496802249767e-18,8.866627840696502e-19,1.9214845094932825e-19,8.033520194380554e-24,8.033520194380554e-24,1.6878232868776578e-19
1.7243396333049124e-14,0.11224537200052029,0.9,0.0,0.0,0.0,0.0,0.09999999999536491,1.1871020483865984e-12,1.1847562995077696e-12,8.202198012640212e-13,8.20219912363172e-13,7.104156227194264e-13,7.104179674547078e-13,7.103985949569061e-13,7.103985119718464e-13,6.334377789876933e-13,6.334377789876933e-13,5.735256795225842e-13,5.735257571985356e-13,2.3412543097117514e-15,4.333908106059538e-18,1.8357836047704432e-18,3.9783058265826814e-19,2.1942908149744932e-23,2.1942908149744932e-23,3.4943611375382125e-19
2.2991610924866412e-14,0.11224537200069373,0.9,0.0,0.0,0.0,0.0,0.09999999999381977,1.5828313869621448e-12,1.579178306988899e-12,1.0936461603743941e-12,1.0936463493302087e-12,9.472371204723977e-13,9.47241108312184e-13,9.472152726259569e-13,9.472151315197185e-13,8.44598980282086e-13,8.44598980282086e-13,7.647147219814116e-13,7.647148540915736e-13,3.645437660082412e-15,7.369096763001284e-18,3.122226465531837e-18,6.766115934539248e-19,4.5912761128054535e-23,4.5912761128054535e-23,5.9428237699919475e-19
3.448804010850099e-14,0.11224537200104057,0.9,0.0,0.0,0.0,0.0,0.09999999999072948,2.3742901126067657e-12,2.3676441706819566e-12,1.6404988450623055e-12,1.6404992567713004e-12,1.420878734846903e-12,1.4208874235361698e-12,1.4208486528485586e-12,1.4208483455282602e-12,1.2669213828610217e-12,1.2669213828610217e-12,1.1470927834543179e-12,1.1470930713045709e-12,6.629298299260097e-15,1.604845499706291e-17,6.8026579823423676e-18,1.4741773110892777e-18,1.4497896241510772e-22,1.4497896241510772e-22,1.2947298004436036e-18
4.5984469292135565e-14,0.11224537200138744,0.9,0.0,0.0,0.0,0.0,0.09999999998763918,3.1657489021756963e-12,3.155781990658007e-12,2.1873514855471385e-12,2.187352208381332e-12,1.8945185287226175e-12,1.894533782931861e-12,1.894482065856834e-12,1.8944815264667785e-12,1.6892437854269737e-12,1.6892437854269737e-12,1.5294708140222884e-12,1.529471319399007e-12,9.937700994750833e-15,2.816575616424621e-17,1.1942956496875361e-17,2.5880887974643014e-18,3.297560757795695e-22,3.297560757795695e-22,2.2729776859430433e-18
5.748089847577014e-14,0.11224537200173434,0.9,0.0,0.0,0.0,0.0,0.09999999998454889,3.957207755889801e-12,3.943761927497168e-12,2.7342040816761684e-12,2.734205204312751e-12,2.3681564959724813e-12,2.368180186651874e-12,2.3681155117467434e-12,2.3681146742210127e-12,2.111566187979897e-12,2.111566187979897e-12,1.9118488135785445e-12,1.911849598481584e-12,1.3400474450130162e-14,4.373151373301464e-17,1.8548016923327733e-17,4.019398856412803e-18,6.270297187435113e-22,6.270297187435113e-22,3.529968394077511e-18
