Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348)
1.8830421851216233e-15,0.11224537200005683,0.9,0.0,0.0,0.0,0.0,0.09999999999949383,1.296358937846254e-13,1.295877185780426e-13,8.957101883841902e-14,8.957101991636581e-14,7.758021138118249e-14,7.758024422437231e-14,7.757812944329488e-14,7.757812953339927e-14,6.917373100230691e-14,6.917398733538364e-14,6.263111347149362e-14,6.263111426376542e-14,4.811104821772062e-17,6.20874245816009e-20,2.62657063713102e-20,5.69209107222358e-21,1.0206578305758806e-18,4.6888830138079894e-26,5.419529084700128e-21,2.427817177196273e-22,4.187529437781783e-22,1.2787296640700078e-21,8.328010634781946e-26,4.718446612226914e-22,1.5094747254825709e-21,3.2484319866538893e-22,2.285894027549621e-22,2.8537741172756803e-22,1.3219708094451947e-30,7.656438755923752e-19,2.562805181458233e-19,1.152600605078316e-27,1.4316357132393977e-22,4.3520307030618476e-23,1.291904896890568e-31,8.139737355304069e-23,9.036303994866392e-24
3.76772037561694e-15,0.11224537200011367,0.9,0.0,0.0,0.0,0.0,0.09999999999898722,2.5938441802813974e-13,2.592045280910559e-13,1.792198562582178e-13,1.7921986069747786e-13,1.5522775964348736e-13,1.5522789119780796e-13,1.5522365814810822e-13,1.5522365850999038e-13,1.3840756081454142e-13,1.3840839879994023e-13,1.2531664035125675e-13,1.2531664360573316e-13,1.7963218457826958e-16,2.484388210323881e-19,1.0513021889808642e-19,2.2782913264604817e-20,2.043539060843391e-18,3.75391361775382e-25,2.1690954639887654e-20,1.8216343521139218e-21,1.6761030748592566e-21,5.11785813193569e-21,6.666994480979223e-25,1.71266823261587e-21,3.0202581470690376e-21,1.1755493088021161e-21,8.316288633136352e-22,1.0451283451073122e-21,9.697480738318143e-30,1.207102163385249e-18,8.376344752608552e-19,4.615834478920115e-27,4.622601245340008e-22,2.8496186528416564e-22,1.556786589235171e-30,2.960217834923832e-22,6.594854864447996e-23
7.537076756607574e-15,0.11224537200022741,0.9,0.0,0.0,0.0,0.0,0.099999999997974,5.188814718555639e-13,5.18247748858994e-13,3.5851752632163823e-13,3.5851754485222924e-13,3.1052265940531876e-13,3.105231864005575e-13,3.105147114336156e-13,3.1051471288971965e-13,2.76875220436988e-13,2.768776560839901e-13,2.506876907716625e-13,2.506877043136443e-13,6.326854011947783e-16,9.935910543056612e-19,4.206493555795321e-19,9.115904817990723e-20,4.0972710953574955e-18,3.004201625058957e-24,8.67835064883726e-20,1.2943438774460494e-20,6.706595524521761e-21,2.0474954578255366e-20,5.3348571869256496e-24,5.761399339962682e-21,6.041816840492977e-21,3.935925407869628e-21,2.8077617677132437e-21,3.566029074646169e-21,6.640690673586273e-29,1.6568303998935633e-18,2.4335306935496508e-18,1.850331852034725e-26,1.323130827261734e-21,1.6667302702936197e-21,1.5675942232568872e-29,9.988520687433298e-22,4.495004091202075e-22
1.1306433137598208e-14,0.11224537200034114,0.9,0.0,0.0,0.0,0.0,0.09999999999696078,7.783785314647566e-13,7.771406813726545e-13,5.378151916088877e-13,5.378152319052756e-13,4.658173624104415e-13,4.658184831197003e-13,4.658057605913148e-13,4.658057636959962e-13,4.15342880057412e-13,4.153471353758316e-13,3.7605873785294767e-13,3.7605876725820123e-13,1.235637159014455e-15,2.1109605852426583e-18,8.939530514864815e-19,1.9372817632485259e-19,6.161610465632658e-18,8.590861735911606e-24,1.8442175645724663e-19,3.4664367997089977e-20,1.425288017485845e-20,4.350882721306541e-20,1.525458949625593e-23,1.0935841437254277e-20,9.063367513201857e-21,7.449491718805585e-21,5.341278448727522e-21,6.827813489884332e-21,1.7446655297106121e-28,1.885906955768966e-18,4.250078551613564e-18,3.938777186000518e-26,2.2929633133327738e-21,4.0610997509542705e-21,4.672877348261175e-29,1.89946623998826e-21,1.1785770863407166e-21
1.5075789518588843e-14,0.11224537200045488,0.9,0.0,0.0,0.0,0.0,0.09999999999594757,1.037875597172777e-12,1.0359149682665754e-12,7.171128521199691e-13,7.171129220740929e-13,6.21111868664925e-13,6.211137815479779e-13,6.210968056183595e-13,6.210968109288201e-13,5.538105396758135e-13,5.538167285268263e-13,5.014297815951123e-13,5.014298325933398e-13,1.956842934539495e-15,3.600360778526889e-18,1.5250357544110587e-18,3.3048880046354675e-19,8.238638662441517e-18,1.8121373165169195e-23,3.146025416566811e-19,6.906317720321364e-20,2.431495704526477e-20,7.421741326849169e-20,3.217568159347738e-23,1.691893532866903e-20,1.2084910319531162e-20,1.1498766108418943e-20,8.278243052096834e-21,1.0637739770884798e-20,3.421690569700406e-28,2.0025909106238303e-18,6.1790189668906804e-18,6.731220260545292e-26,3.3161135627657122e-21,7.52371432340567e-21,9.92735258738624e-29,2.9430669478696117e-21,2.3079758362767267e-21
2.261450228057011e-14,0.11224537200068233,0.9,0.0,0.0,0.0,0.0,0.09999999999392112,1.556869743556542e-12,1.5532582217260837e-12,1.0757081619327623e-12,1.0757083101676097e-12,9.31700419431015e-13,9.317043828278344e-13,9.316788859717159e-13,9.316788970077932e-13,8.3074585890787e-13,8.307560332646755e-13,7.521718612427308e-13,7.521719691946824e-13,3.603651395224409e-15,7.451849887617688e-18,3.1574816073780683e-18,6.842507522492023e-19,1.2427287912310403e-17,4.949682124179527e-23,6.513321233748523e-19,1.724194771804862e-19,5.034352117555143e-20,1.536402712780744e-19,8.787569151819987e-23,3.012882895109323e-20,1.812797802383452e-20,2.0411212115565312e-20,1.4778522830165706e-20,1.9131981055697194e-20,8.34937351076819e-28,2.1211519095003808e-18,1.0151706601501277e-17,1.3983773126096698e-25,5.414435890999622e-21,1.702916102188764e-20,2.649843526596e-28,5.2519202623858245e-21,5.6202332979640116e-21
3.015321504255138e-14,0.1122453720009098,0.9,0.0,0.0,0.0,0.0,0.09999999999189467,2.0758639138937984e-12,2.0703418317770702e-12,1.4343034541818922e-12,1.4343037107495059e-12,1.2422882467252489e-12,1.2422949913643055e-12,1.2422609511201146e-12,1.2422609699459066e-12,1.107681178132489e-12,1.1076954437673502e-12,1.002913928611213e-12,1.0029141153367448e-12,5.5086527033982625e-15,1.267034130975925e-17,5.370091022233295e-18,1.1637345927009799e-18,1.6674226691665507e-17,1.0356539855138974e-22,1.1077145009762515e-18,3.3400233524531203e-19,8.562355079207726e-20,2.612686601991116e-19,1.838510147808956e-22,4.478649466223451e-20,2.4171018340438706e-20,3.0263019387817486e-20,2.2012726097764603e-20,2.8670417791579484e-20,1.5877812296525073e-27,2.1397597664060423e-18,1.4224347208754797e-17,2.3868090195826644e-25,7.556545223245767e-21,3.0615207445846313e-20,5.338178687142364e-28,7.820219795615703e-21,1.0670983660049629e-20
4.523064056651392e-14,0.11224537200136472,0.9,0.0,0.0,0.0,0.0,0.09999999998784179,3.113852336296767e-12,3.1041052642117464e-12,2.1514939810072336e-12,2.151494554947551e-12,1.8634615259362237e-12,1.8634762343675546e-12,1.8634250314569895e-12,1.8634250726721476e-12,1.6615518165573051e-12,1.6615743204724235e-12,1.50439802302779e-12,1.5043984404872427e-12,9.717653512422942e-15,2.759298393998827e-17,1.1700134406985015e-17,2.5354670469917273e-18,2.5389102120489997e-17,3.2702498780706416e-22,2.4133318565960412e-18,8.778460159662151e-19,1.8656219023894228e-19,5.690572692591094e-19,5.803865028440596e-22,7.57822355205767e-20,3.625701800667545e-20,5.102413616945272e-20,3.735309171001848e-20,4.907393793064326e-20,4.032216723452638e-27,2.141034587870964e-18,2.2405568754014032e-17,5.252838579829446e-25,1.1854091115960425e-20,7.131701825409369e-20,1.4619016365276427e-27,1.3263911426848052e-20,2.7025924975062752e-20
5.88003235380802e-14,0.11224537200177416,0.9,0.0,0.0,0.0,0.0,0.09999999998419419,4.048042009435823e-12,4.034205952505127e-12,2.7969653901574588e-12,2.7969663637819634e-12,2.422514800565771e-12,2.4225393829452466e-12,2.4224726474523013e-12,2.4224727164993167e-12,2.160035391112118e-12,2.1600653452850554e-12,1.9557336625649865e-12,1.9557343706083397e-12,1.3786748170663997e-14,4.607689553268353e-17,1.95435761467231e-17,4.2351303180824595e-18,3.3492700525549955e-17,6.89404778653252e-22,4.0310823929279226e-18,1.6270685854684318e-18,3.116411025467499e-19,9.502773255057543e-19,1.223275989892174e-21,1.0469687270786795e-19,4.713433386958608e-20,7.034052203622242e-20,5.169406672361718e-20,6.827865539954941e-20,7.315206103404006e-27,2.1288389760648096e-18,2.9782010464315667e-17,8.85492612505358e-25,1.572647500717302e-20,1.23205942704698e-19,2.7523881208923016e-27,1.83511781602405e-20,4.895060371505283e-20
7.237000650964649e-14,0.11224537200218358,0.9,0.0,0.0,0.0,0.0,0.0999999999805466,4.9822317717489105e-12,4.964204636622525e-12,3.4424367375223223e-12,3.4424382197490993e-12,2.98156553092238e-12,2.981602560530484e-12,2.9815202099164154e-12,2.981520314099631e-12,2.6585189656407673e-12,2.658556384637901e-12,2.4070692589066957e-12,2.407070336770914e-12,1.7952697427992895e-14,6.936322408311938e-17,2.9427225682877626e-17,6.376871685544467e-18,4.1854988268878633e-17,1.2540217363933386e-21,6.069664222360379e-18,2.6344197622654185e-18,4.692647884492123e-19,1.4304630633240338e-18,2.2246853228101494e-21,1.3379392598282924e-19,5.80115818912669e-20,8.975948432789397e-20,6.613765141718634e-20,8.767636420899295e-20,1.1650632301799948e-26,2.123581624840466e-18,3.715151331640803e-17,1.3462264232468215e-24,1.9595742178032237e-20,1.896067381317643e-19,4.489342312611549e-27,2.3474128211379942e-20,7.786794142396888e-20
