Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137)
2.1296447618504795e-15,0.11224537200006425,0.9,0.0,0.0,0.0,0.0,0.09999999999942755,1.4661296732046195e-13,1.465519204644865e-13,1.0130120948342242e-13,1.0130121086785031e-13,8.774008514627066e-14,8.774012715931999e-14,8.773773530797424e-14,8.773773542327863e-14,7.823269975075372e-14,7.823301835507783e-14,7.083326312724339e-14,7.083326414438042e-14,6.09647506392144e-17,7.941093831017687e-20,3.359562671477071e-20,7.280569677656464e-21,1.1543964566164414e-18,6.784712271600635e-26,6.931898945380873e-21,3.4815208281531973e-22,5.3561423030508915e-22,1.6355680102009168e-21,1.2048885161803982e-25,5.955552764967478e-22,1.7071548283883196e-21,4.0983805775208054e-22,2.8861566715450613e-22,3.606511174294841e-22,1.8897676981211754e-30,8.37225037730525e-19,3.1853024015706263e-19,1.4743321005163724e-27,1.7760500528422537e-22,6.117669779326627e-23,2.0308235214310593e-31,1.0276652025744711e-22,1.2904460111766561e-23,4.573131813317864e-32,4.977264581037684e-31,6.704972920988045e-27,2.9429383181596607e-31,5.536535681907471e-35,2.943335047951605e-31,1.4022268928401116e-35,5.785222547760182e-45,1.3319324168966899e-42,4.856258065495264e-51,2.2569010011459404e-36,1.0969124268146648e-46
4.261139779792923e-15,0.11224537200012859,0.9,0.0,0.0,0.0,0.0,0.09999999999885459,2.933533154108935e-13,2.931272175012007e-13,2.0269042840789636e-13,2.0269043412312801e-13,1.7555631587492962e-13,1.755564841710132e-13,1.7555169625868535e-13,1.7555169672193606e-13,1.5653336883144545e-13,1.5653439096299885e-13,1.4172806545970864e-13,1.4172806964736807e-13,2.2576793426467085e-16,3.1774806316549993e-19,1.344685305730096e-19,2.91408400900409e-20,2.3116927682405802e-18,5.430924101563035e-25,2.774384714958887e-20,2.592379349606608e-21,2.1438527698270664e-21,6.545965979984326e-21,9.644753401603749e-25,2.1380664854398923e-21,3.415789335173784e-21,1.4664994773157616e-21,1.0387542861552207e-21,1.3074757750125756e-21,1.372612023944975e-29,1.2908697858544688e-18,1.021644905276382e-18,5.905070495316634e-27,5.623876116938989e-22,3.9336143584310737e-22,2.3803770407770944e-30,3.697167995362287e-22,9.326849198488831e-23,6.3656344590682915e-31,8.148958825291104e-31,2.683736550505097e-26,4.611537325073587e-31,4.432594991721419e-34,4.612133694708151e-31,5.758782587194768e-35,7.677012101153047e-44,3.136784696939815e-41,2.3077036610296142e-49,2.92258733019906e-35,1.92190384695311e-45
8.52412981567781e-15,0.11224537200025721,0.9,0.0,0.0,0.0,0.0,0.09999999999770867,5.868340185792776e-13,5.860482779236991e-13,4.054688601477827e-13,4.0546888405855863e-13,3.511885256609594e-13,3.5118919989279174e-13,3.5117961288377955e-13,3.5117961474855544e-13,3.131347069902421e-13,3.1313761078955806e-13,2.835176658536709e-13,2.835176833176009e-13,7.844117130905901e-16,1.2707303438851447e-18,5.380370399398026e-19,1.165980184554888e-19,4.637399613819215e-18,4.345959693301982e-24,1.109996851658307e-19,1.8187137096132986e-20,8.578203581037483e-21,2.6187842267211547e-20,7.717167740029208e-24,7.070675841071891e-21,6.833047966201333e-21,4.825457092858511e-21,3.448532560517312e-21,4.3899478065907905e-21,9.254558891286897e-29,1.7251113904810182e-18,2.900922120297707e-18,2.3681744630729406e-26,1.573045406080087e-21,2.251195497927754e-21,2.3094882896439326e-29,1.2266491057686363e-21,6.258946614004072e-22,7.966133127961782e-30,1.3681919924605298e-30,1.0738442072486233e-25,6.323040146091341e-31,3.547423151230486e-33,6.323649069339663e-31,2.3343089111231734e-34,8.928444394537388e-43,6.1979332784036976e-40,9.213289174207552e-48,3.3791108499498373e-34,3.2269944775123877e-44
1.2787119851562697e-14,0.11224537200038581,0.9,0.0,0.0,0.0,0.0,0.09999999999656276,8.803147293027727e-13,8.787930136011025e-13,6.082472857786146e-13,6.082473378108115e-13,5.268204837844812e-13,5.268219176512142e-13,5.268075242276883e-13,5.268075282044795e-13,4.697360451464518e-13,4.69741058814542e-13,4.2530726197666495e-13,4.2530729992625263e-13,1.5188808173562252e-15,2.6997107121451245e-18,1.1434202190936392e-18,2.4778966843853533e-19,6.97772019321716e-18,1.2427553518971594e-23,2.3588215199880376e-19,4.8383751802037544e-20,1.8230428147015007e-20,5.564781446415044e-20,2.2066176033168668e-23,1.3283282013408591e-20,1.0250296415725595e-20,9.038093676358349e-21,6.493650877507731e-21,8.322990463723791e-21,2.412246017976914e-28,1.932945585768768e-18,5.0066067311102335e-18,5.0429635348192514e-26,2.6942807249890026e-21,5.433009178503366e-21,6.775336272848205e-29,2.3089383658601184e-21,1.628093555070384e-21,2.6154046444090253e-29,2.0423960704848986e-30,2.2821374706636033e-25,7.256716440386199e-31,1.0144402564383462e-32,7.256983887585358e-31,5.270555914524686e-34,2.9805972541480054e-42,2.434356525757293e-39,3.945057841863244e-47,1.0828884049769472e-33,1.2382176822312993e-43
1.7050109887447585e-14,0.11224537200051446,0.9,0.0,0.0,0.0,0.0,0.09999999999541684,1.1737954479746013e-12,1.1714022715839108e-12,8.110257053003955e-13,8.110257956484993e-13,7.024521902542747e-13,7.024546376882907e-13,7.024354302867845e-13,7.024354370897081e-13,6.263373833000746e-13,6.263446171203303e-13,5.670968538286911e-13,5.670969196648406e-13,2.3883257607151074e-15,4.6044456626906195e-18,1.950610036489469e-18,4.2271362422244345e-19,9.33534189525753e-18,2.621416062748034e-23,4.0238716146374397e-19,9.586565544772e-20,3.1100526499165416e-20,9.4922899039473e-20,4.654233492336813e-23,2.0382662098802432e-20,1.366753492173071e-20,1.383578762286717e-20,9.982591645523186e-21,1.2864593496311125e-20,4.701048315622122e-28,2.0324179937988454e-18,7.220653112461347e-18,8.62150635269712e-26,3.8662326220517246e-21,9.998663426788492e-21,1.4217949510074976e-28,3.548443621624566e-21,3.168006012645821e-21,6.006482230056553e-29,2.9515851857013494e-30,3.8932534566440474e-25,7.818433072371839e-31,2.1398638145956244e-32,7.8179775727014166e-31,9.389547327711258e-34,7.42276938353406e-42,6.827767667605347e-39,1.5152313353252563e-46,2.4539108424042266e-33,3.5225671922932843e-43
2.557608995921736e-14,0.1122453720007717,0.9,0.0,0.0,0.0,0.0,0.09999999999312502,1.7607569047492574e-12,1.7563941539374715e-12,1.216582530006393e-12,1.2165827214358995e-12,1.0537150126052032e-12,1.0537200836072106e-12,1.0536912299941139e-12,1.053691244133024e-12,9.395400596012488e-13,9.39551841549793e-13,8.506760275090433e-13,8.506761668698742e-13,4.352666010202384e-15,9.529917253505724e-18,4.0385925827929095e-18,8.751918619815216e-19,1.4097201717629018e-17,7.160082726275108e-23,8.330735794305455e-19,2.373964494579931e-19,6.43928760873429e-20,1.9649928453238998e-19,1.271102069575908e-22,3.5885879252858905e-20,2.0501989440948718e-20,2.4280483919687655e-20,1.7620008090767453e-20,2.2879146962898026e-20,1.1368790223676965e-27,2.128257503121687e-18,1.1751851138749913e-17,1.792317006353975e-25,6.256130565664977e-21,2.2450795622342193e-20,3.7324022543602173e-28,6.260701695404547e-21,7.645540273646622e-21,1.7931483942006797e-28,5.511761417617322e-30,8.060885732993945e-25,8.589030667634284e-31,5.844954613738101e-32,8.586048411709253e-31,2.1166136904792812e-33,2.68431617352228e-41,2.9673831212036587e-38,1.078127103217467e-45,7.266954626022718e-33,1.625593628465851e-42
3.410207003098713e-14,0.11224537200102895,0.9,0.0,0.0,0.0,0.0,0.0999999999908332,2.3477183925418653e-12,2.341106134334727e-12,1.6221393322472414e-12,1.6221396634488186e-12,1.4049769096085485e-12,1.4049855390630296e-12,1.4049470102492121e-12,1.404947034368264e-12,1.25274273589291e-12,1.2527591586763244e-12,1.1342551854835242e-12,1.134255426467392e-12,6.595049767702639e-15,1.6203535738657105e-17,6.868623399462641e-18,1.488471395498707e-18,1.8937057653230887e-17,1.4981417617290705e-22,1.4167990121221164e-18,4.568322733599081e-19,1.0951849560230039e-19,3.341445675296038e-19,2.6593199887706186e-22,5.286098491152529e-20,2.733640973317093e-20,3.567465496622256e-20,2.600692509593061e-20,3.397411635344348e-20,2.1467000128057733e-27,2.13892008890757e-18,1.6368226019151726e-17,3.0613444355851517e-25,8.682675138679637e-21,4.014165963440793e-20,7.425446425396137e-28,9.237721674276418e-21,1.4413815975998826e-20,3.9408371058665203e-28,9.363294667371648e-30,1.3709840929856595e-24,9.069725455573086e-31,1.2229996257895193e-31,9.062273948148305e-31,3.7686696396430504e-33,6.369818209231044e-41,7.926371834350833e-38,3.6209980702769856e-45,1.5998846251748867e-32,4.408943491857295e-42
5.115403017452668e-14,0.11224537200154344,0.9,0.0,0.0,0.0,0.0,0.09999999998624955,3.5216414732847323e-12,3.5101285843200517e-12,2.4332528629612554e-12,2.433253602918164e-12,2.107497665460588e-12,2.107516483599553e-12,2.107458506851656e-12,2.1074585596469018e-12,1.8791480884449947e-12,1.879173841857304e-12,1.7014134498598992e-12,1.7014139880179863e-12,1.1475195421996299e-14,3.528730201347871e-17,1.4964979779580323e-17,3.242956080037422e-18,2.890704660521721e-17,4.730583554657954e-22,3.0867239883935077e-18,1.1855183022283538e-18,2.386260588390029e-19,7.27749469942055e-19,8.394658602579676e-22,8.833881069496363e-20,4.100515129113492e-20,5.941580236192317e-20,4.3578879949073626e-20,5.74027118322086e-20,5.384797207431135e-27,2.136711508161136e-18,2.5624509301009167e-17,6.749347524451019e-25,1.3544072405682406e-20,9.283757962321338e-20,1.991328513957574e-27,1.5472540514403184e-20,3.606096768200491e-20,1.2790822942140951e-27,2.2040100444523815e-29,2.9871898523803647e-24,9.964779021763726e-31,3.8620241288539247e-31,9.93871533257489e-31,8.491311345276761e-33,2.2353086719080834e-40,3.417421687493886e-37,2.3542975534286303e-44,5.446033667309524e-32,2.1816921688618884e-41
6.650079430371227e-14,0.1122453720020065,0.9,0.0,0.0,0.0,0.0,0.09999999998212426,4.5781723653016185e-12,4.561975781709221e-12,3.1632549574738243e-12,3.1632562114557473e-12,2.7397629222583592e-12,2.739794372224555e-12,2.7397187817711325e-12,2.7397188702010597e-12,2.442912905706669e-12,2.4429470932256244e-12,2.2118558296806203e-12,2.2118567415802404e-12,1.613341305486213e-14,5.892555771258303e-17,2.499694724097688e-17,5.41685183522677e-18,3.821906865857908e-17,9.972528911562248e-22,5.15588439764259e-18,2.1797208400716004e-18,3.9861071612872365e-19,1.2152297757406286e-18,1.7692792763982338e-21,1.211459736844731e-19,5.330691800717441e-20,8.132134188800987e-20,5.985752710717623e-20,7.923462348953236e-20,9.696732649973538e-27,2.1269959390833928e-18,3.396289184299643e-17,1.139485360017478e-24,1.792175831510194e-20,1.5978249850821122e-19,3.704922541240442e-27,2.124675300978715e-20,6.483691595044957e-20,2.664655381961537e-27,3.926825702030443e-29,4.989924048436209e-24,1.0764112102461952e-30,8.141888118810858e-31,1.070778791612539e-30,1.4360072576854564e-32,5.00448762740079e-40,8.43904776075474e-37,7.449610066289846e-44,1.1898558599260139e-31,5.991840574921457e-41
8.184755843289786e-14,0.11224537200246952,0.9,0.0,0.0,0.0,0.0,0.09999999997799898,5.634703371506902e-12,5.613738060879407e-12,3.8932569729586105e-12,3.8932588803560054e-12,3.372024924961999e-12,3.3720722980704573e-12,3.3719789882262926e-12,3.3719791216278466e-12,3.0066777229348787e-12,3.006720365985906e-12,2.722298154251305e-12,2.7222995413118308e-12,2.0869960066095788e-14,8.870562566899725e-17,3.76382921145418e-17,8.156144899583343e-18,4.786505764476139e-17,1.813984448416482e-21,7.763312272583894e-18,3.507079349310148e-18,6.002224106584746e-19,1.8292234826408253e-18,3.217561169279108e-21,1.5405734151169143e-19,6.560860637773135e-20,1.0328124259492593e-19,7.619764431687643e-20,1.011951543195969e-19,1.535887730004859e-26,2.1233844634085926e-18,4.229517005070027e-17,1.734963928995205e-24,2.2296811551773977e-20,2.4528775977698516e-19,5.99188123663947e-27,2.7042189696467673e-20,1.0258137988065614e-19,4.70016436344362e-27,6.223376095093829e-29,7.513757601997955e-24,1.1609932366793979e-30,1.4810604640842427e-30,1.1506425037875138e-30,2.1761802433582322e-32,9.43968568604227e-40,1.7052578517582016e-36,1.8386154908977408e-43,2.2171003480159524e-31,1.319524111394481e-40
