Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164)
1.3469056109142857e-15,0.11224537200004066,0.9,0.0,0.0,0.0,0.0,0.09999999999963795,9.272618169710785e-14,9.270102276100138e-14,6.406851098318875e-14,6.406851098318875e-14,5.5491712377336575e-14,5.5491728727903676e-14,5.549021661822694e-14,5.549021661822694e-14,4.947870374401269e-14,4.947870374401269e-14,4.479888956684005e-14,4.479888956684005e-14,2.5127167580173893e-17,3.17685262763894e-20,1.3438306920815684e-20,2.9122601909635237e-21
2.6949814265296265e-15,0.11224537200008133,0.9,0.0,0.0,0.0,0.0,0.09999999999927559,1.8553292480271373e-13,1.8543722952286804e-13,1.2819268531183946e-13,1.2819268531183946e-13,1.1103160376497236e-13,1.1103166920942957e-13,1.1102864367634052e-13,1.1102864367634052e-13,9.90003950670599e-14,9.90003950670599e-14,8.963670084464241e-14,8.963670084464241e-14,9.556815100752025e-17,1.2712883813729543e-19,5.378786244140603e-20,1.1656594787378257e-20
5.391133057760308e-15,0.11224537200016271,0.9,0.0,0.0,0.0,0.0,0.09999999999855085,3.711464110125802e-13,3.7079842422447384e-13,2.5644103396821147e-13,2.5644103396821147e-13,2.221112883119793e-13,2.2211155017167634e-13,2.2210549779176265e-13,2.2210549779176265e-13,1.9804377771243652e-13,1.9804377771243652e-13,1.7931232339959716e-13,1.7931232339959716e-13,3.474783040604246e-16,5.084840459633379e-19,2.1521841891272523e-19,4.6641278112836635e-20
8.087284688990988e-15,0.11224537200024401,0.9,0.0,0.0,0.0,0.0,0.0999999999978261,5.567598972211016e-13,5.560662365784373e-13,3.8468938262365397e-13,3.8468938262365397e-13,3.3319087463293857e-13,3.3319143113311806e-13,3.3318235190637974e-13,3.3318235190637974e-13,2.970871603570953e-13,2.970871603570953e-13,2.6898794595390205e-13,2.6898794595390205e-13,6.925802707445561e-16,1.0803719195616188e-18,4.573783905822585e-19,9.91217888399149e-20
1.0783436320221669e-14,0.11224537200032535,0.9,0.0,0.0,0.0,0.0,0.09999999999710137,7.423733834282777e-13,7.412556377016546e-13,5.12937731278167e-13,5.12937731278167e-13,4.4427036273006717e-13,4.442713120937547e-13,4.4425920602019183e-13,4.4425920602019183e-13,3.961305430010363e-13,3.961305430010363e-13,3.58663568507557e-13,3.58663568507557e-13,1.1159030206816092e-15,1.8427059412507778e-18,7.802657472689531e-19,1.6909794023978104e-19
1.617573958268303e-14,0.11224537200048806,0.9,0.0,0.0,0.0,0.0,0.09999999999565189,1.1136003558394729e-12,1.1114877461364256e-12,7.694344285850118e-13,7.694344285850118e-13,6.66429108405884e-13,6.664310740131387e-13,6.664129142459267e-13,6.664129142459267e-13,5.942173082872337e-13,5.942173082872337e-13,5.380148136133416e-13,5.380148136133416e-13,2.1087955830378622e-15,3.814120008962318e-18,1.615496393279501e-18,3.5011086130494415e-19
2.156804284514439e-14,0.11224537200065078,0.9,0.0,0.0,0.0,0.0,0.09999999999420241,1.484827328245721e-12,1.4815239579753394e-12,1.0259311258884383e-12,1.0259311258884383e-12,8.885874928960584e-13,8.885908359295622e-13,8.885666224687012e-13,8.885666224687012e-13,7.923040735707912e-13,7.923040735707912e-13,7.173660587167361e-13,7.173660587167361e-13,3.296884945057262e-15,6.4853253240071816e-18,2.747573561812966e-18,5.95459941923309e-19
3.2352649370067113e-14,0.11224537200097613,0.9,0.0,0.0,0.0,0.0,0.09999999999130346,2.2272812730419735e-12,2.221229321596098e-12,1.5389245204840687e-12,1.5389245204840687e-12,1.3329030759607637e-12,1.3329103597526885e-12,1.3328740389045293e-12,1.3328740389045293e-12,1.1884776041292392e-12,1.1884776041292392e-12,1.0760685489156775e-12,1.0760685489156775e-12,6.0378275750360645e-15,1.4123870839299413e-17,5.986384090729131e-18,1.297407833853712e-18
4.3137255894989835e-14,0.11224537200130157,0.9,0.0,0.0,0.0,0.0,0.09999999998840452,2.969735217816814e-12,2.9606096935829352e-12,2.051917915064904e-12,2.051917915064904e-12,1.7772170958408617e-12,1.7772298835630006e-12,1.7771814553275441e-12,1.7771814553275441e-12,1.5846511346762614e-12,1.5846511346762614e-12,1.434771039104274e-12,1.434771039104274e-12,9.100736153203926e-15,2.478808067462137e-17,1.0509904219037417e-17,2.277817919394654e-18
5.392186241991256e-14,0.11224537200162693,0.9,0.0,0.0,0.0,0.0,0.09999999998550557,3.712189162570168e-12,3.699826390670067e-12,2.564911309630894e-12,2.564911309630894e-12,2.221529547269644e-12,2.221549407360454e-12,2.2214888717377005e-12,2.2214888717377005e-12,1.9808246652118186e-12,1.9808246652118186e-12,1.7934735292824896e-12,1.7934735292824896e-12,1.2324284730930715e-14,3.8487169170962965e-17,1.632244979580742e-17,3.537641014053372e-18
