Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481)
0.0,0.11224537200000001,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7915027576192726e-18,0.11224537200000007,0.9,0.0,0.0,0.0,0.0,0.09999999999999953,1.2333396554986144e-16,1.2333389516413717e-16,8.521674657205916e-17,8.521674657372399e-17,7.380887285337535e-17,7.380887289833511e-17,7.38068616582216e-17,7.380686165834342e-17,6.581102156139159e-17,6.581102156139159e-17,5.958645768946935e-17,5.958645769063332e-17,7.029902638046287e-23,8.428790481337384e-26,3.5646007604961966e-26,7.72493289873027e-27,5.876304942534884e-31,1.0587768960114804e-34,7.35543439456635e-27,5.8733655401094666e-31,5.682969513846103e-28,1.735519425956914e-27,1.880625563356743e-34,7.1244888634508375e-28,3.395128858469054e-42,4.922583593779106e-28,3.4420784020663287e-28
5.016207721333963e-18,0.11224537200000019,0.9,0.0,0.0,0.0,0.0,0.09999999999999866,3.4533510354236e-16,3.453346784647124e-16,2.386068903982698e-16,2.38606890408326e-16,2.066648438454335e-16,2.0666484411699037e-16,2.0665921264001047e-16,2.0665921264074616e-16,1.8427086037189548e-16,1.8427086037189548e-16,1.6684208152807005e-16,1.6684208153510073e-16,4.245539883108823e-22,5.090986545379037e-25,2.1530188245704863e-25,4.665859377069549e-26,6.97556524471567e-30,1.2569799078126684e-33,4.4426818545144277e-26,6.972075586467172e-30,3.4325135863859434e-27,1.0482536039819629e-26,2.2326784166255964e-33,4.3024172489636696e-27,7.593952092145714e-41,2.9726867511031155e-27,2.078651440496124e-27
1.1465617648763345e-17,0.11224537200000036,0.9,0.0,0.0,0.0,0.0,0.09999999999999692,7.893373795383552e-16,7.893353335032088e-16,5.453871780367078e-16,5.453871780851298e-16,4.723767852534796e-16,4.723767865609093e-16,4.72363914591548e-16,4.723639145950902e-16,4.211905379928991e-16,4.211905379928991e-16,3.8135332919549496e-16,3.813533292293482e-16,2.043513912597783e-21,2.4510879149754938e-24,1.0365858489984707e-24,2.246410346305466e-25,6.846991267586326e-29,1.234110278281284e-32,2.1389595424243413e-25,6.8435651010832e-29,1.6526075346607918e-26,5.0468885512429846e-26,2.1920563748550654e-32,2.0706407397815575e-26,1.5000845087645055e-39,1.4306570072597105e-26,1.0004107177305697e-26
2.436443750362211e-17,0.11224537200000073,0.9,0.0,0.0,0.0,0.0,0.09999999999999346,1.6773419315743867e-15,1.6773330006611919e-15,1.1589477532576499e-15,1.1589477534691715e-15,1.0038006657652924e-15,1.00380067147518e-15,1.0037733184464622e-15,1.0037733184619322e-15,8.950298932348899e-16,8.950298932348899e-16,8.103758244912382e-16,8.103758246391164e-16,8.91990195500177e-21,1.0704518910174565e-23,4.527042426907363e-24,9.810663328052826e-25,6.05313522871535e-28,1.0915564781216416e-31,9.341393630027406e-25,6.050104824415002e-28,7.217371282939448e-26,2.2041076668785517e-25,1.9388480890325831e-31,9.036116336054007e-26,2.668061034125809e-38,6.243107726848453e-26,4.3658047822716573e-26
5.016207721333964e-17,0.11224537200000154,0.9,0.0,0.0,0.0,0.0,0.09999999999998652,3.45335103582301e-15,3.4533137899052616e-15,2.3860689034758008e-15,2.386068904359273e-15,2.066648417571801e-15,2.0666484414094547e-15,2.0665921259636452e-15,2.0665921260282324e-15,1.8427086037188057e-15,1.8427086037188057e-15,1.6684208149262993e-15,1.6684208155439323e-15,3.7199945078518486e-20,4.468904250268513e-23,1.8899508381846198e-23,4.09575811490584e-24,5.0830675072107125e-27,9.175188444393258e-31,3.8998440770843686e-24,5.0805202717712905e-27,3.013110436560611e-25,9.201705959660682e-25,1.629717044566739e-30,3.7666333218161476e-25,4.4958313181919165e-37,2.602249130021805e-25,1.8199257035705682e-25
1.017573566327747e-16,0.11224537200000308,0.9,0.0,0.0,0.0,0.0,0.09999999999997265,7.0053692450296365e-15,7.005217400162203e-15,4.840311203017166e-15,4.840311206629798e-15,4.192343884316365e-15,4.1923439817009354e-15,4.192229740227406e-15,4.192229740491297e-15,3.7380660246863745e-15,3.7380660246863745e-15,3.3845107951707206e-15,3.3845107976961594e-15,1.5165703036436387e-19,1.8256755390914076e-22,7.721063724674973e-23,1.6732502581561187e-23,4.1592991439434456e-26,7.522371423588273e-30,1.5932103945570696e-23,4.157210769663246e-26,1.2309539288475525e-24,3.759189226303753e-24,1.3361378748924928e-29,1.5340995764216373e-24,7.370514055135045e-36,1.0597472163574343e-24,7.412920860501236e-25
2.0494791547164479e-16,0.11224537200000619,0.9,0.0,0.0,0.0,0.0,0.09999999999994491,1.4109405666305249e-14,1.4108794431865096e-14,9.748795798520159e-15,9.748795813149885e-15,8.443734670331807e-15,8.443735063975627e-15,8.443504965672355e-15,8.443504966739284e-15,7.52878086662046e-15,7.52878086662046e-15,6.8166907531567585e-15,6.816690763382678e-15,6.104749822083236e-19,7.379530424171313e-22,3.120975688651029e-22,6.763540440032444e-23,3.35525185349973e-25,6.091807514665737e-29,6.439985750418028e-23,3.3535606390919287e-25,4.9757125941334406e-24,1.5195180006990122e-23,1.0820348466446837e-28,6.163456583251216e-24,1.1903097312537035e-34,4.2567705047301094e-24,2.9787263172361226e-24
4.1132903314938497e-16,0.11224537200001239,0.9,0.0,0.0,0.0,0.0,0.09999999999988944,2.831747852050048e-14,2.8315041018390893e-14,1.9565764975207176e-14,1.9565765034245207e-14,1.694651565246895e-14,1.6946517235291916e-14,1.6946055404230667e-14,1.6946055408522692e-14,1.5110210550484427e-14,1.5110210550484427e-14,1.3681050659117613e-14,1.3681050700375558e-14,2.4344468500969207e-18,2.967163798256646e-21,1.2549292162052832e-21,2.719586137853305e-22,2.6798155274771432e-24,4.903210393299669e-28,2.5894697575045814e-22,2.6784542993963208e-24,2.0007121510319028e-23,6.109863671647836e-23,8.709089441712133e-28,2.448554069590769e-23,1.9026785158473375e-33,1.690374248047856e-23,1.1837355302837389e-23
8.240912685048653e-16,0.11224537200002488,0.9,0.0,0.0,0.0,0.0,0.09999999999977849,5.6733624276959464e-14,5.672400748670628e-14,3.919970327130535e-14,3.919970350972101e-14,3.3952075257176205e-14,3.395208160499214e-14,3.3951156232011127e-14,3.395115624923924e-14,3.027306991819554e-14,3.027306991819554e-14,2.7409770430994456e-14,2.7409770597543945e-14,9.604525465678143e-18,1.1898768006420843e-20,5.032816355721825e-21,1.0906726891999634e-21,2.117764004726973e-23,3.9345074850362e-27,1.0384773644370858e-21,2.1166717183776555e-23,8.023750573316297e-23,2.450287393522291e-22,6.988386101876677e-27,9.58907245275761e-23,3.009373945259747e-32,6.614480047653425e-23,4.638639644791418e-23
1.6496157392158263e-15,0.11224537200004978,0.9,0.0,0.0,0.0,0.0,0.09999999999955658,1.1356591599314696e-13,1.1352861351931899e-13,7.846757963439825e-14,7.846758060163451e-14,6.796318502838644e-14,6.796321045266317e-14,6.79613576901529e-14,6.796135775927125e-14,6.059878865355046e-14,6.059878865355046e-14,5.4867209814568634e-14,5.486721048980343e-14,3.7253260495898925e-17,4.7650341507431903e-20,2.01574276819255e-20,4.368355735994908e-21,1.646758034996419e-22,3.152377741893901e-26,4.1592049604495074e-21,1.645882898184109e-22,3.2136854012488207e-22,9.813600117611396e-22,5.599037232851576e-26,3.667496230356332e-22,4.68516494825595e-31,2.525940759241668e-22,1.7761941658446752e-22
3.3006646806377477e-15,0.1122453720000996,0.9,0.0,0.0,0.0,0.0,0.09999999999911277,2.2723050031367156e-13,2.2709010269586293e-13,1.5700333144417032e-13,1.5700333540243225e-13,1.3598536681849983e-13,1.3598546858108746e-13,1.3598175981622954e-13,1.359817600937309e-13,1.2125022612399115e-13,1.2125022612399115e-13,1.0978208794099899e-13,1.097820907016028e-13,1.4019997943579916e-16,1.9067554127559244e-19,8.068153187278301e-20,1.7484615570938173e-20,1.2448025434462138e-21,2.5237931567206066e-25,1.664677024585605e-20,1.2441019359455355e-21,1.2863116757655652e-21,3.927733327703138e-21,4.482352816775762e-25,1.3455900713943235e-21,7.096671259159498e-30,9.242375207002135e-22,6.530356117734469e-22
6.6027625634815914e-15,0.11224537200019923,0.9,0.0,0.0,0.0,0.0,0.09999999999822515,4.545596729543462e-13,4.5405838279975687e-13,3.140748313980594e-13,3.1407484778540295e-13,2.720295793935793e-13,2.720299865702649e-13,2.720225609041571e-13,2.7202256202023287e-13,2.4255310106379575e-13,2.4255310106379575e-13,2.1961184163098775e-13,2.1961185304771354e-13,5.004949388460013e-16,7.626084905235067e-19,3.2282553332101177e-19,6.995970350445177e-20,8.957143417112091e-21,2.0197602352944686e-24,6.660272805386473e-20,8.95153696519575e-21,5.146922239060876e-21,1.571393539123259e-20,3.586794164775394e-24,4.604734669610821e-21,1.0248372820421287e-28,3.149007780334927e-21,2.242278207707268e-21
9.904860446325435e-15,0.11224537200029887,0.9,0.0,0.0,0.0,0.0,0.09999999999733752,6.81888849927384e-13,6.809012846930996e-13,4.711463276862937e-13,4.711463631809971e-13,4.080736409675921e-13,4.0807450629177123e-13,4.080633588251447e-13,4.080633612043176e-13,3.638559760025237e-13,3.638559760025237e-13,3.294415927581046e-13,3.294416174762687e-13,9.858696266089501e-16,1.6202552679450975e-18,6.860615948630347e-19,1.4867635303809278e-19,2.4149592445369357e-20,5.77574741642724e-24,1.415365839370864e-19,2.4133560807274328e-20,1.0938257118955094e-20,3.339220556006143e-20,1.0256250337112274e-23,8.832604967510464e-21,3.5965850754520544e-28,6.024009187560307e-21,4.309998496078343e-21
1.3206958329169279e-14,0.11224537200039847,0.9,0.0,0.0,0.0,0.0,0.0999999999964499,9.092180314804536e-13,9.076425604114653e-13,6.282178203088732e-13,6.282178817597951e-13,5.441175515446189e-13,5.441190277456061e-13,5.441041535770322e-13,5.441041576459851e-13,4.851588509401748e-13,4.851588509401748e-13,4.392713413223497e-13,4.3927138410713504e-13,1.5725705879312004e-15,2.763477076865582e-18,1.1703859836406958e-18,2.5363355754664697e-19,4.8384375742507036e-20,1.2183251847251067e-23,2.4144596281820026e-19,4.8350560210576833e-20,1.8660316340033177e-20,5.696115683429595e-20,2.1633154996753013e-23,1.3781532252336197e-20,8.749138022297475e-28,9.378657252108175e-21,6.7363297581368416e-21
1.9811154094856965e-14,0.11224537200059774,0.9,0.0,0.0,0.0,0.0,0.09999999999467467,1.3638764058690294e-12,1.3609433062299101e-12,9.423607969509653e-13,9.423609267515525e-13,8.162050183306492e-13,8.162080747189451e-13,8.161857356381111e-13,8.161857440930348e-13,7.277646008129504e-13,7.277646008129504e-13,6.589308324359368e-13,6.589309227978658e-13,2.927070898384764e-15,5.719808487842029e-18,2.4232100726175307e-18,5.251298200827938e-19,1.2180664981639462e-19,3.3277486658721647e-23,4.998750655764065e-19,1.2171429150793668e-19,3.8635726679598695e-20,1.1791982603180984e-19,5.908368235948218e-23,2.4838281089589157e-20,2.8605602436548332e-27,1.6850265007946168e-20,1.2170321092902043e-20
2.6415349860544652e-14,0.11224537200079704,0.9,0.0,0.0,0.0,0.0,0.09999999999289944,1.8185347983603518e-12,1.8140087504511874e-12,1.2565037601131377e-12,1.256503984304875e-12,1.0882919298808045e-12,1.0882971280626735e-12,1.0882673060331933e-12,1.088267320455239e-12,9.703703506817663e-13,9.703703506817663e-13,8.785903141249305e-13,8.785904702039378e-13,4.515761718783725e-15,9.725464680883258e-18,4.12128812028911e-18,8.931136005623525e-19,2.375891281367064e-19,6.962879154309964e-23,8.50134205007309e-19,2.373958912321257e-19,6.571109923217875e-20,2.005291133981955e-19,1.2361488424873198e-22,3.728627644713835e-20,6.771211203175868e-27,2.5229881255673808e-20,1.8306394868648977e-20
3.962374139192003e-14,0.11224537200119554,0.9,0.0,0.0,0.0,0.0,0.09999999998934896,2.7278516455539075e-12,2.7197435160473466e-12,1.884789642174143e-12,1.8847901424975294e-12,1.6324639299494695e-12,1.6324752556682584e-12,1.632430408487244e-12,1.63243044006454e-12,1.455581850406397e-12,1.455581850406397e-12,1.3179092465558505e-12,1.317909595011643e-12,8.08559557127552e-15,2.117990804386157e-17,8.979348084927715e-18,1.945870783169104e-18,6.33061488122769e-19,2.1986590662063194e-22,1.8521522826895626e-18,6.324514023918239e-19,1.4317563952805825e-19,4.367834033730538e-19,3.9024653818681e-22,6.398281240522797e-20,2.67138625063724e-26,4.3132308500056277e-20,3.150650518652515e-20
5.151129377015786e-14,0.11224537200155421,0.9,0.0,0.0,0.0,0.0,0.09999999998615353,3.546236879010601e-12,3.5346113839091363e-12,2.4502468861479452e-12,2.4502477339916155e-12,2.1222166757356624e-12,2.122235594086273e-12,2.1221771574854996e-12,2.1221772103949394e-12,1.8922722001439133e-12,1.8922722001439133e-12,1.7132962508689068e-12,1.7132968415860016e-12,1.1587721855233902e-14,3.536785355595294e-17,1.499892770429534e-17,3.250315864892905e-18,1.1838041884632835e-18,4.635038260800528e-22,3.0937181868875953e-18,1.1825182041452953e-18,2.391664365770942e-19,7.29419641681112e-19,8.22543672155194e-22,8.916279030740262e-20,6.318024755528854e-26,5.99663042186968e-20,4.3987420490959226e-20
6.33988461483957e-14,0.11224537200191285,0.9,0.0,0.0,0.0,0.0,0.0999999999829581,4.364622180766662e-12,4.3493607904980786e-12,3.0157040827021498e-12,3.015705372706571e-12,2.611967468821893e-12,2.611995954914006e-12,2.611923865399787e-12,2.6119239452489128e-12,2.3289625498675005e-12,2.3289625498675005e-12,2.108683222028173e-12,2.10868412113763e-12,1.520435950663965e-14,5.324191415307632e-17,2.2584356505291798e-17,4.8940593890216186e-18,1.9303836825845907e-18,8.431137854384306e-22,4.658251432389567e-18,1.9280447478511022e-18,3.6013345617323806e-19,1.0980464130471266e-18,1.495946029172287e-21,1.146192809754186e-19,1.2508112274476566e-25,7.696213860176785e-20,5.661963436831183e-20
7.528639852663354e-14,0.11224537200227155,0.9,0.0,0.0,0.0,0.0,0.09999999997976267,5.183007551160399e-12,5.164062215644688e-12,3.5811612317841367e-12,3.5811630588564655e-12,3.101716307221279e-12,3.1017563381763205e-12,3.1016705321864397e-12,3.101670644587092e-12,2.7656528995771444e-12,2.7656528995771444e-12,2.504070159996859e-12,2.5040714338413715e-12,1.88650205523996e-14,7.480530911164778e-17,3.173720741303232e-17,6.877433461816169e-18,2.8777362424065025e-18,1.3881065262169953e-21,6.54610290048489e-18,2.8738858450346894e-18,5.06104416829015e-19,1.5426869953230298e-18,2.4625104735240578e-21,1.4009007576963656e-19,2.1962792818481746e-25,9.395814839656709e-20,6.926506408310924e-20
9.90615032831092e-14,0.1122453720029889,0.9,0.0,0.0,0.0,0.0,0.0999999999733718,6.819778498148271e-12,6.793437185679124e-12,4.712075387444338e-12,4.712078573628174e-12,4.081208117358573e-12,4.081277172045852e-12,4.08116374233879e-12,4.0811639366508876e-12,3.639033598954574e-12,3.639033598954574e-12,3.2948439363015797e-12,3.294846158862936e-12,2.620233720098187e-14,1.2900355449620892e-16,5.47471497343189e-17,1.1863453209109535e-17,5.383198320780543e-18,3.1348892241134616e-21,1.1292339670435996e-17,5.374504825359536e-18,8.731040655735277e-19,2.6598149297370404e-18,5.5591531219698796e-21,1.909131952123043e-19,5.469250763157657e-25,1.278696751296866e-19,9.449869828888443e-20
1.4661171279606053e-13,0.11224537200442357,0.9,0.0,0.0,0.0,0.0,0.0999999999605901,1.0093321766234871e-11,1.0052096290613743e-11,6.973902748679291e-12,6.9739105525856245e-12,6.040152639710431e-12,6.040319288779153e-12,6.040149340549357e-12,6.040149809982882e-12,5.385794997430366e-12,5.385794997430366e-12,4.87639082465119e-12,4.876396272733263e-12,4.088859968097969e-14,3.111712183841967e-16,1.3211632293933913e-16,2.8627210789346855e-17,1.44792759126218e-17,1.3549036851847248e-20,2.7255398233182552e-17,1.4441740664645454e-17,2.1075202368994038e-18,6.407865694088098e-18,2.3988978079900183e-20,2.9241537225367083e-19,2.766955403341484e-24,1.955998585477136e-19,1.44893254592372e-19
1.9416192230901188e-13,0.11224537200585827,0.9,0.0,0.0,0.0,0.0,0.0999999999478084,1.3366866133560718e-11,1.3310703346417212e-11,9.235729349805041e-12,9.235743291027604e-12,7.999065897651752e-12,7.99936176472688e-12,7.999134281817426e-12,7.999135114647777e-12,7.132556395682892e-12,7.132556395682892e-12,6.457937181564378e-12,6.457946917640639e-12,5.556358461658342e-14,5.523162577124119e-16,2.345519945678731e-16,5.082078479538802e-17,2.685191901437392e-17,3.2036872055597275e-20,4.8395159294180896e-17,2.6763222195572995e-17,3.7422916869795804e-18,1.1361762256957263e-17,5.666683052030476e-20,3.93910868058347e-19,6.883774972357468e-24,2.6332801033492987e-19,1.952828874195847e-19
2.892623413349146e-13,0.11224537200872767,0.9,0.0,0.0,0.0,0.0,0.09999999992224498,1.9913959265142448e-11,1.9827671227165064e-11,1.3759379511621768e-11,1.3759411805745258e-11,1.1916767453115777e-11,1.1917448153477404e-11,1.1917101541348977e-11,1.1917103449310296e-11,1.062607919129488e-11,1.062607919129488e-11,9.621027769646496e-12,9.621050331584259e-12,8.490674698365658e-14,1.2702506838162235e-15,5.396003899224042e-16,1.1690322869078817e-16,6.474378731183804e-17,1.1709213578374536e-19,1.113812221881815e-16,6.442014883302474e-17,8.6132562894364e-18,2.6060450735984826e-17,2.065730764742678e-19,5.968995298188449e-19,2.673344471977124e-23,3.9878367389807323e-19,2.9606036105677916e-19
3.843627603608173e-13,0.11224537201159708,0.9,0.0,0.0,0.0,0.0,0.09999999989668157,2.6461056793649432e-11,2.6344388200635174e-11,1.8283026633005766e-11,1.828308335819908e-11,1.5834344145297256e-11,1.5835535979080368e-11,1.5835066182605014e-11,1.5835069509306668e-11,1.4119601986013806e-11,1.4119601986013806e-11,1.2784116231985785e-11,1.278415586965364e-11,1.14248044296772e-13,2.2235644215804814e-15,9.447369743228185e-16,2.046570248769006e-16,1.1582454672781295e-16,2.6599441521321513e-19,1.9507355356928063e-16,1.1509021187741391e-16,1.508564318146788e-17,4.551776553294682e-17,4.684026750634763e-19,7.998881013837022e-19,6.223987767138809e-23,5.342393633349914e-19,3.9683772731236243e-19
