Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506)
2.1101955438496813e-15,0.1122453720000637,0.9,0.0,0.0,0.0,0.0,0.09999999999943278,1.4527400805720706e-13,1.4521402716124e-13,1.0037606491345235e-13,1.0037606627227578e-13,8.693878942472683e-14,8.693883067357164e-14,8.693646067542673e-14,8.693646078863048e-14,7.751823090623478e-14,7.751854441744751e-14,7.018637046831355e-14,7.01863714666688e-14,5.990028670355195e-17,7.796734967544664e-20,3.2984800562705586e-20,7.148196607029295e-21,1.1438477589903668e-18,6.600539848054668e-26,6.805868787163395e-21,3.389325386435088e-22,5.258757897621841e-22,1.605831683328379e-21,1.172180683716017e-25,5.853368848338142e-22,1.6915640626928453e-21,4.0281950868935944e-22,2.8365649461999003e-22,3.544284515016988e-22,1.8401765811332093e-30,8.317612195704689e-19,3.1343899447660373e-19,1.4475199187372413e-27,1.747914119916129e-22,5.964880571059826e-23,1.9637574104043588e-31,1.0100113177768936e-22,1.2566740049275829e-23,4.414392398196165e-32,4.942644544154903e-31,6.583064322091603e-27,2.9231607327089757e-31,5.386227695846396e-35,2.9235548765226953e-31,1.3760886993123122e-35,5.5860745439072136e-45,1.2761730620786446e-42,4.6100148520951765e-51,2.180284586162079e-36
4.222224446121474e-15,0.11224537200012741,0.9,0.0,0.0,0.0,0.0,0.09999999999886505,2.906742335444672e-13,2.904519418918535e-13,2.008393355303602e-13,2.0083934113886655e-13,1.7395302978297866e-13,1.7395319501693644e-13,1.7394845087033031e-13,1.739484513251294e-13,1.5510381040493889e-13,1.5510481764487915e-13,1.4043371814108558e-13,1.4043372225071253e-13,2.219676989864764e-16,3.119725446359072e-19,1.3202367561573763e-19,2.8611014027377304e-20,2.290537478440414e-18,5.28349221039905e-25,2.723944386038126e-20,2.5252332226619304e-21,2.104873628579881e-21,6.426958609313819e-21,9.382935475601985e-25,2.103177508748822e-21,3.3845943219962277e-21,1.4426479355532867e-21,1.0217610727480006e-21,1.2859304484558526e-21,1.3376204947158523e-29,1.284630436315616e-18,1.0067649567835426e-18,5.797616823778627e-27,5.543024753171307e-22,3.840693174902158e-22,2.306671366156931e-30,3.6367096577727643e-22,9.089641260447318e-23,6.1511770956577755e-31,8.098299191464803e-31,2.634941340199963e-26,4.588094740107088e-31,4.312257209285306e-34,4.5886887724810784e-31,5.652742330464285e-35,7.42506309502815e-44,3.0115291074862594e-41,2.1950403611751156e-49,2.8271707572675134e-35
8.446282250665059e-15,0.11224537200025485,0.9,0.0,0.0,0.0,0.0,0.0999999999977296,5.814746913678979e-13,5.807013651287624e-13,4.0176587076618797e-13,4.0176589422663634e-13,3.4798126340387846e-13,3.4798192536436347e-13,3.479724260798389e-13,3.479724279105354e-13,3.102749693998072e-13,3.102778357942546e-13,2.809284092933154e-13,2.8092842642904654e-13,7.720215936050018e-16,1.2476368706017038e-18,5.282547677128907e-19,1.144781136511084e-19,4.594760280738301e-18,4.227978455437258e-24,1.089816955871834e-19,1.7733493820012453e-20,8.422236242915258e-21,2.5711781226022278e-20,7.507683841603851e-24,6.964418188783494e-21,6.770644643503277e-21,4.753308314167523e-21,3.396504889384756e-21,4.32295699529741e-21,9.029409212144605e-29,1.7202037119510879e-18,2.8635820326938416e-18,2.324998568034277e-26,1.5531045684186213e-21,2.201604685270458e-21,2.2442868552750206e-29,1.2081544159081997e-21,6.10706744274361e-22,7.711363721883072e-30,1.3569221534002168e-30,1.054319766848496e-25,6.30216924271826e-31,3.4511163519792544e-33,6.302782165058909e-31,2.291594994415962e-34,8.65075975291012e-43,5.9657656570474285e-40,8.785988616878324e-48,3.2739999767745753e-34
1.2670340055208643e-14,0.1122453720003823,0.9,0.0,0.0,0.0,0.0,0.09999999999659415,8.722751565975031e-13,8.707764978623952e-13,6.026924000040348e-13,6.026924510539062e-13,5.220092499377161e-13,5.220106577043404e-13,5.219963961042883e-13,5.219964000083495e-13,4.654461283921356e-13,4.654510818024386e-13,4.2142309625223105e-13,4.214231334867499e-13,1.4958757221147503e-15,2.6506517152904986e-18,1.1226313879814735e-18,2.432845709332674e-19,6.91325403414537e-18,1.2090177664144554e-23,2.315938454868617e-19,4.7201151037719957e-20,1.7898965815682464e-20,5.463626916801835e-20,2.146720145581363e-23,1.309395348558308e-20,1.015668496244284e-20,8.91005171813584e-21,6.400660825407068e-21,8.202153405699984e-21,2.3549814656707317e-28,1.9296726738188107e-18,4.946503409173482e-18,4.9508735219361754e-26,2.662428564475123e-21,5.3170924360247654e-21,6.591993973808047e-29,2.2758989719994614e-21,1.5895505665536254e-21,2.5338009654348415e-29,2.0192063231959676e-30,2.240644061299774e-25,7.239448873318484e-31,9.868998446849494e-33,7.239733532388385e-31,5.174272671509033e-34,2.8895998965851356e-42,2.345210390188576e-39,3.7647257310759947e-47,1.049824318327323e-33
1.6894397859752226e-14,0.11224537200050974,0.9,0.0,0.0,0.0,0.0,0.0999999999954587,1.1630756296204389e-12,1.160717433001695e-12,8.036189232439042e-13,8.036190118852282e-13,6.960369893930327e-13,6.960393922749173e-13,6.960203609401148e-13,6.960203676185719e-13,6.206172873819242e-13,6.206244384262459e-13,5.619177790178326e-13,5.619178436123393e-13,2.353434784489644e-15,4.5207782774118434e-18,1.915145722908582e-18,4.1502827885175877e-19,9.248656477449907e-18,2.5502514571705233e-23,3.9507188307179237e-19,9.356209421178262e-20,3.053506237719754e-20,9.319751986981231e-20,4.527900020863437e-23,2.0104627600571758e-20,1.3542715509277529e-20,1.364831782925221e-20,9.845711968369413e-21,1.2685469461416826e-20,4.591661541106228e-28,2.0304071626153876e-18,7.138159242370817e-18,8.463809005222437e-26,3.822695485329055e-21,9.79011155012585e-21,1.3845975722378152e-28,3.499828687780283e-21,3.0945037088826194e-21,5.822998082443152e-29,2.9095171223130968e-30,3.822467028398558e-25,7.803474344036887e-31,2.0817699739247837e-32,7.803058072531109e-31,9.218188791538418e-34,7.199857280668642e-42,6.582221320369754e-39,1.4467565596404712e-46,2.3799901512437624e-33
2.5342513468839396e-14,0.11224537200076466,0.9,0.0,0.0,0.0,0.0,0.0999999999931878,1.7446765947241215e-12,1.740374219597095e-12,1.205471955646762e-12,1.2054721434627568e-12,1.0440918884520002e-12,1.0440968671414604e-12,1.0440682784267637e-12,1.044068292306914e-12,9.309596053555404e-13,9.309712603167611e-13,8.42907134707585e-13,8.429072714410075e-13,4.292475008895132e-15,9.356758652192796e-18,3.965167241551845e-18,8.59280257454065e-19,1.3965060890510207e-17,6.965705917577884e-23,8.179286812491867e-19,2.318354170707408e-19,6.322209650870841e-20,1.9292791301162464e-19,1.2366010768502357e-22,3.54266125281106e-20,2.031475448647313e-20,2.3972002040192892e-20,1.7393219509871706e-20,2.2579624556933346e-20,1.1111760968099556e-27,2.1278553369575766e-18,1.1625491669717471e-17,1.7594355964274285e-25,6.18968647145057e-21,2.1995295609695536e-20,3.639262818218756e-28,6.180193785827545e-21,7.473207478459839e-21,1.7401392967648039e-28,5.4139350409309914e-30,7.914324169189712e-25,8.575500705934728e-31,5.686273551606493e-32,8.572629306754076e-31,2.0780201023377777e-33,2.6056471917146956e-41,2.8639357298143187e-38,1.0307159694755906e-45,7.051789576913193e-33
3.3790629077926565e-14,0.11224537200101956,0.9,0.0,0.0,0.0,0.0,0.09999999999091691,2.3262775902557997e-12,2.3197525085627575e-12,1.6073249659929278e-12,1.607325290953608e-12,1.3921458789860744e-12,1.3921543513538783e-12,1.3921161768151345e-12,1.3921162004927815e-12,1.2413019233198167e-12,1.2413181758656782e-12,1.1238964749770274e-12,1.1238967114238635e-12,6.508188421660754e-15,1.590912618330452e-17,6.7437469010452965e-18,1.4614103187696483e-18,1.8757800423556362e-17,1.457471473258068e-22,1.391042338308506e-18,4.463552486154398e-19,1.0752725019530419e-19,3.2807202061821857e-19,2.587142045526142e-22,5.2219716753743276e-20,2.7086759795677292e-20,3.5245086715820255e-20,2.5689579031428382e-20,3.3552178144143065e-20,2.0992815952348697e-27,2.13902273368253e-18,1.6199104806575008e-17,3.0050137972299535e-25,8.593849639294554e-21,3.934276995602152e-20,7.2468657164739005e-28,9.125106272041718e-21,1.4096403515184798e-20,3.8274303869396915e-28,9.180533516922723e-30,1.3460571083954466e-24,9.053752374876616e-31,1.1897971643680507e-31,9.04653446790695e-31,3.70000398840016e-33,6.185480680503831e-41,7.65607679694554e-38,3.464246295939614e-45,1.5530730066116608e-32
5.0686860296100904e-14,0.11224537200152934,0.9,0.0,0.0,0.0,0.0,0.09999999998637511,3.4894796845245078e-12,3.4781070793168698e-12,2.4110309142588067e-12,2.411031640344936e-12,2.088250877129541e-12,2.0882693527620958e-12,2.0882119108464013e-12,2.0882119626761628e-12,1.8619865592177e-12,1.8620120562373203e-12,1.685875104881008e-12,1.685875632954379e-12,1.1335601701918283e-14,3.464615705866333e-17,1.4692913119812944e-17,3.1839996820366285e-18,2.862776250956634e-17,4.602163853829273e-22,3.0306086720625346e-18,1.1594277882663938e-18,2.3428740310040953e-19,7.145265249898472e-19,8.16684134511855e-22,8.734611013544996e-20,4.063067283353953e-20,5.875256429360523e-20,4.3086561063352556e-20,5.674356222199519e-20,5.270636443704168e-27,2.1370084071385544e-18,2.5370679973159655e-17,6.62422200521153e-25,1.3410806951536025e-20,9.103663317749606e-20,1.9464034463913068e-27,1.52978949543198e-20,3.529864053040964e-20,1.2445064498458334e-27,2.1587493857597555e-29,2.9328773060537627e-24,9.94072219295344e-31,3.7571764204976044e-31,9.915399346156361e-31,8.336703028739068e-33,2.1718438766556244e-40,3.3065658682759454e-37,2.256661508130337e-44,5.289829092057394e-32
6.589346839245781e-14,0.11224537200198818,0.9,0.0,0.0,0.0,0.0,0.0999999999822875,4.53636168651786e-12,4.520351972150773e-12,3.134366186079509e-12,3.1343674166497117e-12,2.714742014221617e-12,2.714772891849732e-12,2.7146980007612976e-12,2.714698087575437e-12,2.4206027314912324e-12,2.4206365849046806e-12,2.1916558147332665e-12,2.1916567096088883e-12,1.5947699619412187e-14,5.785491259322365e-17,2.454250763479808e-17,5.318377195241462e-18,3.784318463848201e-17,9.70181139225619e-22,5.062151900588008e-18,2.133019993891444e-18,3.913632482817475e-19,1.1931533650874227e-18,1.7212681318226147e-21,1.198478578035729e-19,5.282009520202967e-20,8.045488429178663e-20,5.921321423348981e-20,7.836954249900046e-20,9.496304067452025e-27,2.1271119149616098e-18,3.363318096784678e-17,1.1182276118635317e-24,1.774863120409641e-20,1.5672463899900024e-19,3.624445854057956e-27,2.1018220120741533e-20,6.350029143673854e-20,2.5954908753136688e-27,3.845970856184018e-29,4.899198149012101e-24,1.0731005032596449e-30,7.92084902448322e-31,1.0676244367841596e-30,1.4098692999011436e-32,4.863733243006108e-40,8.17240473085674e-37,7.146630976441924e-44,1.1560669480926103e-31
8.110007648881472e-14,0.11224537200244697,0.9,0.0,0.0,0.0,0.0,0.09999999997819987,5.583243800616148e-12,5.5625106442013135e-12,3.857701380309296e-12,3.8577032522153834e-12,3.341229956368768e-12,3.3412764674745907e-12,3.341184023456165e-12,3.3411841544223823e-12,2.9792189037319086e-12,2.9792611343903742e-12,2.6974364703400326e-12,2.6974378315893032e-12,2.0639549403985877e-14,8.70938704488036e-17,3.695405110249548e-17,8.007876047952472e-18,4.7386307397593896e-17,1.7647421228298208e-21,7.62217624221147e-18,3.4335238709084962e-18,5.893092753838194e-19,1.7959988287762117e-18,3.1302571383479186e-21,1.5245922514099433e-19,6.500943999477338e-20,1.0221486870087566e-19,7.540420842859481e-20,1.0012873781473702e-19,1.5047397406920537e-26,2.1233919077878943e-18,4.188950524084229e-17,1.7023979591541543e-24,2.2083784286667155e-20,2.4063561273731037e-19,5.865297672208966e-27,2.6760777242171765e-20,1.0050600039836337e-19,4.582324707638022e-27,6.096183786586481e-29,7.377143813373168e-24,1.1567331938785824e-30,1.4408520676181731e-30,1.1466669797164945e-30,2.136577962006653e-32,9.175825600210385e-40,1.6524427246383586e-36,1.7649666966471818e-43,2.1545791550263003e-31
