Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39)
1.5362119180718416e-13,0.11224537200463508,0.9,0.0,0.0,0.0,0.0,0.09999999995870594,1.0575882102962693e-11,1.0532447033754832e-11,7.307323423021722e-12,7.307332470356999e-12,6.328917530747065e-12,6.329105999797325e-12,6.328927481174344e-12,6.328928011968665e-12,5.643288865133033e-12,5.643288865133033e-12,5.1095299399904586e-12,5.10953626557744e-12,4.305387583221719e-14,3.5188908503279024e-16,1.4941370294372062e-16,3.2374802382063175e-17,1.658948823072807e-17,1.678953514612208e-20,3.0825181925421103e-17,1.6542985395521298e-17,2.383579875427717e-18,7.244170339049526e-18,2.971679124234525e-20,3.073745796946272e-19,3.491181691700374e-24
2.5603624574068753e-13,0.11224537200772515,0.9,0.0,0.0,0.0,0.0,0.09999999993117632,1.7626542296859553e-11,1.7550760751862877e-11,1.2178910623541218e-11,1.2178937294297254e-11,1.0547995556030075e-11,1.0548550893069708e-11,1.054824561031693e-11,1.0548247167506182e-11,9.405515459161278e-12,9.405515459161278e-12,8.515909980749852e-12,8.515928628205654e-12,7.465498985821145e-14,1.036361238570311e-15,4.4022619718921696e-16,9.53752241794507e-17,5.2452792998533915e-17,9.151895813680636e-20,9.086492024216845e-17,5.219982754598407e-17,7.026656730140644e-18,2.1268317821083472e-17,1.6146730414394152e-19,5.259793283667513e-19,2.0809730896058212e-23
3.482097942808406e-13,0.11224537201050622,0.9,0.0,0.0,0.0,0.0,0.09999999990639966,2.3972140590373596e-11,2.3867008440230423e-11,1.656333625575575e-11,1.656338448160524e-11,1.4345048772208868e-11,1.4346052643047316e-11,1.4345629472028375e-11,1.4345632276601077e-11,1.2791519392950083e-11,1.2791519392950083e-11,1.1581650026054455e-11,1.1581683744434937e-11,1.0309375772696379e-13,1.8729849448931837e-15,7.957518757278038e-16,1.723859437439809e-16,9.706937666742561e-17,2.127943356463441e-19,1.6429824617437316e-16,9.648180080934552e-17,1.2705624856964702e-17,3.835975246544066e-17,3.748311020374641e-19,7.227208312867665e-19,4.957960371263702e-23
4.403833428209937e-13,0.11224537201328734,0.9,0.0,0.0,0.0,0.0,0.09999999988162299,3.031774324376654e-11,3.018300694665637e-11,2.0947758873154976e-11,2.0947834680988656e-11,1.8141978244763344e-11,1.814355581776988e-11,1.8143010740794927e-11,1.814301513019494e-11,1.617752332585335e-11,1.617752332585335e-11,1.4647387963526857e-11,1.464744096689288e-11,1.3153124995421917e-13,2.9428202578830976e-15,1.2504605804575877e-15,2.7086875521811504e-16,1.5479326602692705e-16,4.0836069107434533e-19,2.582631978887931e-16,1.5366688559124975e-16,1.9972523512461683e-17,6.014739222979047e-17,7.181164463958935e-19,9.194621968982133e-19,9.670179295679707e-23
5.325568913611467e-13,0.11224537201606843,0.9,0.0,0.0,0.0,0.0,0.09999999985684632,3.666335001552473e-11,3.649877019480728e-11,2.5332178642743426e-11,2.5332287725510464e-11,2.1938790914672714e-11,2.1941060338312727e-11,2.1940389564407523e-11,2.194039585323002e-11,1.956352725792013e-11,1.956352725792013e-11,1.771312390992961e-11,1.7713200178905765e-11,1.5996765279126287e-13,4.2327131877263604e-15,1.7987791920553098e-15,3.89612962316847e-16,2.249360188576559e-16,6.881099795570048e-19,3.7162220391784116e-16,2.23039872774224e-16,2.8739391379966706e-17,8.634271480456277e-17,1.2082008789865334e-18,1.1162036470101823e-18,1.6477511172352748e-22
7.169039884414529e-13,0.1122453720216306,0.9,0.0,0.0,0.0,0.0,0.099999999807293,4.935457295089077e-11,4.912976079713052e-11,3.410101168754538e-11,3.41012003025915e-11,2.953215013730484e-11,2.95360724485101e-11,2.9535141647422163e-11,2.9535152440602873e-11,2.6335535120146098e-11,2.6335535120146098e-11,2.384459126214098e-11,2.3844723140071454e-11,2.1683804696548817e-13,7.313657095643215e-15,3.1086641933329933e-15,6.73245749184219e-16,3.936506541276516e-16,1.4799974950880926e-18,6.425673014436334e-16,3.8957884202771215e-16,4.9693780882944065e-17,1.487036204056314e-16,2.5921737811812974e-18,1.5096868494064171e-18,3.5917632985452464e-22
9.01251085521759e-13,0.11224537202719277,0.9,0.0,0.0,0.0,0.0,0.09999999975773968,6.204581110939187e-11,6.175988365632686e-11,4.286983420569478e-11,4.287012339573725e-11,3.712507833657069e-11,3.7131089533387334e-11,3.7129884726822423e-11,3.712990115257163e-11,3.3107542979280075e-11,3.3107542979280075e-11,2.9976051254559125e-11,2.997625345543152e-11,2.737045337903802e-13,1.1206041859429784e-14,4.763904620941559e-15,1.0315938767009428e-15,6.085853889272075e-16,2.7009480998246222e-18,9.851986778159823e-16,6.011654943630236e-16,7.61926715909005e-17,2.2712036004593184e-16,4.719608105080824e-18,1.9031705250440297e-18,6.616407215145054e-22
1e-12,0.11224537203275496,0.9,0.0,0.0,0.0,0.0,0.09999999973119554,6.884411302971544e-11,6.852506090789951e-11,4.7567010707724297e-11,4.756736301437553e-11,4.119218097262256e-11,4.119950236565297e-11,4.119814465530153e-11,4.1198164582173086e-11,3.6735093590429306e-11,3.6735093590429306e-11,3.3260477383950745e-11,3.3260723717011885e-11,3.04164400933875e-13,1.3646787858295426e-14,5.8020212293626526e-15,1.256304425266494e-15,7.441247026105204e-16,3.5831740283099e-18,1.2002195738457861e-15,7.342895593051943e-16,9.282244950892011e-17,2.7609837157077647e-16,6.2528507916695834e-18,2.113947503826369e-18,8.815146532986344e-22
1.0855981826020652e-12,0.11224537203275496,0.9,0.0,0.0,0.0,0.0,0.09999999970818636,7.473706552356288e-11,7.438908153626748e-11,5.163864548320534e-11,5.163905771763373e-11,4.471754687320491e-11,4.472611193034943e-11,4.472461822007297e-11,4.472464145497247e-11,3.987955083511234e-11,3.987955083511234e-11,3.610750338799483e-11,3.6107791623795566e-11,3.3056685618425275e-13,1.5963280926478948e-14,6.787379802133907e-15,1.4695783301361012e-15,8.731319500316564e-16,4.476721864782532e-18,1.40437697663696e-15,8.60852229903498e-16,1.0861213802398169e-16,3.2248960520177234e-16,7.80410302659712e-18,2.2966547062784047e-18,1.1047632210885581e-21
1.4542923767626775e-12,0.11224537204387947,0.9,0.0,0.0,0.0,0.0,0.09999999960907972,1.0011962403480697e-10,9.96446606116676e-11,6.91762336829902e-11,6.917696067660138e-11,5.9901082872328e-11,5.991617295975567e-11,5.991405608487322e-11,5.991409635724295e-11,5.342356653668566e-11,5.342356653668566e-11,4.837038363512835e-11,4.8370891961990335e-11,4.4427881685758623e-13,2.8110663201534656e-14,1.1956293291156533e-14,2.588004660985022e-15,1.555480387215922e-15,1.034230508129548e-17,2.4766769850592312e-15,1.527216633715641e-15,1.915464407501182e-16,5.638315459604764e-16,1.792403289522768e-17,3.0836246060728465e-18,2.5844762418734388e-21
1.8229865709232898e-12,0.11224537205500396,0.9,0.0,0.0,0.0,0.0,0.09999999950997308,1.2550224858331444e-10,1.2489650567892415e-10,8.671377621866982e-11,8.671490924287646e-11,7.508276022749737e-11,7.51062555688883e-11,7.510345540650517e-11,7.510351709634819e-11,6.6967582224846e-11,6.6967582224846e-11,6.06332319558379e-11,6.06340242023248e-11,5.579739628454741e-13,4.3747757377704175e-14,1.861317149697673e-14,4.0278067137779204e-15,2.4430571759570595e-15,1.987168469210547e-17,3.859918950521474e-15,2.3889392178287296e-15,2.985327111524305e-16,8.713076177569739e-16,3.4251284183356663e-17,3.870596551530396e-18,5.010747132077339e-21
2.5603749592445143e-12,0.1122453720772532,0.9,0.0,0.0,0.0,0.0,0.0999999993117598,1.7626769592311314e-10,1.7538906440685406e-10,1.217887242072161e-10,1.2179094325960064e-10,1.0544056406845667e-10,1.054864855685993e-10,1.0548213961132407e-10,1.054822560172371e-10,9.405561356090098e-11,9.405561356090098e-11,8.515883275471311e-11,8.51603844526507e-11,7.85314128663718e-13,8.541982314395778e-14,3.636746339710369e-14,7.865110075632147e-15,4.8461751784957396e-15,5.4583606645162474e-17,7.559768413749284e-15,4.698700227679054e-15,5.847093213093042e-16,1.6761114256492415e-15,9.290532007425714e-17,5.444546583676776e-18,1.3975902734202826e-20
3.297763347565739e-12,0.11224537209950258,0.9,0.0,0.0,0.0,0.0,0.09999999911354653,2.2703340758582976e-10,2.2586686134242202e-10,1.568634894193131e-10,1.5686715975899828e-10,1.3579099630880333e-10,1.358668019427539e-10,1.3586067248156236e-10,1.3586085819538048e-10,1.2114364484326834e-10,1.2114364484326834e-10,1.0968430576397349e-10,1.096868723954283e-10,1.0125878202599829e-12,1.4087548538871233e-13,6.001541806286586e-14,1.2972092799053855e-14,8.098472491768208e-15,1.1494160991929433e-16,1.2504022315002013e-14,7.790063295284239e-15,9.671582064260527e-16,2.725477984232601e-15,1.9349734765074673e-16,7.01850480412238e-18,2.9761086072533574e-20
4.0351517358869635e-12,0.11224537212175231,0.9,0.0,0.0,0.0,0.0,0.09999999891533325,2.7779938358496116e-10,2.7633001044745943e-10,1.91938071845752e-10,1.9194355870874333e-10,1.6613409894902476e-10,1.662472046949587e-10,1.6623905575304806e-10,1.662393236237085e-10,1.482316760719451e-10,1.482316760719451e-10,1.3420965097718055e-10,1.3421348803712319e-10,1.2397955508251695e-12,2.1000050323091368e-13,8.951854763656912e-14,1.933842850502743e-14,1.2216778025632757e-14,2.0779176262066192e-16,1.8692630601095037e-14,1.1662853211376837e-14,1.4458849616443228e-15,4.007446057908019e-15,3.461873653241438e-16,8.592471213286377e-18,5.431368888597692e-20
4.772540124208188e-12,0.11224537214400221,0.9,0.0,0.0,0.0,0.0,0.09999999871711997,3.2856562392421236e-10,3.267786284523606e-10,2.2701247148409795e-10,2.270201400688434e-10,1.9646991515132833e-10,1.9662769382559848e-10,1.966172911292537e-10,1.9661765230021438e-10,1.7531970724693028e-10,1.7531970724693028e-10,1.587348683926319e-10,1.5874023137947593e-10,1.4669378460169268e-12,2.926778991465457e-13,1.2483732803405865e-13,2.6953540455518987e-14,1.7217814113965325e-14,3.401126696004128e-16,2.612549480143429e-14,1.631686155677136e-14,2.020891634509972e-15,5.5102861395518116e-15,5.609295544805336e-16,1.0166445811283122e-17,8.96668869799824e-20
