Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53)
1.2842241112517513e-15,0.11224537200003873,0.9,0.0,0.0,0.0,0.0,0.0999999999996548,8.841094529179163e-14,8.838801791947994e-14,6.108692837114766e-14,6.108692837114766e-14,5.2909287354627006e-14,5.2909287354627006e-14,5.29078456146194e-14,5.29078456146194e-14,4.717609298428722e-14,4.717609298428722e-14,4.2714065241731463e-14,4.2714065241731463e-14,2.2898491522189214e-17,2.8880789508315e-20
2.569563968907718e-15,0.11224537200007755,0.9,0.0,0.0,0.0,0.0,0.0999999999993093,1.7689870287274295e-13,1.7681130163219163e-13,1.2222692965979934e-13,1.2222692965979934e-13,1.0586454281270664e-13,1.0586454281270664e-13,1.0586165808009367e-13,1.0586165808009367e-13,9.43931730169967e-14,9.43931730169967e-14,8.546524087878452e-14,8.546524087878452e-14,8.728566660322126e-17,1.155739481268333e-19
5.140243684219651e-15,0.11224537200015508,0.9,0.0,0.0,0.0,0.0,0.09999999999861828,3.5387421803342263e-13,3.5355514403732847e-13,2.4450693223625776e-13,2.4450693223625776e-13,2.1177505372813402e-13,2.1177505372813402e-13,2.117692830103104e-13,2.117692830103104e-13,1.888273330817631e-13,1.888273330817631e-13,1.7096759215229982e-13,1.7096759215229982e-13,3.186117224586277e-16,4.622736356525149e-19
7.710923399531584e-15,0.11224537200023267,0.9,0.0,0.0,0.0,0.0,0.09999999999792726,5.308497331928795e-13,5.302120877904055e-13,3.6678693481187116e-13,3.6678693481187116e-13,3.1768556464282955e-13,3.1768556464282955e-13,3.1767690793979524e-13,3.1767690793979524e-13,2.83261493145877e-13,2.83261493145877e-13,2.5646994342522426e-13,2.5646994342522426e-13,6.366632060888757e-16,9.821963851334827e-19
1.0281603114843518e-14,0.11224537200031019,0.9,0.0,0.0,0.0,0.0,0.09999999999723624,7.078252483511134e-13,7.067955168767922e-13,4.890669373866396e-13,4.890669373866396e-13,4.235960755567932e-13,4.235960755567932e-13,4.235845328685483e-13,4.235845328685483e-13,3.776956532093383e-13,3.776956532093383e-13,3.419722946975579e-13,3.419722946975579e-13,1.0280562093056796e-15,1.6752650154882489e-18
1.5422962545467382e-14,0.11224537200046536,0.9,0.0,0.0,0.0,0.0,0.09999999999585422,1.0617762786647106e-12,1.059823525249118e-12,7.336269425341932e-13,7.336269425341932e-13,6.35417097383003e-13,6.35417097383003e-13,6.353997827243367e-13,6.353997827243367e-13,5.665639733347295e-13,5.665639733347295e-13,5.129769972408385e-13,5.129769972408385e-13,1.9492858478529073e-15,3.467567739935945e-18
2.056432197609125e-14,0.11224537200062044,0.9,0.0,0.0,0.0,0.0,0.0999999999944722,1.4157273089738112e-12,1.4126648694368163e-12,9.781869476786397e-13,9.781869476786397e-13,8.472381192065215e-13,8.472381192065215e-13,8.472150325774342e-13,8.472150325774342e-13,7.55432293457721e-13,7.55432293457721e-13,6.839816997819463e-13,6.839816997819463e-13,3.056543440681516e-15,5.896096313552495e-18
3.084704083733898e-14,0.11224537200093072,0.9,0.0,0.0,0.0,0.0,0.09999999999170817,2.1236293695772454e-12,2.11798969384416e-12,1.4673069579573297e-12,1.4673069579573297e-12,1.2708801628447209e-12,1.2708801628447209e-12,1.270845532274792e-12,1.270845532274792e-12,1.1331689336958243e-12,1.1331689336958243e-12,1.0259911048570278e-12,1.0259911048570278e-12,5.6268350244079455e-15,1.2840708677283316e-17
4.1129759698586714e-14,0.11224537200124098,0.9,0.0,0.0,0.0,0.0,0.09999999998894413,2.8315314301612134e-12,2.8229929445127746e-12,1.95642696822257e-12,1.95642696822257e-12,1.6945222064712716e-12,1.6945222064712716e-12,1.6944760319605007e-12,1.6944760319605007e-12,1.5109055739235409e-12,1.5109055739235409e-12,1.3680005099227047e-12,1.3680005099227047e-12,8.515949532849902e-15,2.25361155887599e-17
5.141247855983445e-14,0.11224537200155123,0.9,0.0,0.0,0.0,0.0,0.09999999998618009,3.539433490725648e-12,3.527828976751841e-12,2.4455469784743138e-12,2.4455469784743138e-12,2.1181642500861326e-12,2.1181642500861326e-12,2.1181065316345202e-12,2.1181065316345202e-12,1.8886422141408343e-12,1.8886422141408343e-12,1.7100099149789442e-12,1.7100099149789442e-12,1.1569523305808087e-14,3.499066799980245e-17
6.169519742108218e-14,0.11224537200186147,0.9,0.0,0.0,0.0,0.0,0.09999999998341605,4.2473355512705274e-12,4.232586237407035e-12,2.934666988712546e-12,2.934666988712546e-12,2.54180629368929e-12,2.54180629368929e-12,2.5417370312968372e-12,2.5417370312968372e-12,2.266378854347693e-12,2.266378854347693e-12,2.0520193200257365e-12,2.0520193200257365e-12,1.4699107136365768e-14,5.02067271277573e-17
7.197791628232991e-14,0.11224537200217173,0.9,0.0,0.0,0.0,0.0,0.09999999998065201,4.955237611795846e-12,4.937303687176422e-12,3.4237869989372625e-12,3.4237869989372625e-12,2.9654483372807413e-12,2.9654483372807413e-12,2.9653675309474477e-12,2.9653675309474477e-12,2.6441154945441143e-12,2.6441154945441143e-12,2.394028725063078e-12,2.394028725063078e-12,1.786573992276705e-14,6.818469665796778e-17
9.254335400482537e-14,0.11224537200279223,0.9,0.0,0.0,0.0,0.0,0.09999999997512393,6.371041732787781e-12,6.346726338250021e-12,4.402027019346135e-12,4.402027019346135e-12,3.812732424428514e-12,3.812732424428514e-12,3.812628530213541e-12,3.812628530213541e-12,3.399588774905632e-12,3.399588774905632e-12,3.0780475351093996e-12,3.0780475351093996e-12,2.4202968618570422e-14,1.1242591918881392e-16
1.336742294498163e-13,0.1122453720040332,0.9,0.0,0.0,0.0,0.0,0.09999999996406778,9.202649974380322e-12,9.165492795007692e-12,6.358507059893496e-12,6.358507059893496e-12,5.507300598489871e-12,5.507300598489871e-12,5.507150528511542e-12,5.507150528511542e-12,4.910535335419855e-12,4.910535335419855e-12,4.44608515501298e-12,4.44608515501298e-12,3.690106388734162e-14,2.5611548528844165e-16
1.7480510489480723e-13,0.11224537200527422,0.9,0.0,0.0,0.0,0.0,0.09999999995301162,1.2034258215659796e-11,1.1984219692736805e-11,8.314987100224545e-12,8.314987100224545e-12,7.201868772363872e-12,7.201868772363872e-12,7.201672526622195e-12,7.201672526622195e-12,6.4214818957670265e-12,6.4214818957670265e-12,5.814122774765308e-12,5.814122774765308e-12,4.959457932201363e-14,4.4394360097833466e-16
2.570668557847891e-13,0.11224537200775626,0.9,0.0,0.0,0.0,0.0,0.0999999999308993,1.7697474696966474e-11,1.762150045756361e-11,1.2227947180021396e-11,1.2227947180021396e-11,1.0591005119362459e-11,1.0591005119362459e-11,1.0590716522094105e-11,1.0590716522094105e-11,9.443375015793156e-12,9.443375015793156e-12,8.550198013664954e-12,8.550198013664954e-12,7.49782566958738e-14,9.959827069918564e-16
3.3932860667477096e-13,0.11224537201023824,0.9,0.0,0.0,0.0,0.0,0.09999999990878697,2.3360691177020886e-11,2.3258606174193185e-11,1.6140907258953e-11,1.6140907258953e-11,1.398014146561163e-11,1.398014146561163e-11,1.3979760516816618e-11,1.3979760516816618e-11,1.2465268135151076e-11,1.2465268135151076e-11,1.1286273251959592e-11,1.1286273251959592e-11,1.0036076936605621e-13,1.724233461642748e-15
4.215903575647528e-13,0.11224537201272025,0.9,0.0,0.0,0.0,0.0,0.09999999988667464,2.9023907655823024e-11,2.8895536693020163e-11,2.0053867337019358e-11,2.0053867337019358e-11,1.7369277811111385e-11,1.7369277811111385e-11,1.7368804510789733e-11,1.7368804510789733e-11,1.5487161253840788e-11,1.5487161253840788e-11,1.4022348489649221e-11,1.4022348489649221e-11,1.2574243800772698e-13,2.6285247951366846e-15
5.861138593447165e-13,0.11224537201768425,0.9,0.0,0.0,0.0,0.0,0.09999999984244999,4.0350340610488305e-11,4.016898696730801e-11,2.7879787491121394e-11,2.7879787491121394e-11,2.4147550500352056e-11,2.4147550500352056e-11,2.414689249697718e-11,2.414689249697718e-11,2.1530947489651954e-11,2.1530947489651954e-11,1.9494498963608555e-11,1.9494498963608555e-11,1.7650390927720742e-13,4.849733903096866e-15
7.506373611246803e-13,0.1122453720226483,0.9,0.0,0.0,0.0,0.0,0.09999999979822534,5.167677356054855e-11,5.1441794189398486e-11,3.5705707642041606e-11,3.5705707642041606e-11,3.092582318683685e-11,3.092582318683685e-11,3.0924980480408826e-11,3.0924980480408826e-11,2.7574733723005877e-11,2.7574733723005877e-11,2.496664943534305e-11,2.496664943534305e-11,2.2726248284445354e-13,7.716888305620021e-15
9.15160862904644e-13,0.1122453720276123,0.9,0.0,0.0,0.0,0.0,0.09999999975400069,6.300320650567481e-11,6.27139135626087e-11,4.3531627789552735e-11,4.3531627789552735e-11,3.770409587036893e-11,3.770409587036893e-11,3.7703068460887825e-11,3.7703068460887825e-11,3.3618519953727027e-11,3.3618519953727027e-11,3.0438799904693793e-11,3.0438799904693793e-11,2.780179558653361e-13,1.1274987200780111e-14
1e-12,0.11224537203754029,0.9,0.0,0.0,0.0,0.0,0.09999999973119554,6.884386019170086e-11,6.852628616637612e-11,4.7567186873118806e-11,4.7567186873118806e-11,4.1199419025131134e-11,4.1199419025131134e-11,4.119829637060924e-11,4.119829637060924e-11,3.6735093591432114e-11,3.6735093591432114e-11,3.3260600551388593e-11,3.3260600551388593e-11,3.0418958465250637e-13,1.338444067223566e-14
