Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113)
1.5464106096003438e-15,0.11224537200004667,0.9,0.0,0.0,0.0,0.0,0.09999999999958431,1.0646087672881068e-13,1.064279653546809e-13,7.355840201488778e-14,7.355840308685988e-14,6.371119668870855e-14,6.371121903126541e-14,6.370948223113241e-14,6.370948229186035e-14,5.680753855279271e-14,5.680753855279271e-14,5.143454527053825e-14,5.1434546020016194e-14,3.2867811560020996e-17,4.187527082430963e-20,1.7714112873553916e-20,3.838860702800656e-21,1.3616398265050434e-22,2.596956154733168e-26,3.655071880139872e-21,1.3609188758244363e-22,2.824147776212346e-22,8.624109118021201e-22,4.6125506513352045e-26
3.094164755785918e-15,0.11224537200009338,0.9,0.0,0.0,0.0,0.0,0.09999999999916827,2.1301424925542915e-13,2.1288993714375688e-13,1.471807112119069e-13,1.4718071550258835e-13,1.274777020689937e-13,1.2747779149680764e-13,1.2747431495510967e-13,1.2747431519888607e-13,1.1366443204754017e-13,1.1366443204754017e-13,1.0291377662408565e-13,1.0291377962395064e-13,1.2413730282265984e-16,1.67568592351645e-19,7.090203038301677e-20,1.5365289298793197e-20,1.0327031277607759e-21,2.0791240463008475e-25,1.4629072819098783e-20,1.0321259525749267e-21,1.1303951084915699e-21,3.451673487944046e-21,3.692627812188377e-25
6.189673048157067e-15,0.11224537200018676,0.9,0.0,0.0,0.0,0.0,0.09999999999833618,4.261209989671989e-13,4.256744156059876e-13,2.9442532638461206e-13,2.9442534355292147e-13,2.550105801276223e-13,2.550109379502417e-13,2.550039776227088e-13,2.5500397860293444e-13,2.273782190360889e-13,2.273782190360889e-13,2.0587223707895966e-13,2.058722490823269e-13,4.458808512374688e-16,6.702054880212694e-19,2.836957909127826e-19,6.147990805901033e-20,7.473559812307584e-21,1.663899213235264e-24,5.853027423589033e-20,7.468941036391765e-21,4.523052872632642e-21,1.380944836921933e-20,2.9548767025828765e-24
9.285181340528215e-15,0.11224537200028016,0.9,0.0,0.0,0.0,0.0,0.0999999999975041,6.392277533375015e-13,6.383445073118853e-13,4.4166993833598414e-13,4.416699748221275e-13,3.8254332548767094e-13,3.825440859260254e-13,3.8253363750762443e-13,3.825336395969798e-13,3.4109200602369144e-13,3.4109200602369144e-13,3.08830695281613e-13,3.088307207912105e-13,8.817491048923072e-16,1.4239486746898977e-18,6.029044016823066e-19,1.306554590839398e-19,2.0211235045746512e-20,4.758123503809654e-24,1.2438217014755572e-19,2.0198027568726474e-20,9.612407759427406e-21,2.934533003825621e-20,8.449353516230353e-24
1.2380689632899364e-14,0.11224537200037356,0.9,0.0,0.0,0.0,0.0,0.09999999999667201,8.523345123663367e-13,8.509207724065395e-13,5.889145470660231e-13,5.889146093102029e-13,5.100759381525014e-13,5.100772354241586e-13,5.100632946079782e-13,5.100632981810222e-13,4.548057930103477e-13,4.548057930103477e-13,4.1178915123204556e-13,4.1178919475060147e-13,1.4111806897312537e-15,2.428678473568645e-18,1.0285247875089817e-18,2.2289111309962874e-19,4.059794110485174e-20,1.0036701996752318e-23,2.121827051278916e-19,4.057008240006405e-20,1.6398459789129157e-20,5.005817580594444e-20,1.7822002790942505e-23
1.857170621764166e-14,0.11224537200056037,0.9,0.0,0.0,0.0,0.0,0.09999999999500785,1.2785480413572976e-12,1.2759029060812843e-12,8.834037569658302e-13,8.834038858408331e-13,7.651408520650367e-13,7.651435379932855e-13,7.651226022690525e-13,7.651226096929774e-13,6.822333669814399e-13,6.822333669814399e-13,6.177060578470867e-13,6.177061479511861e-13,2.6398195007649435e-15,5.0268921141443194e-18,2.1294979412195276e-18,4.61480498681478e-19,1.0260003242773601e-19,2.741440396676826e-23,4.392909013205855e-19,1.0252394288937317e-19,3.3952608226344955e-20,1.0363034144331207e-19,4.8675134396068266e-23
2.476272280238396e-14,0.11224537200074716,0.9,0.0,0.0,0.0,0.0,0.09999999999334368,1.7047615874793437e-12,1.7006621720757138e-12,1.1778929550196474e-12,1.1778931742083665e-12,1.0202052780378522e-12,1.0202098461606338e-12,1.0201818996795342e-12,1.0201819123424923e-12,9.096609409490523e-13,9.096609409490523e-13,8.236229561799096e-13,8.236231094276881e-13,4.090350536813642e-15,8.547340214446906e-18,3.6217595997648236e-18,7.848632190779816e-19,2.0076858051204454e-19,5.736111381491577e-23,7.470998360507125e-19,2.0060938066325578e-19,5.774611736510124e-20,1.7623056169917855e-19,1.0183873497384161e-22
3.7144755971868553e-14,0.11224537200112075,0.9,0.0,0.0,0.0,0.0,0.09999999999001533,2.5571887359759282e-12,2.5497917693438484e-12,1.766871312229195e-12,1.7668717898115477e-12,1.5303325278991338e-12,1.5303424808779282e-12,1.530300460813942e-12,1.5303004885403672e-12,1.364516088872852e-12,1.364516088872852e-12,1.2354567256496472e-12,1.2354570595559107e-12,7.377124007179718e-15,1.8614309251841688e-17,7.89101031762998e-18,1.7100260112999097e-18,5.38451704517321e-19,1.8112893611013824e-22,1.6276762106128819e-18,5.379490697793885e-19,1.2582101610665932e-19,3.83865233288969e-19,3.215058018223546e-22
4.952678914135315e-14,0.11224537200149434,0.9,0.0,0.0,0.0,0.0,0.09999999998668697,3.4096159586247104e-12,3.3985921199704494e-12,2.3558496181631726e-12,2.3558504566506514e-12,2.0404576660289555e-12,2.0404751398272135e-12,2.0404189775313885e-12,2.040419026377016e-12,1.8193712367815905e-12,1.8193712367815905e-12,1.64729045926966e-12,1.647291045506585e-12,1.0988884463983001e-14,3.266888583453555e-17,1.3853663633065616e-17,3.002138268052648e-18,1.0745720359686243e-18,4.1197846840316153e-22,2.8575030185040627e-18,1.0734289286759641e-18,2.209031002569986e-19,6.737530883983913e-19,7.311288242569309e-22
6.190882231083774e-14,0.11224537200186793,0.9,0.0,0.0,0.0,0.0,0.09999999998335862,4.262043255681894e-12,4.247242682872408e-12,2.944827872644418e-12,2.9448291749025034e-12,2.550580685334655e-12,2.5506078230922102e-12,2.550537449670566e-12,2.550537525719896e-12,2.2742263846752154e-12,2.2742263846752154e-12,2.0591241569160848e-12,2.05912506740348e-12,1.4746147954444832e-14,5.072332086726212e-17,2.1515384173418775e-17,4.6624176091414044e-18,1.8217702628029456e-18,7.833732783197024e-22,4.437768435219712e-18,1.8195969039591733e-18,3.430856854265056e-19,1.0461092186269187e-18,1.3899855654522359e-21
