Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107)
1.7933213759310107e-15,0.11224537200005412,0.9,0.0,0.0,0.0,0.0,0.09999999999951795,1.2345916686673407e-13,1.2341532357841698e-13,8.53032524092615e-14,8.530325338551711e-14,7.388376920972051e-14,7.388379899659837e-14,7.388178501426778e-14,7.388178509597612e-14,6.587782867516114e-14,6.587806359727716e-14,5.964694552337839e-14,5.964694632298387e-14,4.378510923152921e-17,5.631268772466947e-20,2.3822396257954494e-20,5.162597305143177e-21,9.720059694303806e-19,4.0500824652283385e-26,4.9154016876576965e-21,2.1037602466921407e-22,3.797991815959711e-22,1.1597823097608347e-21,7.193445889701381e-26,4.300427433910476e-22,1.4375532479677265e-21,2.9611102973749817e-22,2.0831312902344633e-22,2.5997464307431404e-22,1.1468480617310534e-30,7.383109203027406e-19,2.349221142776181e-19,1.0453639404436843e-27,1.6924928102833874e-22
3.588200806923647e-15,0.11224537200010827,0.9,0.0,0.0,0.0,0.0,0.09999999999903547,2.47025597639504e-13,2.4686138787061267e-13,1.7068061567086285e-13,1.7068061968755736e-13,1.4783166989429903e-13,1.478317892033266e-13,1.478277579977667e-13,1.4782775832588548e-13,1.3181289264848646e-13,1.3181366601637645e-13,1.193457118842542e-13,1.193457151576493e-13,1.6397607053951661e-16,2.2533416921272947e-19,9.535075499591674e-20,2.066359712873512e-20,1.946019118732151e-18,3.2424925367637678e-25,1.9673296186253394e-20,1.5829507426898396e-21,1.5201865098645645e-21,4.641812265543472e-21,5.758737578003602e-25,1.5673386774856707e-21,2.8763529609785618e-21,1.0760823255465144e-21,7.609060336723531e-22,9.556887167293973e-22,8.44385625332894e-30,1.1739437392100328e-18,7.733678784557718e-19,4.18619122999069e-27,6.774381379236047e-22
7.17795966890892e-15,0.1122453720002166,0.9,0.0,0.0,0.0,0.0,0.09999999999807052,4.941584639851789e-13,4.935770221018619e-13,3.414353378619658e-13,3.414353546129557e-13,2.9572729280366736e-13,2.957277707304694e-13,2.9571970022463705e-13,2.957197015446657e-13,2.6368302059386416e-13,2.6368528770237785e-13,2.387432415771572e-13,2.387432551342161e-13,5.805012891941826e-16,9.012020086492455e-19,3.815199139717415e-19,8.267933385071029e-20,3.9010232612551655e-18,2.594921774703567e-24,7.871128649368019e-20,1.1301215007771109e-20,6.082726172794658e-21,1.85705793466303e-20,4.6081112550547355e-24,5.306718964332002e-21,5.753944985238277e-21,3.6267206143575094e-21,2.5854003284988026e-21,3.2807284602054425e-21,5.816287699564422e-29,1.6283603080875614e-18,2.2671084446474065e-18,1.677850360571341e-26,2.71063445819746e-21
1.0767718530894193e-14,0.11224537200032488,0.9,0.0,0.0,0.0,0.0,0.09999999999710557,7.412913355292369e-13,7.401519327768837e-13,5.121900557209746e-13,5.121900921358985e-13,4.4362273725849007e-13,4.436237536055091e-13,4.4361163870808143e-13,4.436116415224073e-13,3.9555314853796894e-13,3.955571267985592e-13,3.581407682412115e-13,3.581407976097317e-13,1.1373968671429289e-15,1.914688160639639e-18,8.107967184677906e-19,1.7570751432743804e-19,5.865357573611196e-18,7.420483447003826e-24,1.672679092589139e-19,3.034255657742439e-20,1.2927030852651174e-20,3.9462271309047677e-20,1.31765703822085e-23,1.0112639251843957e-20,8.631529715828463e-21,6.891822751159741e-21,4.937490140429899e-21,6.305168886673858e-21,1.5326897599898489e-28,1.8653654308536057e-18,3.978260420365958e-18,3.571159111015062e-26,5.76064906095216e-21
1.4357477392879465e-14,0.1122453720004332,0.9,0.0,0.0,0.0,0.0,0.09999999999614062,9.884242125616501e-13,9.866146260722692e-13,6.829447692478922e-13,6.829448324555926e-13,5.915180032640095e-13,5.915197380039013e-13,5.915035734455246e-13,5.915035782591103e-13,5.274232764808007e-13,5.274290792864035e-13,4.775382918764174e-13,4.775383427248128e-13,1.806154925453377e-15,3.2656251045373957e-18,1.3831763726643961e-18,2.9974684529235185e-19,7.840897126335399e-18,1.5652612241109786e-23,2.853403159135511e-19,6.057968299896891e-20,2.205310056536831e-20,6.73151063205307e-20,2.779272697974411e-23,1.5695127390074352e-20,1.150910728254806e-20,1.0672177552491379e-20,7.67655861338324e-21,9.853554518548127e-21,3.013305039736231e-28,1.9889776245761266e-18,5.802805285704302e-18,6.102162371140861e-26,9.82748162337158e-21
2.153699511685001e-14,0.11224537200064984,0.9,0.0,0.0,0.0,0.0,0.09999999999421073,1.4826899801153974e-12,1.4793433479899729e-12,1.024454186134579e-12,1.0244543200717258e-12,8.873081164817216e-13,8.873117107567137e-13,8.87287434122948e-13,8.872874441259976e-13,7.911635323634767e-13,7.91173103282857e-13,7.163333320383073e-13,7.163334394473753e-13,3.339498815841148e-15,6.7590724433211914e-18,2.8637744317044448e-18,6.206027672199234e-19,1.1822663568812235e-17,4.2753674961140215e-23,5.907501875740397e-19,1.5171175300565735e-19,4.566040288734434e-20,1.3935262735686652e-19,7.590576011225933e-23,2.807457399672699e-20,1.7264246070399063e-20,1.9029196397757218e-20,1.376540916779001e-20,1.7799178926490538e-20,7.378553563601161e-28,2.1171782755314736e-18,9.570918656409635e-18,1.2673829660403615e-25,2.0347555247151695e-20
2.8716512840820554e-14,0.11224537200086644,0.9,0.0,0.0,0.0,0.0,0.09999999999228085,1.9769557692771454e-12,1.9718211696978e-12,1.365963587090631e-12,1.3659638189371197e-12,1.1830975735212494e-12,1.1831036900134069e-12,1.1830712810110612e-12,1.1830712980744312e-12,1.0549037882414715e-12,1.0549172329766369e-12,9.551283610620419e-13,9.551285465757616e-13,5.12242820245505e-15,1.1492458390791645e-17,4.8705728707123816e-18,1.0554870073226419e-18,1.5856282221370123e-17,8.945635433028169e-23,1.0046839124650169e-18,2.946416386325815e-19,7.765856922537732e-20,2.369739588829429e-19,1.5880870008849145e-22,4.1884375007786014e-20,2.301935981671711e-20,2.8316332268963256e-20,2.057811780022308e-20,2.6769564755343282e-20,1.4070746266545873e-27,2.1396769446382258e-18,1.3444733855746797e-17,2.1626829081992727e-25,3.460682849277749e-20
4.307554828876165e-14,0.11224537200129969,0.9,0.0,0.0,0.0,0.0,0.09999999998842106,2.9654874215200546e-12,2.956374684423225e-12,2.0489823366921125e-12,2.0489828555678473e-12,1.7746743331574882e-12,1.7746876718956833e-12,1.7746389294768463e-12,1.7746389668352629e-12,1.5823842999820898e-12,1.5824055340893798e-12,1.4327183825357045e-12,1.4327187964828808e-12,9.08607380196128e-15,2.5027896111647744e-17,1.0611829379932256e-17,2.2996311036474155e-18,2.4121587156087028e-17,2.8247402572114366e-22,2.1888631933523766e-18,7.782927021709921e-19,1.692075675046381e-19,5.16151248672208e-19,5.01339709690706e-22,7.123446549722163e-20,3.4529512722838033e-20,4.798328123755952e-20,3.5099171261646664e-20,4.606287019457556e-20,3.591098352845696e-27,2.1429338144909418e-18,2.123410421336083e-17,4.75652657438477e-25,7.540358626912496e-20
5.5998680191908634e-14,0.11224537200168959,0.9,0.0,0.0,0.0,0.0,0.09999999998494725,3.8551659927190655e-12,3.842182942400389e-12,2.663699152383723e-12,2.663700032937472e-12,2.307090989118541e-12,2.3071132825736585e-12,2.307049762026986e-12,2.3070498246169542e-12,2.057116760531325e-12,2.0571450211812366e-12,1.8625493606463626e-12,1.862550062023059e-12,1.2938357821302997e-14,4.179350631756513e-17,1.7725736799784563e-17,3.841209937870819e-18,3.179436692709377e-17,5.9548752888601365e-22,3.6561416602363675e-18,1.4471976357632699e-18,2.8265123164687097e-19,8.619416805395299e-19,1.0566816276609406e-21,9.872030261626237e-20,4.488857262985822e-20,6.634976522683286e-20,4.8728631609642284e-20,6.430190369823955e-20,6.53472147677064e-27,2.129757385842856e-18,2.826064457356721e-17,8.013858970744132e-25,1.2595718200633144e-19
6.892181209505562e-14,0.11224537200207953,0.9,0.0,0.0,0.0,0.0,0.09999999998147345,4.744844644746053e-12,4.72788281598284e-12,3.2784159120346343e-12,3.2784172530273232e-12,2.8395053374294247e-12,2.8395389195161993e-12,2.8394605460244815e-12,2.839460640471962e-12,2.5318492210640924e-12,2.531884501103028e-12,2.2923802995752696e-12,2.292381366594972e-12,1.6894356497277858e-14,6.291502917985318e-17,2.6690114444920797e-17,5.783756590866578e-18,3.970070548227826e-17,1.083189021411704e-21,5.505106053394067e-18,2.3491769761848592e-18,4.2561224826368914e-19,1.2975099081381042e-18,1.9217337717123454e-21,1.2642238352388616e-19,5.524756884487368e-20,8.483998318476202e-20,6.247829919162913e-20,8.276058283816671e-20,1.0431310350741287e-26,2.1237346519548945e-18,3.52800306963529e-17,1.2176904617114797e-24,1.8966447989136922e-19
