Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165)
1.3159381240454915e-15,0.11224537200003971,0.9,0.0,0.0,0.0,0.0,0.09999999999964626,9.059426035768847e-14,9.057021619406913e-14,6.259547474628151e-14,6.259547474628151e-14,5.421587343100662e-14,5.421588625848409e-14,5.421440891459656e-14,5.421440891459656e-14,4.834111021402957e-14,4.834111021402957e-14,4.3768892354598363e-14,4.3768892354598363e-14,2.4013838955803786e-17,3.032466354590064e-20,1.2827477470582745e-20
2.633019547938112e-15,0.1122453720000794,0.9,0.0,0.0,0.0,0.0,0.09999999999929222,1.8126722988989064e-13,1.8117567449087106e-13,1.2524533304982284e-13,1.2524533304982284e-13,1.0847882446326926e-13,1.0847887580625033e-13,1.0847591983494455e-13,1.0847591983494455e-13,9.672421965477613e-14,9.672421965477613e-14,8.757581154856829e-14,8.757581154856829e-14,9.143404758624458e-17,1.2135143332859497e-19,5.1342981079456503e-20
5.267182395723353e-15,0.11224537200015895,0.9,0.0,0.0,0.0,0.0,0.09999999999858415,3.626131689530109e-13,3.6227959327605036e-13,2.505450496560182e-13,2.505450496560182e-13,2.1700464946507907e-13,2.1700485490101444e-13,2.1699894167487214e-13,2.1699894167487214e-13,1.934904385355841e-13,1.934904385355841e-13,1.751896499358878e-13,1.751896499358878e-13,3.3309029786172487e-16,4.853790988253595e-19,2.0543593537898396e-19
7.901345243508595e-15,0.11224537200023842,0.9,0.0,0.0,0.0,0.0,0.09999999999787608,5.439591080148472e-13,5.432933416413049e-13,3.758447662613264e-13,3.758447662613264e-13,3.2553039740605485e-13,3.2553083399501007e-13,3.2552196351403127e-13,3.2552196351403127e-13,2.902566574157069e-13,2.902566574157069e-13,2.6280348832258694e-13,2.6280348832258694e-13,6.647350887388061e-16,1.0312848033959861e-18,4.365889552232907e-19
1.0535508091293837e-14,0.11224537200031785,0.9,0.0,0.0,0.0,0.0,0.09999999999716801,7.253050470753992e-13,7.242310960840744e-13,5.011444828657474e-13,5.011444828657474e-13,4.3405606828807817e-13,4.3405681308823724e-13,4.34044985352422e-13,4.34044985352422e-13,3.8702287629514446e-13,3.8702287629514446e-13,3.504173267086657e-13,3.504173267086657e-13,1.072192004616713e-15,1.758986708121685e-18,7.448001591213159e-19
1.580383378686432e-14,0.11224537200047682,0.9,0.0,0.0,0.0,0.0,0.09999999999575186,1.0879969251934898e-12,1.0859637643296206e-12,7.517439160725072e-13,7.517439160725072e-13,6.511072292053174e-13,6.511087712728881e-13,6.510910290274001e-13,6.510910290274001e-13,5.805553140524117e-13,5.805553140524117e-13,5.256450034793673e-13,5.256450034793673e-13,2.02952001717782e-15,3.640846691513305e-18,1.5420675707613745e-18
2.1072159482434805e-14,0.11224537200063577,0.9,0.0,0.0,0.0,0.0,0.09999999999433572,1.4506888033068587e-12,1.447505052656695e-12,1.0023433492760044e-12,1.0023433492760044e-12,8.681581067649337e-13,8.681607294547131e-13,8.681370726995523e-13,8.681370726995523e-13,7.740877518071591e-13,7.740877518071591e-13,7.008726802477875e-13,7.008726802477875e-13,3.1775599342951346e-15,6.190715868551105e-18,2.622689779446025e-18
3.160881087357577e-14,0.11224537200095372,0.9,0.0,0.0,0.0,0.0,0.09999999999150341,2.176072559518091e-12,2.1702249627004213e-12,1.5035422156722852e-12,1.5035422156722852e-12,1.302258931514652e-12,1.3022646458090844e-12,1.3022291600345778e-12,1.3022291600345778e-12,1.1611526273083804e-12,1.1611526273083804e-12,1.051328033777137e-12,1.051328033777137e-12,5.8341145167348965e-15,1.3482300934426805e-17,5.714294432046666e-18
4.214546226471674e-14,0.1122453720012716,0.9,0.0,0.0,0.0,0.0,0.09999999998867111,2.901456315708884e-12,2.8926214265893737e-12,2.004741082054444e-12,2.004741082054444e-12,1.7363585299273702e-12,1.7363685621512234e-12,1.7363212473573723e-12,1.7363212473573723e-12,1.5482175027986955e-12,1.5482175027986955e-12,1.4017833872966116e-12,1.4017833872966116e-12,8.811227002256635e-15,2.366211725370074e-17,1.0032223853406453e-17
5.268211365585771e-14,0.11224537200158954,0.9,0.0,0.0,0.0,0.0,0.0999999999858388,3.6268400718791675e-12,3.6148523964915557e-12,2.5059399484224314e-12,2.5059399484224314e-12,2.170456897879915e-12,2.1704724784810886e-12,2.170413334667893e-12,2.170413334667893e-12,1.9352823782780667e-12,1.9352823782780667e-12,1.7522387408061772e-12,1.7522387408061772e-12,1.1950936440468963e-14,3.673894714245985e-17,1.5580601173740605e-17
6.321876504699868e-14,0.11224537200190747,0.9,0.0,0.0,0.0,0.0,0.0999999999830065,4.352223828028917e-12,4.337007109409127e-12,3.0071388147762324e-12,3.0071388147762324e-12,2.6045540340780957e-12,2.604576394798666e-12,2.6045054219661256e-12,2.6045054219661256e-12,2.3223472537464813e-12,2.3223472537464813e-12,2.102694094305823e-12,2.102694094305823e-12,1.5164003338961995e-14,5.271528082934306e-17,2.236072057024361e-17
