Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219),S(1106),S(1392)
2.2057273460819465e-15,0.11224537200006658,0.9,0.0,0.0,0.0,0.0,0.0999999999994071,1.5185078618578813e-13,1.517854869114497e-13,1.0492024391639803e-13,1.0492024540335326e-13,9.087464037211245e-14,9.087468544206431e-14,9.087220810238148e-14,9.087220822608947e-14,8.102760060700543e-14,8.102793942263561e-14,7.336381552207845e-14,7.336381661441591e-14,6.521118387166646e-17,8.518522866193374e-20,3.6038930384475984e-20,7.810061707062919e-21,1.1956630305363221e-18,7.538069063272979e-26,7.436018443212058e-21,3.857806197534501e-22,5.745679924750724e-22,1.754512968737311e-21,1.338679827744823e-25,6.362741385886593e-22,1.7681436912548475e-21,4.378026861987697e-22,3.083790624434372e-22,3.854562583093638e-22,2.0920090231602824e-30,8.583112288711529e-19,3.387339627667905e-19,1.581583038120972e-27,1.8876483983412484e-22,6.738280471392988e-23,2.3087633798761544e-31,1.0980188044347015e-22,1.428153404609799e-23,5.234491401628269e-32,5.1113091423877616e-31,7.192607316669108e-27,3.019317303916176e-31,6.151373344509748e-35,3.0197239961041e-31,1.5068411365901494e-35,6.613696351072726e-45,1.4014031540474396e-42,5.924881116722794e-51,2.5753676888492975e-36,1.2697958507989144e-46,2.6071717441366102e-46,4.965875550581452e-55,9.914814430771827e-55,2.2899091883880366e-43
4.413371049545372e-15,0.11224537200013318,0.9,0.0,0.0,0.0,0.0,0.09999999999881368,3.0383350396649636e-13,3.035922563263754e-13,2.0993164137814422e-13,2.099316475209402e-13,1.81828143560074e-13,1.8182832410518729e-13,1.8182336498020875e-13,1.818233654772727e-13,1.6212559878094636e-13,1.621266797330623e-13,1.4679136871442967e-13,1.4679137321466922e-13,2.4089357203334534e-16,3.408497101672322e-19,1.4424794288816264e-19,3.126014231441005e-20,2.3944601360060312e-18,6.033995304069577e-25,2.976145281080833e-20,2.8659106291359322e-21,2.2997693348167276e-21,7.021992669523346e-21,1.0715718089737024e-24,2.276678126727798e-21,3.537819794230926e-21,1.5612423059092563e-21,1.1062769731387499e-21,1.3931222742928593e-21,1.5149703878450452e-29,1.314712167409526e-18,1.0804182243232439e-18,6.334916323775977e-27,5.943039299918225e-22,4.309541363331684e-22,2.6839552811492287e-30,3.9373941720170835e-22,1.0291752658060357e-22,7.256245839442809e-31,8.345750975418203e-31,2.8789173918115725e-26,4.701299386988363e-31,4.924838969019135e-34,4.701904482544047e-31,6.183066663031358e-35,8.720589732186339e-44,3.085536827596739e-41,2.793992416089344e-49,3.3177263431835537e-35,2.218763409366696e-45,6.043627986986263e-45,1.745466464192047e-53,4.645312653978441e-53,1.0111727132545788e-41
8.828658456472224e-15,0.1122453720002664,0.9,0.0,0.0,0.0,0.0,0.09999999999762682,6.077989470720649e-13,6.069639728223259e-13,4.1995442974828033e-13,4.1995445546363537e-13,3.6373487996201536e-13,3.637356032819397e-13,3.637256730753975e-13,3.6372567507652944e-13,3.243215951260532e-13,3.2432464596215806e-13,2.93646470517548e-13,2.936464892965412e-13,8.335480893519193e-16,1.3631017783552285e-18,5.771660687165557e-19,1.2507762145771323e-19,4.804266544530559e-18,4.8285630464411035e-24,1.1907160116637438e-19,2.0029569874868313e-20,9.202072933673442e-21,2.809206408807727e-20,8.574056849761978e-24,7.490995269607325e-21,7.077160876973767e-21,5.110783022778476e-21,3.654375890702726e-21,4.655141902215388e-21,1.0167292717751227e-28,1.7436032259732945e-18,3.0476975579714593e-18,2.5409178397318813e-26,1.6513901384506525e-21,2.4509773664951692e-21,2.5759637639298764e-29,1.2998196110287972e-21,6.874545826279008e-22,9.018653056264184e-30,1.4130386324923732e-30,1.1519419689272851e-25,6.402258305476058e-31,3.9413679369261355e-33,6.402850032268093e-31,2.50518919990621e-34,1.0073563266359513e-42,5.675183767450573e-40,1.1045258589730763e-47,3.8126327788490162e-34,3.7196673529313547e-44,1.2447640212053547e-43,5.872438888107197e-52,1.933457392739961e-51,3.734249529157744e-40
1.3243945863399074e-14,0.1122453720003996,0.9,0.0,0.0,0.0,0.0,0.09999999999643996,9.117643983303132e-13,9.101514469950238e-13,6.299772115650676e-13,6.299772675336666e-13,5.456413463997302e-13,5.456428846728901e-13,5.456279755048767e-13,5.456279797726767e-13,4.86517591468385e-13,4.865228415001464e-13,4.405015677390823e-13,4.4050160855392955e-13,1.6099088961508869e-15,2.8959408535342824e-18,1.2265753715943703e-18,2.658100120913453e-19,7.230072259468315e-18,1.380759238292391e-23,2.5303527890726813e-19,5.317934002961841e-20,1.955627747292498e-20,5.969393176887978e-20,2.451626142205733e-23,1.4030293833366728e-20,1.0616491064468595e-20,9.543160771434027e-21,6.860626887710308e-21,8.800157388110178e-21,2.6439823541652373e-28,1.9451229168907165e-18,5.242348244315394e-18,5.411455762853472e-26,2.8191675897363997e-21,5.899197925339448e-21,7.522185750785796e-29,2.4393206963974374e-21,1.7840407509009702e-21,2.9517311931034767e-29,2.1356654629154467e-30,2.448111108353141e-25,7.322118870451122e-31,1.1270948321482388e-32,7.322315200202174e-31,5.655729926910655e-34,3.3553264738106214e-42,2.1809267589514602e-39,4.716814653658506e-47,1.2190630564125471e-33,1.4267622432160964e-43,5.024825619498035e-43,2.390907840401325e-51,8.313122634387738e-51,1.769197473528189e-39
1.7659233270325924e-14,0.11224537200053282,0.9,0.0,0.0,0.0,0.0,0.09999999999525311,1.2157298581582486e-12,1.213198517613943e-12,8.399999868285095e-13,8.400000840155465e-13,7.27547542882973e-13,7.275501685356312e-13,7.2753027226477e-13,7.275302795657146e-13,6.487135878079417e-13,6.487211459420602e-13,5.873566603790328e-13,5.873567311901267e-13,2.526134609612663e-15,4.939104689223915e-18,2.092466928116198e-18,4.534549078993996e-19,9.674761647015585e-18,2.912515421685727e-23,4.3164809946638545e-19,1.0519519117598466e-19,3.33623829884899e-20,1.018242810004494e-19,5.170995040663057e-23,2.1477566278105292e-20,1.4155810625745074e-20,1.4573853015806574e-20,1.052173744834111e-20,1.357057550018705e-20,5.143108751417918e-28,2.0398094128529763e-18,7.543832107432663e-18,9.252602740149896e-26,4.036750542908646e-21,1.0836501559321477e-20,1.572948992400454e-28,3.73992316888783e-21,3.464995410657987e-21,6.761219064017946e-29,3.1213530480073248e-30,4.17639917013571e-25,7.87532908006501e-31,2.3774977698045777e-32,7.8747125338634985e-31,1.0075038935827939e-33,8.339635376057095e-42,6.034440179521124e-39,1.807847870065656e-46,2.758055089847789e-33,4.058290366498014e-43,1.4668281190037194e-42,9.674185252432162e-51,3.378508446200954e-50,5.630279123641512e-39
2.6489808084179624e-14,0.11224537200079925,0.9,0.0,0.0,0.0,0.0,0.09999999999287941,1.823660798739682e-12,1.819060174333257e-12,1.260045521975098e-12,1.2600457278810394e-12,1.0913593023130998e-12,1.0913647425847628e-12,1.0913348524702369e-12,1.0913348676444926e-12,9.731055804805425e-13,9.731178594536899e-13,8.810668349062377e-13,8.810669847927844e-13,4.589800622533746e-15,1.022252919669393e-17,4.332292957113817e-18,9.388380129549974e-19,1.4614847442914122e-17,7.955182087907433e-23,8.936528082686708e-19,2.598789948551462e-19,6.907599440658801e-20,2.1078440277858143e-19,1.412226285441136e-22,3.7690037367826304e-20,2.123442576024296e-20,2.5492020936993907e-20,1.85110800626633e-20,2.4056685549058796e-20,1.240561492659285e-27,2.1296293685658955e-18,1.2246352823325654e-17,1.923936213600502e-25,6.516126052553121e-21,2.4278576564199002e-20,4.109689698710268e-28,6.577014516423359e-21,8.340590262295511e-21,2.0105589871448206e-28,5.90686497767981e-30,8.64713198965439e-25,8.641296180836673e-31,6.49404250301087e-32,8.63786005230979e-31,2.270997877134604e-33,3.0073799820847573e-41,2.573230815263003e-38,1.2800538074703781e-45,8.151207531545387e-33,1.8723974698299504e-42,7.005159867199002e-42,7.36266758908311e-50,2.6853625842671992e-49,2.920171807695476e-38
3.5320382898033324e-14,0.11224537200106569,0.9,0.0,0.0,0.0,0.0,0.09999999999050571,2.431591772700608e-12,2.4246367396038452e-12,1.6800910330227082e-12,1.68009138922189e-12,1.4551700691053803e-12,1.4551793269363249e-12,1.4551394118076408e-12,1.4551394376927895e-12,1.2974975731429382e-12,1.2975146620221762e-12,1.174776992585326e-12,1.1747772517420222e-12,6.9365635838274145e-15,1.7381135895507292e-17,7.368127320398357e-18,1.5967151434885549e-18,1.963960165143903e-17,1.6645036995230265e-22,1.5198251111944918e-18,4.991300161569071e-19,1.1748347724112023e-19,3.5843398577070054e-19,2.954558382920902e-22,5.537575220870324e-20,2.8313004450821686e-20,3.735890738503649e-20,2.72516082209556e-20,3.562984809563123e-20,2.3377159745661207e-27,2.1384829082196352e-18,1.7029839880595617e-17,3.2868766466339245e-25,9.030154559094538e-21,4.334504092968108e-20,8.14718794890097e-28,9.67940642588875e-21,1.5692242663160595e-20,4.404886261542394e-28,1.010080658194597e-29,1.4706920316554071e-24,9.132150743185618e-31,1.3588149229544217e-31,9.123743316174358e-31,4.043345115289177e-33,7.126233709472155e-41,6.763247745238035e-38,4.2874031865959944e-45,1.792117288731236e-32,5.077275067256681e-42,1.9628164099064707e-41,2.515218372401464e-49,9.430818191374443e-49,9.11732598012435e-38
5.2981532525740724e-14,0.11224537200159856,0.9,0.0,0.0,0.0,0.0,0.0999999999857583,3.647453833588671e-12,3.635390748504481e-12,2.520181975985324e-12,2.520182771482027e-12,2.1827883436179325e-12,2.182808531830479e-12,2.182748461925673e-12,2.1827485185835896e-12,1.94628155843422e-12,1.946308315005542e-12,1.7621972526201828e-12,1.7621978311588486e-12,1.2022630670024807e-14,3.7851803504885254e-17,1.605323987413232e-17,3.478779907321012e-18,3.000259103508362e-17,5.255883835999909e-22,3.311184145680686e-18,1.29059896548869e-18,2.559806818316734e-19,7.806388224400726e-19,9.32651777484673e-22,9.222516655477198e-20,4.2470057124158095e-20,6.20120678463126e-20,4.550644174495491e-20,5.99842130677117e-20,5.8437175825145724e-27,2.1356154485144042e-18,2.6617388286360395e-17,7.250576880332197e-25,1.4065357614766588e-20,1.0005314203431098e-19,2.172299315614449e-27,1.6156315394049942e-20,3.912508363233043e-20,1.4198879771185312e-27,2.386261601294399e-29,3.2044400386894433e-24,1.0059310672760965e-30,4.2909056655738405e-31,1.0030216156620392e-30,9.109764316404923e-33,2.4954675945096278e-40,2.8337683999818606e-37,2.7675271435164696e-44,6.086747667843007e-32,2.5117542615722693e-41,1.0162862498946838e-40,1.8407265797658985e-48,7.346402800550909e-48,6.020908466072849e-37
6.887656719067739e-14,0.11224537200207815,0.9,0.0,0.0,0.0,0.0,0.09999999998148563,4.741729816521801e-12,4.7248012896867664e-12,3.276263735475816e-12,3.2762650831805627e-12,2.8376411182856145e-12,2.837674857664129e-12,2.83759652977143e-12,2.8375966246653037e-12,2.5301871451586126e-12,2.5302226400346006e-12,2.290875424306774e-12,2.2908764043586606e-12,1.686073213029284e-14,6.320801352146661e-17,2.6814691869891803e-17,5.810746675234372e-18,3.969462379081942e-17,1.1079896423199111e-21,5.530812798510309e-18,2.3675446473667403e-18,4.2760058760097994e-19,1.3035303048078548e-18,1.9656615212636788e-21,1.2622485538377736e-19,5.521129870655429e-20,8.471120963185973e-20,6.237850112389794e-20,8.261986836494992e-20,1.0501526830430427e-26,2.1265812049436183e-18,3.525263510508295e-17,1.2246760021032507e-24,1.8598991492138692e-20,1.720292118605745e-19,4.02854863560322e-27,2.2140917493536565e-20,7.020338106517581e-20,2.9455001799513413e-27,4.25196134772168e-29,5.352827648269961e-24,1.0894177725033668e-30,9.046052720838038e-31,1.0831457549936942e-30,1.540561651355694e-32,5.581200843944328e-40,6.9136817406040814e-37,8.729421864128296e-44,1.3283737229938078e-31,6.897633135224656e-41,2.8384305188326394e-40,6.49099888423927e-48,2.630141724044065e-47,1.820616858493862e-36
8.477160185561405e-14,0.11224537200255773,0.9,0.0,0.0,0.0,0.0,0.09999999997721297,5.836005921975536e-12,5.814131907827383e-12,4.032345410191051e-12,4.032347459647831e-12,3.492490402266764e-12,3.492541223452204e-12,3.492444524175961e-12,3.492444667319475e-12,3.114092731847106e-12,3.1141369887470343e-12,2.8195535367251443e-12,2.819555027100696e-12,2.177168811934912e-14,9.515246461945078e-17,4.0375231069676466e-17,8.749213540107882e-18,4.9745676522910427e-17,2.0154094615795977e-21,8.327854336391986e-18,3.802609347104934e-18,6.43874951914271e-19,1.9621128029838073e-18,3.574662059675357e-21,1.6030873069654817e-19,6.795245904708308e-20,1.0745255173621218e-19,7.930138318221523e-20,1.0536694470662933e-19,1.6608632601733976e-26,2.1233642931158637e-18,4.388206433446444e-17,1.8655252751779202e-24,2.3130141490125727e-20,2.6391512715073728e-19,6.500354610903479e-27,2.814300824509389e-20,1.1090772907925325e-19,5.177559327319263e-27,6.734344690558068e-29,8.06021276040883e-24,1.1777376492918813e-30,1.6455336714965858e-30,1.1662230733977083e-30,2.3345925219372982e-32,1.052047132253637e-39,1.3848329271952176e-36,2.1492622644523973e-43,2.4733116657627913e-31,1.5188715220196172e-40,6.337028138463412e-40,1.7249253203420893e-47,7.100968281547302e-47,4.382465744027804e-36
