Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66)
1.5728468939730038e-15,0.11224537200004746,0.9,0.0,0.0,0.0,0.0,0.09999999999957722,1.0828085228858633e-13,1.082468409414436e-13,7.481590167712134e-14,7.481590278605801e-14,6.48003554858579e-14,6.480037859884496e-14,6.479861209523002e-14,6.479861215805532e-14,5.77786779347686e-14,5.77786779347686e-14,5.231383195340827e-14,5.231383272873029e-14,3.396661515846704e-17,4.331905218315927e-20,1.832494176592055e-20,3.971234512410838e-21,1.4313146755707504e-22,2.7324324316282535e-26,3.7811053937324216e-21,1.4305561152245128e-22,2.921532182458935e-22,8.921482575389209e-22,4.8531710307482746e-26,3.3481704430177165e-22
3.147060292632344e-15,0.11224537200009496,0.9,0.0,0.0,0.0,0.0,0.09999999999915406,2.1665578107802948e-13,2.1652743162679533e-13,1.4969680302730616e-13,1.496968074659421e-13,1.2965696441037891e-13,1.2965705692188792e-13,1.2965352089800657e-13,1.2965352115021257e-13,1.1560755454682598e-13,1.1560755454682598e-13,1.046731138967755e-13,1.0467311700008408e-13,1.2816983249185208e-16,1.733454247397026e-19,7.33469072787731e-20,1.589512127762368e-20,1.0846196430457947e-21,2.187586044460822e-25,1.5133498858191274e-20,1.0840123589236792e-21,1.1693742503000374e-21,3.5706890141990325e-21,3.8852551766940692e-25,1.2328749190996915e-21
6.295487089951023e-15,0.11224537200018994,0.9,0.0,0.0,0.0,0.0,0.09999999999830775,4.334056422613097e-13,4.329452826634891e-13,2.994586023952622e-13,2.994586201555821e-13,2.59370044981669e-13,2.593704151428183e-13,2.593633356272418e-13,2.5936333664142043e-13,2.3126530776996194e-13,2.3126530776996194e-13,2.0939167545362636e-13,2.0939168787090275e-13,4.596370101334212e-16,6.933068266181459e-19,2.934782387054748e-19,6.359986020780173e-20,7.837707388088492e-21,1.7506995368346904e-24,6.054839794083159e-20,7.832847675812523e-21,4.679020214159416e-21,1.4285574655504018e-20,3.109012739134886e-24,4.243768594872163e-21
9.443913887269703e-15,0.11224537200028493,0.9,0.0,0.0,0.0,0.0,0.09999999999746144,6.501555073486717e-13,6.492459365441916e-13,4.4922039843080466e-13,4.492204361750904e-13,3.8908298827874435e-13,3.890837749385931e-13,3.8907314747773504e-13,3.890731496395217e-13,3.46923060992119e-13,3.46923060992119e-13,3.1411023468059365e-13,3.141102610698324e-13,9.080301886271415e-16,1.4730267757139314e-18,6.236937348376432e-19,1.3516069197311165e-19,2.117932192206577e-20,5.0063387128808435e-24,1.286707986733828e-19,2.1165425494185423e-20,9.943870099079742e-21,3.0357061872774014e-20,8.890089167467398e-24,8.169752371502503e-21
1.2592340684588382e-14,0.11224537200037994,0.9,0.0,0.0,0.0,0.0,0.09999999999661513,8.669053765658695e-13,8.654507524072418e-13,5.989821911339338e-13,5.989822555244634e-13,5.187957943051421e-13,5.187971363092122e-13,5.187829564475371e-13,5.187829601445164e-13,4.625808142132973e-13,4.625808142132973e-13,4.188287915776775e-13,4.188288365968731e-13,1.4519889530307917e-15,2.5123808202251485e-18,1.0639901600744298e-18,2.3057674404057397e-19,4.2514244109848576e-20,1.0560280987258924e-23,2.1949856562757893e-19,4.24849322134163e-20,1.696392392637087e-20,5.1783948383793254e-20,1.875161544501616e-23,1.2785071940034492e-20
1.888919427922574e-14,0.11224537200056993,0.9,0.0,0.0,0.0,0.0,0.09999999999492251,1.3004051251860227e-12,1.2976870078497956e-12,8.985057687192217e-13,8.985059020381871e-13,7.782210842030331e-13,7.782238627465131e-13,7.782025676217523e-13,7.782025753033375e-13,6.938963206533567e-13,6.938963206533567e-13,6.282658999037515e-13,6.282659931148883e-13,2.7126403103877675e-15,5.200127224013033e-18,2.2029261749129068e-18,4.773928831920181e-19,1.0733537492501183e-19,2.884450755967815e-23,4.544370432994928e-19,1.0725531643103732e-19,3.512338783833557e-20,1.0720278719514365e-19,5.1213986414845194e-23,2.3140254228868765e-20
2.51860478738631e-14,0.11224537200075993,0.9,0.0,0.0,0.0,0.0,0.0999999999932299,1.73390489016383e-12,1.7296971121179037e-12,1.1980293340500374e-12,1.198029560796982e-12,1.0376458693370647e-12,1.0376505949750774e-12,1.0376221681915362e-12,1.0376221812941167e-12,9.252118270898166e-13,9.252118270898166e-13,8.377029996620132e-13,8.377031581941975e-13,4.198433489173936e-15,8.841881883597904e-18,3.746642150128472e-18,8.119259277694749e-19,2.0985985730958336e-19,6.035340638866687e-23,7.728586017414491e-19,2.0969235351563534e-19,5.973736282910273e-20,1.8230535568823277e-19,1.0715038755937776e-22,3.4859594862095795e-20
3.777975506313782e-14,0.11224537200113992,0.9,0.0,0.0,0.0,0.0,0.09999999998984464,2.6009044764804644e-12,2.5933262981179425e-12,1.7970764244722689e-12,1.7970769185229588e-12,1.5564937822834434e-12,1.5565040784486864e-12,1.556461334482163e-12,1.5564613631710327e-12,1.3878428399509169e-12,1.3878428399509169e-12,1.2565771710448388e-12,1.256577516465111e-12,7.557707248518156e-15,1.9255731534169508e-17,8.163096086353913e-18,1.7689875620725036e-18,5.618758660253881e-19,1.905775472146493e-22,1.6837955775298537e-18,5.613470152429883e-19,1.3015967195326853e-19,3.9709526828356796e-19,3.3827323518518443e-22,6.012948945256562e-20
5.0373462252412536e-14,0.11224537200151986,0.9,0.0,0.0,0.0,0.0,0.09999999998645939,3.4679041381867212e-12,3.4566263702963125e-12,2.3961234618508075e-12,2.3961243292516023e-12,2.0753395106916903e-12,2.0753575869898723e-12,2.075300454823644e-12,2.075300505363922e-12,1.850473852796437e-12,1.850473852796437e-12,1.6754513053417428e-12,1.6754519117937323e-12,1.1241687629968689e-14,3.379459887925314e-17,1.433133515162487e-17,3.105649215855248e-18,1.1199315211662427e-18,4.33469099932258e-22,2.9560249292954263e-18,1.1187287957638546e-18,2.285204488119285e-19,6.9697072707369745e-19,7.692563024560254e-22,8.671893060283782e-20
6.296716944168725e-14,0.11224537200189985,0.9,0.0,0.0,0.0,0.0,0.09999999998307414,4.3349038764965756e-12,4.319778745867999e-12,2.9951704460023826e-12,2.9951717931658324e-12,2.5941830472282098e-12,2.5942111206852413e-12,2.594139529049715e-12,2.5941396077356714e-12,2.3131048656263226e-12,2.3131048656263226e-12,2.0943254024245898e-12,2.094326344308099e-12,1.5068931784052283e-14,5.247117005808495e-17,2.2257215974046705e-17,4.823169597652783e-18,1.8968271240390544e-18,8.242370250967778e-22,4.590776214806848e-18,1.8945404207436996e-18,3.549162268170933e-19,1.0821530088592686e-18,1.4624662702581926e-21,1.1367898282281758e-19
7.556087663096198e-14,0.11224537200227984,0.9,0.0,0.0,0.0,0.0,0.09999999997968889,5.201903691839992e-12,5.182874818230249e-12,3.5942173768659075e-12,3.594219310326472e-12,3.1130243895992278e-12,3.113064679563659e-12,3.112978557109365e-12,3.1129786702405776e-12,2.7757358784405557e-12,2.7757358784405557e-12,2.5131994622506712e-12,2.5132008140508892e-12,1.8948036319324837e-14,7.528909591674513e-17,3.194255285452392e-17,6.9219310918677655e-18,2.898927834072031e-18,1.3991056994524805e-21,6.588455786273979e-18,2.8950467035257265e-18,5.093791846814653e-19,1.5526647888274122e-18,2.4820248468520386e-21,1.406680217013648e-19
