Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256),CHF3(1085),S(170),S(370),S(1516),S(1032),S(1108),S(1506),S(1137),S(887),S(1219)
2.168019826584952e-15,0.11224537200006543,0.9,0.0,0.0,0.0,0.0,0.09999999999941724,1.4925485494862646e-13,1.4919167962347812e-13,1.0312660332446082e-13,1.0312660476013075e-13,8.93211139971889e-14,8.932115753867279e-14,8.931872256846426e-14,8.931872268797025e-14,7.964241134728414e-14,7.964274008902977e-14,7.210964080242311e-14,7.210964185714587e-14,6.309022741301613e-17,8.22980961876878e-20,3.4817278735668986e-20,7.545315742531018e-21,1.1752104653939234e-18,7.158086821350516e-26,7.183958918889365e-21,3.6681787845707576e-22,5.550911113904012e-22,1.6950405586405617e-21,1.2711974287195237e-25,6.159452957349888e-22,1.7379168171780094e-21,4.238420339762359e-22,2.9851185755353928e-22,3.730706014856553e-22,1.9901217457173113e-30,8.479174789659024e-19,3.2866389373717877e-19,1.527957127748675e-27,1.8320355430891593e-22,6.426111950987796e-23,2.167869155359625e-31,1.0628937964473443e-22,1.3587817794273265e-23,4.898543779707272e-32,5.045147794244931e-31,6.94879011880965e-27,2.9816582500836566e-31,5.841257510842385e-35,2.9820600352044427e-31,1.4545220464583193e-35,6.193105713265169e-45,1.4474628610841968e-42,5.373609525983556e-51,2.4137428599900436e-36,1.18173508676127e-46,2.4075140444999363e-46,4.541702724253736e-55
4.337923249891524e-15,0.1122453720001309,0.9,0.0,0.0,0.0,0.0,0.09999999999883395,2.986393860432525e-13,2.984056983924256e-13,2.0634280193588744e-13,2.0634280786477037e-13,1.7871974414070465e-13,1.787199185611991e-13,1.787150442929047e-13,1.7871504477306057e-13,1.5935401679562747e-13,1.593550684840104e-13,1.4428192968766544e-13,1.4428193403152612e-13,2.33345630146795e-16,3.2929897106283076e-19,1.3935823822003986e-19,3.020049160388691e-20,2.3534373720065246e-18,5.729814652467896e-25,2.8752651461076105e-20,2.7281677006314175e-21,2.221811052321672e-21,6.78397987842426e-21,1.017553920607916e-24,2.207558619754104e-21,3.4773399118525e-21,1.514001758117145e-21,1.0726044613302212e-21,1.3504045894336317e-21,1.4433191063818357e-29,1.3030067465757643e-18,1.0511782281133553e-18,6.119987194655501e-27,5.78429083417826e-22,4.120744735387982e-22,2.530431288820728e-30,3.8175982231899763e-22,9.806129539117078e-23,6.804412129471007e-31,8.248483147126259e-31,2.781326971141267e-26,4.657194217338905e-31,4.6765577385827525e-34,4.657795070909191e-31,5.970900667361724e-35,8.19168464197644e-44,3.395440206783427e-41,2.5436404746843492e-49,3.117477134577025e-35,2.0676368801066133e-45,5.5973844264617963e-45,1.598598215516104e-53
8.677730096504668e-15,0.11224537200026186,0.9,0.0,0.0,0.0,0.0,0.09999999999766739,5.974084554979123e-13,5.96598014478295e-13,4.1277519282753174e-13,4.1277521763995416e-13,3.5751674360509265e-13,3.57517442380439e-13,3.5750768227339244e-13,3.575076842063387e-13,3.187772276896332e-13,3.1878020551279093e-13,2.88626503031874e-13,2.886265211528896e-13,8.090634741033572e-16,1.316916545830472e-18,5.57601566247652e-19,1.2083782317088472e-19,4.7215515362676415e-18,4.58514463907208e-24,1.150356515047609e-19,1.9102863497585628e-20,8.89013825732594e-21,2.713995760674223e-20,8.141855250808823e-24,7.281762209544804e-21,6.95617534810431e-21,4.968762964343396e-21,3.551900260660244e-21,4.523089830439973e-21,9.708538324040592e-29,1.734576448345866e-18,2.9748157229106596e-18,2.4545382214736663e-26,1.612495285268176e-21,2.3508089192740887e-21,2.4416080008571097e-29,1.2633933549197826e-21,6.565156257798162e-22,8.48575442036391e-30,1.3906579961268827e-30,1.1128930880724376e-25,6.3634707714901615e-31,3.742667494392558e-33,6.364071331132867e-31,2.4197442615986518e-34,9.494178593831692e-43,6.675396522725459e-40,1.0104515352705105e-47,3.5932750419660224e-34,3.4689308922584487e-44,1.1560604328445148e-43,5.382634609546639e-52
1.3017536943117813e-14,0.11224537200039278,0.9,0.0,0.0,0.0,0.0,0.09999999999650082,8.961775328061115e-13,8.946100040401335e-13,6.192075773879743e-13,6.192076313869782e-13,5.363134822561006e-13,5.363149683248697e-13,5.363003147804364e-13,5.363003189027143e-13,4.782004385809578e-13,4.782055713426197e-13,4.329710719498064e-13,4.32971111331045e-13,1.5645901179309749e-15,2.7978269339416007e-18,1.1849978294284495e-18,2.5679984945630406e-19,7.104969390681183e-18,1.3111520051709958e-23,2.444587349622148e-19,5.0768719045066795e-20,1.8893352809854053e-20,5.767088577900255e-20,2.3280477565697462e-23,1.3658810796042485e-20,1.0435000245582825e-20,9.29202117719319e-21,6.6781176962784224e-21,8.56278841236079e-21,2.527588182245893e-28,1.9392092889036105e-18,5.1253900646724e-18,5.22718332815309e-26,2.7572165704563606e-21,5.665611138901421e-21,7.146109025623488e-29,2.374478150650488e-21,1.7057185340804257e-21,2.781603292677216e-29,2.0889273463841755e-30,2.365124289461875e-25,7.290121532012461e-31,1.0702733818816802e-32,7.290353867291793e-31,5.463134930127295e-34,3.165830858547475e-42,2.6174363097590496e-39,4.320773881558136e-47,1.150198154601068e-33,1.3308124859056136e-43,4.670309047253585e-43,2.1919001065729936e-51
1.7357343789730956e-14,0.11224537200052373,0.9,0.0,0.0,0.0,0.0,0.09999999999533425,1.194946618373061e-12,1.1924840149936063e-12,8.256399556172186e-13,8.256400493824733e-13,7.151099601029913e-13,7.151124966443438e-13,7.150929418102841e-13,7.150929488621875e-13,6.376236494696016e-13,6.376310467715135e-13,5.773156364414629e-13,5.773157047634425e-13,2.457575121055769e-15,4.7717772443029284e-18,2.0215385541985314e-18,4.380842854484982e-19,9.506477139707157e-18,2.7656889857569905e-23,4.1701766497250824e-19,1.005077642494568e-19,3.223145474353767e-20,9.83736167241356e-20,4.9103490379275496e-23,2.0933493351443493e-20,1.3913814857604528e-20,1.4207136228170404e-20,1.0253806566781936e-20,1.3219647493811206e-20,4.921193302512889e-28,2.036237891160677e-18,7.383568627284382e-18,8.936993444703245e-26,3.952199712248158e-21,1.041687436331228e-20,1.4969076420578955e-28,3.644767827063881e-21,3.315916280853753e-21,6.379733116828106e-29,3.0361726947188862e-30,4.034826313288712e-25,7.84744385000807e-31,2.2576384042776837e-32,7.846908643804431e-31,9.732281943610491e-34,7.876200545781115e-42,7.331500022111631e-39,1.6577701867058033e-46,2.6043043409876082e-33,3.785670916890686e-43,1.3639136512032266e-42,8.868997353907901e-51
2.6036957482957245e-14,0.11224537200078559,0.9,0.0,0.0,0.0,0.0,0.09999999999300113,1.792484809684892e-12,1.788002410078942e-12,1.2385046972167779e-12,1.238504895880121e-12,1.0727023037342103e-12,1.0727075593672354e-12,1.072678183007392e-12,1.0726781976639145e-12,9.564700712405967e-13,9.564821038302467e-13,8.660047550365779e-13,8.660048996571186e-13,4.471945361943124e-15,9.876227637924209e-18,4.185442966323885e-18,9.070149904214029e-19,1.4358149882239554e-17,7.554145204887778e-23,8.633632652467506e-19,2.4859094769233887e-19,6.673443524602786e-20,2.0364191656906073e-19,1.3410456744672916e-22,3.6794398515447527e-20,2.08714208392357e-20,2.489063324728814e-20,1.806869192234413e-20,2.3471940906143913e-20,1.1885497967162453e-27,2.1289877727912826e-18,1.200123303053866e-17,1.8581080007871015e-25,6.387254572992075e-21,2.3363559829121122e-20,3.920119441041137e-28,6.419977434951426e-21,7.991945940766555e-21,1.9007918984478474e-28,5.7085665823487385e-30,8.354008861037733e-25,8.615518332957823e-31,6.166651316347933e-32,8.612311209553509e-31,2.1938038691038968e-33,2.8441849378455866e-41,3.1792188994291694e-38,1.1766206220780807e-45,7.704402115077388e-33,1.746809076316293e-42,6.517272033515939e-42,6.750895295295096e-50
3.4716571176183533e-14,0.11224537200104749,0.9,0.0,0.0,0.0,0.0,0.09999999999066801,2.390023033195117e-12,2.383238225702789e-12,1.651369415534273e-12,1.651369759228007e-12,1.4302936883726164e-12,1.4303026320095176e-12,1.4302634040443562e-12,1.4302634290463631e-12,1.2753164930017334e-12,1.2753332517258817e-12,1.1546938573546987e-12,1.1546941074201536e-12,6.766968594711281e-15,1.6792343287912868e-17,7.11837577079848e-18,1.5425933802868454e-18,1.9291149407007015e-17,1.5805931070090248e-22,1.4683121784581538e-18,4.779048185037212e-19,1.1350098641955468e-19,3.462894291630315e-19,2.8056454659866637e-22,5.4128197841713545e-20,2.7828991481618314e-20,3.6523427140927743e-20,2.663409388351533e-20,3.480824320252477e-20,2.2419456420480926e-27,2.1387060056713208e-18,1.6701929010488394e-17,3.1740688657149266e-25,8.857938132753055e-21,4.174182699725355e-20,7.784866667135673e-28,9.460279222726806e-21,1.505131414954739e-20,4.17080590689446e-28,9.730783077015513e-30,1.420838062259252e-24,9.101221308116628e-31,1.290311516798197e-31,9.09329610512665e-31,3.906004871540548e-33,6.744246219616904e-41,8.47920424058998e-38,3.9462839343519257e-45,1.6950122485817227e-32,4.737201817825558e-42,1.8270860433629873e-41,2.3064097045185996e-49
5.207579856263611e-14,0.11224537200157125,0.9,0.0,0.0,0.0,0.0,0.09999999998600176,3.5850995892776385e-12,3.5733094646120837e-12,2.47709877571912e-12,2.477099543434874e-12,2.145473309035599e-12,2.145492812202023e-12,2.145433779886004e-12,2.1454338346124424e-12,1.9130093364916323e-12,1.9130355958467572e-12,1.7320720085429871e-12,1.7320725668832286e-12,1.1751050828449143e-14,3.656956812059288e-17,1.5509111124142963e-17,3.3608683434903696e-18,2.9459022257649683e-17,4.9909300304160065e-22,3.198954283622411e-18,1.2379182063624963e-18,2.473033703277313e-19,7.541946273332993e-19,8.856506804825635e-22,9.02984566968462e-20,4.174403087892308e-20,6.072498807275657e-20,4.455079652544315e-20,5.870421259040516e-20,5.613813193304337e-27,2.136145919746593e-18,2.6125317282539297e-17,6.999817779173649e-25,1.3807007770722988e-20,9.644306806413413e-20,2.0815660748182702e-27,1.5817315863531618e-20,3.759013775108627e-20,1.34899314566801e-27,2.29489957361562e-29,3.095814945336053e-24,1.0012375543115828e-30,4.074583596380781e-31,9.984809810981985e-31,8.80053399425178e-33,2.36413929038418e-40,3.6436034232913828e-37,2.5563612419826775e-44,5.763239248157077e-32,2.3438140956415587e-41,9.468103606753506e-41,1.688220206078427e-48
6.769910321044343e-14,0.11224537200204264,0.9,0.0,0.0,0.0,0.0,0.09999999998180213,4.660668613493312e-12,4.6441030273752375e-12,3.2202551137325293e-12,3.2202564145610697e-12,2.7891314197002436e-12,2.789164014360956e-12,2.7890870435018554e-12,2.7890871351636023e-12,2.4869328955960604e-12,2.486967742452205e-12,2.251712284381049e-12,2.251713230345838e-12,1.650010369340767e-14,6.106681007008803e-17,2.5905822290103846e-17,5.6137999926128316e-18,3.896229367796234e-17,1.0521356674010285e-21,5.343348907929829e-18,2.273433640637525e-18,4.131056518481087e-19,1.2593810538761519e-18,1.8666105908859806e-21,1.2370754257684914e-19,5.426746305294104e-20,8.303107348750353e-20,6.112897894545452e-20,8.094187776026666e-20,1.0098529640303878e-26,2.1267792913542556e-18,3.4613429011240313e-17,1.1820489937146842e-24,1.8263348879114566e-20,1.6590288119924976e-19,3.8664005888714664e-27,2.1697725489602225e-20,6.751625827222116e-20,2.80425641645254e-27,4.0890586495732755e-29,5.1713758479292755e-24,1.0829605178894063e-30,8.590004276465524e-31,1.0770111124439095e-30,1.4882839555898685e-32,5.290129307748495e-40,8.98242987702188e-37,8.075904135039307e-44,1.2584482513545298e-31,6.436762498034727e-41,2.645215464470832e-40,5.953477342207776e-48
8.332240785825076e-14,0.11224537200251401,0.9,0.0,0.0,0.0,0.0,0.0999999999776025,5.736237756063803e-12,5.714814212130972e-12,3.9634113698444175e-12,3.963413348253172e-12,3.4327861579736808e-12,3.4328352551077836e-12,3.4327402361648888e-12,3.432740374437305e-12,3.0608564546658063e-12,3.060899911596121e-12,2.771352502959981e-12,2.7713539416643884e-12,2.1324705884069032e-14,9.192908085381199e-17,3.900676656616941e-17,8.45268056103147e-18,4.881206096392832e-17,1.9138137245816115e-21,8.045583705829861e-18,3.654589374380674e-18,6.220486812551877e-19,1.8956699852688837e-18,3.394548714026356e-21,1.572105076749464e-19,6.679081539709498e-20,1.0538523714112556e-19,7.776314618606997e-20,1.0329933310542024e-19,1.5983007971822213e-26,2.123372632590475e-18,4.309558052106346e-17,1.80018558056814e-24,2.2717132781975018e-20,2.5459778718437054e-19,6.245701366490397e-27,2.759743448213637e-20,1.0673971896824546e-19,4.9376797565755735e-27,6.478431684642873e-29,7.786985180427812e-24,1.1694229337563722e-30,1.562575601441349e-30,1.1584953868127287e-30,2.2553857687155715e-32,9.975054299317583e-40,1.8127953528044585e-36,1.990722351636362e-43,2.3439914914071506e-31,1.4174444811366156e-40,5.9071564268029185e-40,1.5821579348928143e-47
