Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313),S(60),C2HF5(65),S(256)
1.9686782836522936e-15,0.11224537200005939,0.9,0.0,0.0,0.0,0.0,0.09999999999947082,1.3553141345281868e-13,1.354789277215169e-13,9.364448707198778e-14,9.364448825190204e-14,8.110836584633846e-14,8.110840174599968e-14,8.110619075173094e-14,8.110619085023345e-14,7.231958110095188e-14,7.231985848139186e-14,6.547942148973554e-14,6.547942235683349e-14,5.2415592086826386e-17,6.786204134177868e-20,2.870901477024935e-20,6.2215843769731766e-21,1.067097605574226e-18,5.358130295496101e-26,5.9236543563131535e-21,2.7659291294251613e-22,4.577067059569148e-22,1.397676380946047e-21,9.518293814367768e-26,5.133537384410135e-22,1.5781218349816352e-21,3.5336773098857516e-22,2.4872705682151536e-22,3.106188355572238e-22,1.50442098124676e-30,7.910780686088218e-19,2.773209231283979e-19,1.2598408660455229e-27,1.5481483616561558e-22,4.9234983818571914e-23,1.5220160589071095e-31,8.856649148871875e-23,1.0279620399640964e-23,3.377867937079365e-32,4.6862264570176755e-31,5.729704130088113e-27,2.776067766779739e-31
3.9390669741539815e-15,0.11224537200011886,0.9,0.0,0.0,0.0,0.0,0.09999999999894117,2.711805796030275e-13,2.7098515365312036e-13,1.873703316461598e-13,1.8737033650955548e-13,1.6228712777007814e-13,1.6228727157071327e-13,1.6228284585124544e-13,1.6228284624690452e-13,1.4470199415694564e-13,1.447028949065723e-13,1.3101573092196913e-13,1.310157344867017e-13,1.9514413279005128e-16,2.715426571207725e-19,1.1490966907484116e-19,2.4902225699131108e-20,2.1366395721244955e-18,4.289709839534755e-25,2.3708598748672747e-20,2.069788491424219e-21,1.8320196398500715e-21,5.5938988959610725e-21,7.619076907113158e-25,1.856157314217596e-21,3.1576117524883505e-21,1.2737209509411013e-21,9.014755320956707e-22,1.133531395893393e-21,1.0997615605310498e-29,1.2373716846658777e-18,9.003545380896645e-19,5.0455291067757406e-27,4.964249931473344e-22,3.2030601615577745e-22,1.8162077798726776e-30,3.2087417644590076e-22,7.476780908235238e-23,4.743415314043286e-31,7.724689311256969e-31,2.2933748683089457e-26,4.411129292130702e-31
7.879844355157356e-15,0.11224537200023775,0.9,0.0,0.0,0.0,0.0,0.09999999999788187,5.424789177887362e-13,5.417937554325316e-13,3.7482201557403183e-13,3.748220358920064e-13,3.2464443655186806e-13,3.246450126210237e-13,3.2463615154212216e-13,3.246361531343796e-13,2.8946682026672245e-13,2.89469416910472e-13,2.620883461366998e-13,2.6208836098183955e-13,6.840276996998933e-16,1.0859752480895557e-18,4.59778687347758e-19,9.963873288893562e-20,4.284714544073563e-18,3.4329877819844116e-24,9.4855642536609e-20,1.4640962454071844e-20,7.330464876467747e-21,2.237928899102637e-20,6.0963884448821516e-24,6.2064749794277695e-21,6.316582691660146e-21,4.238447581121507e-21,3.0255102130478842e-21,3.8457296177909605e-21,7.489744753090036e-29,1.6821026589756789e-18,2.5942780211884404e-18,2.0228804448173982e-26,1.4091623511572886e-21,1.8588253492343866e-21,1.8047094552714033e-29,1.0762669802023288e-21,5.068159266918676e-22,6.024543972256262e-30,1.2771268185086122e-30,9.176486842707413e-26,6.142092728251043e-31
1.1820621736160731e-14,0.11224537200035666,0.9,0.0,0.0,0.0,0.0,0.09999999999682256,8.137772623437288e-13,8.12442975049534e-13,5.622736942814383e-13,5.622737384765151e-13,4.870015302749048e-13,4.870027553588605e-13,4.869894527207675e-13,4.869894561159879e-13,4.3423164637428865e-13,4.342361635586494e-13,3.9316095770169406e-13,3.931609899457883e-13,1.331867171775341e-15,2.3072212687809812e-18,9.77109070411015e-19,2.1174875362183836e-19,6.444704999272733e-18,9.817019316700488e-24,2.0157540294654524e-19,3.911823701991886e-20,1.5578729497987183e-20,4.755526641488629e-20,1.7431885625836415e-23,1.1737509799348205e-20,9.475544886526106e-21,7.992273763810558e-21,5.734673296863327e-21,7.337657623823735e-21,1.9622160427983422e-28,1.9036895714791352e-18,4.511345555331104e-18,4.306620224723207e-26,2.4316591311867827e-21,4.513479547058774e-21,5.349011833508323e-29,2.039259652563101e-21,1.3251131998244074e-21,1.9913762215190277e-29,1.8582034797542797e-30,1.9501901964222417e-25,7.106367891399714e-31
1.5761399117164106e-14,0.11224537200047556,0.9,0.0,0.0,0.0,0.0,0.09999999999576326,1.0850756136112838e-12,1.082967559496427e-12,7.497253677683824e-13,7.497254444982e-13,6.493584089461238e-13,6.493604999938163e-13,6.493427493840691e-13,6.49342755191729e-13,5.789964724796441e-13,5.790030230050676e-13,5.242335656169521e-13,5.242336215453996e-13,2.103913483178351e-15,3.9350750341182725e-18,1.6668944736236017e-18,3.6123057697310686e-19,8.618896757414723e-18,2.0707791305934814e-23,3.438644058360294e-19,7.77843059392475e-20,2.6576813527543537e-20,8.111947409340618e-20,3.6767829186227405e-23,1.810598333362862e-20,1.2634498517670779e-20,1.2300074084215261e-20,8.862113072869685e-21,1.1399722425440586e-20,3.83966045029947e-28,2.0140951139666445e-18,6.539594445700092e-18,7.360804611146854e-26,3.5066449633457665e-21,8.3415389776744e-21,1.131358985084366e-28,3.1504677682465906e-21,2.5890439494201112e-21,4.599370898957279e-29,2.6193724502429033e-30,3.326962032137476e-25,7.6888874572716835e-31
2.3642953879170856e-14,0.11224537200071336,0.9,0.0,0.0,0.0,0.0,0.09999999999364466,1.6276723325978484e-12,1.6238035959270488e-12,1.1246287024901698e-12,1.1246288650802812e-12,9.740716615966263e-13,9.740759941579213e-13,9.740493321066104e-13,9.740493441763814e-13,8.685261246851669e-13,8.685368566242531e-13,7.863787728817607e-13,7.863788912725872e-13,3.8601285816019715e-15,8.144580681437007e-18,3.4511869734437772e-18,7.478982492973242e-19,1.3005834283953129e-17,5.656132626445068e-23,7.119132905746231e-19,1.9363140286877709e-19,5.502663947171951e-20,1.6792724314651476e-19,1.0041639828081493e-22,3.211086508231077e-20,1.8952386326537595e-20,2.1743927415247993e-20,1.5756436156979537e-20,2.042015673004853e-20,9.339214383242495e-28,2.124169457102185e-18,1.0706828931965442e-17,1.529533848818969e-25,5.7065128633395405e-21,1.882486047301716e-20,3.001721438604038e-28,5.599118500586344e-21,6.284397801320822e-21,1.3849017434678164e-28,4.7405661298192924e-30,6.8883932266904975e-25,8.474533929030697e-31
3.152450864117761e-14,0.1122453720009512,0.9,0.0,0.0,0.0,0.0,0.09999999999152606,2.1702690778885968e-12,2.164372339199662e-12,1.499532018014465e-12,1.499532299393934e-12,1.2987841234825085e-12,1.2987914963355071e-12,1.2987558982084822e-12,1.2987559187977685e-12,1.1580557768825607e-12,1.1580707912616458e-12,1.048523966725188e-12,1.0485241714889683e-12,5.882050366250893e-15,1.384814399288116e-17,5.869605387471671e-18,1.2719811570749479e-18,1.7457570897939526e-17,1.1834682231195546e-22,1.2107438024769713e-18,3.7420563052558767e-19,9.358853237743571e-20,2.8556195572385864e-19,2.100868106904964e-22,4.757560899880678e-20,2.5270244435530087e-20,3.2133034983517763e-20,2.339198909385001e-20,3.0500089113225843e-20,1.771489430230055e-27,2.1396063125994318e-18,1.496870084702237e-17,2.611301467809296e-25,7.947572079522921e-21,3.3775041283968614e-20,6.019626106733893e-28,8.309731318516514e-21,1.1901583385303523e-20,3.064484860984319e-28,7.920899755962362e-30,1.171568217148308e-24,8.937158458485533e-31
4.728761816519111e-14,0.11224537200142677,0.9,0.0,0.0,0.0,0.0,0.09999999998728885,3.2554626580081644e-12,3.24510577622095e-12,2.2493385860252155e-12,2.2493392151923757e-12,1.948206450946712e-12,1.948222529184664e-12,1.9481689758029133e-12,1.948169020876605e-12,1.7371150812506539e-12,1.7371387132638886e-12,1.572814310340922e-12,1.5728147679510095e-12,1.0324706302679384e-14,3.0157904268736875e-17,1.27884274789184e-17,2.7712997666178104e-18,2.6605066070397742e-17,3.736989179185847e-22,2.63779804400323e-18,9.790104830479876e-19,2.0391681304091527e-19,6.219588543374332e-19,6.631974340954115e-22,8.013443720432861e-20,3.790587349127859e-20,5.3933393165089545e-20,3.951059809479148e-20,5.1958451096387625e-20,4.478590685528545e-27,2.139390368061065e-18,2.3523534134638088e-17,5.750440983155247e-25,1.2441029772158372e-20,7.84669271167772e-20,1.6358763589230386e-27,1.402932079149191e-20,3.000840565677131e-20,1.0099953414855313e-27,1.845652735105122e-29,2.5526894846412988e-24,9.76704469854671e-31
6.147441673680326e-14,0.11224537200185483,0.9,0.0,0.0,0.0,0.0,0.09999999998347538,4.232136981885159e-12,4.2174835728800685e-12,2.9241644261964885e-12,2.924165493122094e-12,2.5326836200618393e-12,2.532710491513835e-12,2.532640684091476e-12,2.5326407595977205e-12,2.2582684551518567e-12,2.258299878713376e-12,2.0446755699305953e-12,2.044676345814047e-12,1.459948164753776e-14,5.036001789074385e-17,2.1361390292053505e-17,4.629043902771728e-18,3.5124269705838816e-17,7.877971912544375e-22,4.406019502023567e-18,1.8092817614493e-18,3.406309735973319e-19,1.0386036254778032e-18,1.3977996824619322e-21,1.104060922168746e-19,4.927784993962683e-20,7.415219468123118e-20,5.452721109705701e-20,7.207969418956809e-20,8.102922940309744e-27,2.128098694103919e-18,3.123398119591809e-17,9.698848216815282e-25,1.6488858255236718e-20,1.353675057457084e-19,3.0664794609960405e-27,1.9356108478486924e-20,5.420630121432273e-20,2.1240382639890863e-27,3.2853146309906396e-29,4.264116859172377e-24,1.0491873936870888e-30
7.566121530841541e-14,0.11224537200228288,0.9,0.0,0.0,0.0,0.0,0.0999999999796619,5.20881140327753e-12,5.189765413218195e-12,3.598990198834926e-12,3.598991822596805e-12,3.117158008289341e-12,3.117198485590734e-12,3.1171123338707224e-12,3.1171124477918087e-12,2.7794218290244616e-12,2.7794610609714613e-12,2.5165367823065985e-12,2.516537963096276e-12,1.896458393981765e-14,7.58110324944807e-17,3.2164291081329766e-17,6.969974420010957e-18,4.392727498659755e-17,1.4329942096789679e-21,6.634217630337547e-18,2.922713969512431e-18,5.129173289174322e-19,1.56339923017744e-18,2.542050486234121e-21,1.4083059707217455e-19,6.064975473085804e-20,9.445522439685421e-20,6.963096058606434e-20,9.237007424069397e-20,1.2879046681138133e-26,2.1234836476993693e-18,3.893775142244925e-17,1.4752972110823563e-24,2.0533734630483278e-20,2.0812944252820278e-19,4.985910993473671e-27,2.471313676255488e-20,8.605609731274267e-20,3.775895142475939e-27,5.212694608615621e-29,6.420847304220727e-24,1.1259804227624575e-30
