Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251)
3.0403490895672313e-15,0.11224537200009176,0.9,0.0,0.0,0.0,0.0,0.09999999999918274,2.0930937094200412e-13,2.0918910904980213e-13,1.4462085143064942e-13,1.4462085557337634e-13,1.2526053093199216e-13,1.2526061727610982e-13,1.2525720124958164e-13,1.252572014849295e-13,1.1168750850960141e-13,1.1168750850960141e-13,1.0112383529584716e-13,1.0112383819226853e-13,1.200931254217265e-16,1.6179169425096735e-19,6.845715244316199e-20,1.4835457038399257e-20,9.812019527380737e-22,1.9725162801506993e-25,1.4124645617778886e-20,9.810047011100587e-22,1.0914159666899788e-21,3.3330078966940793e-21
6.082018348083471e-15,0.11224537200018353,0.9,0.0,0.0,0.0,0.0,0.09999999999836513,4.1870963340788014e-13,4.182769018809744e-13,2.8930449543748385e-13,2.8930451201378276e-13,2.50575281221735e-13,2.505756267058154e-13,2.505687876327429e-13,2.5056878857902214e-13,2.234235135479501e-13,2.234235135479501e-13,2.0229157730441784e-13,2.022915888938758e-13,4.3205333414184884e-16,6.471037409962708e-19,2.739133347644714e-19,5.935995365696982e-20,7.111300583044033e-21,1.5785827628956035e-24,5.651214340471049e-20,7.109722000281138e-21,4.367085531160897e-21,1.3336122254070206e-20
9.12368760659971e-15,0.11224537200027529,0.9,0.0,0.0,0.0,0.0,0.09999999999754752,6.281099003716497e-13,6.272531623919025e-13,4.3398813633406564e-13,4.3398817156206653e-13,3.7588990338854166e-13,3.758906376053757e-13,3.7588037132927544e-13,3.758803733462152e-13,3.351595185853852e-13,3.351595185853852e-13,3.0345931713843054e-13,3.0345934176838673e-13,8.552929134320302e-16,1.3748695612940495e-18,5.821150446333529e-19,1.26150219751443e-19,1.9246646806209905e-20,4.514151534085657e-24,1.2009352412406134e-19,1.9242132654675824e-20,9.280945419932434e-21,2.834160511244158e-20
1.2165356865115949e-14,0.11224537200036706,0.9,0.0,0.0,0.0,0.0,0.09999999999672991,8.375101718333132e-13,8.361376513654139e-13,5.786717741203949e-13,5.786718342182246e-13,5.012043974356015e-13,5.012056499747906e-13,5.01191952337372e-13,5.011919557865089e-13,4.468955236219068e-13,4.468955236219068e-13,4.046270547978853e-13,4.0462709681580126e-13,1.3700498991655633e-15,2.3449742431652283e-18,9.930593645433282e-19,2.1520546856747054e-19,3.868594178074276e-20,9.522073471603826e-24,2.0486681237999385e-19,3.867641970727115e-20,1.5832995652219382e-20,4.834929185890329e-20
1.824869538214843e-14,0.11224537200055061,0.9,0.0,0.0,0.0,0.0,0.09999999999509468,1.2563107253129202e-12,1.2537393040723813e-12,8.680390423934813e-13,8.680391668245213e-13,7.518330848504122e-13,7.518356781632794e-13,7.518151080396818e-13,7.518151152060057e-13,6.703675336928057e-13,6.703675336928057e-13,6.069625250132407e-13,6.069626120103019e-13,2.5662898138613875e-15,4.853652783748187e-18,2.0560695698648383e-18,4.455680770487027e-19,9.786514476041893e-20,2.6008747136092378e-23,4.2414468838132506e-19,9.783913601328285e-20,3.278182861526105e-20,1.0010402100483658e-19
2.433203389918091e-14,0.11224537200073417,0.9,0.0,0.0,0.0,0.0,0.09999999999345945,1.6751112953328859e-12,1.6711214992501982e-12,1.1574062992290603e-12,1.1574065108595534e-12,1.0024613011497115e-12,1.002465711756947e-12,1.0024382538452306e-12,1.0024382660686637e-12,8.938395437603452e-13,8.938395437603452e-13,8.092979872319713e-13,8.092981351953438e-13,3.981045692684529e-15,8.252791118871234e-18,3.496876761367414e-18,7.578004327148714e-19,1.9166109445688296e-19,5.441997168791519e-23,7.213409478898106e-19,1.9160667448519506e-19,5.575487190299691e-20,1.7025227054084605e-19
3.6498710933245865e-14,0.11224537200110125,0.9,0.0,0.0,0.0,0.0,0.09999999999018899,2.5127124896855682e-12,2.505499260657465e-12,1.736140775343444e-12,1.7361412364574588e-12,1.5037161869016473e-12,1.503725796692998e-12,1.5036845129321747e-12,1.5036845396963127e-12,1.3407835638843925e-12,1.3407835638843925e-12,1.2139688854113141e-12,1.2139692078035695e-12,7.19407487602759e-15,1.79728710025136e-17,7.618923639426764e-18,1.651064215281065e-18,5.1488494981081305e-19,1.7184183114719512e-22,1.5715565955322243e-18,5.1471310797966575e-19,1.21482360266041e-19,3.709398483087786e-19
4.866538796731082e-14,0.11224537200146835,0.9,0.0,0.0,0.0,0.0,0.09999999998691854,3.3503137556334762e-12,3.339547787775348e-12,2.3148752019503808e-12,2.314876011524542e-12,2.0049690337293823e-12,2.004985905025455e-12,2.004930729134395e-12,2.0049307762855365e-12,1.7877275839938984e-12,1.7877275839938984e-12,1.61863974897713e-12,1.6186403149989898e-12,1.0732226230989666e-14,3.154314589715114e-17,1.3375990045977982e-17,2.898626762470047e-18,1.0287731514443307e-18,3.9085516082051495e-22,2.7589807177587227e-18,1.0283822962835105e-18,2.1328575171569555e-19,6.512282269746541e-19
6.083206500137578e-14,0.11224537200183542,0.9,0.0,0.0,0.0,0.0,0.09999999998364809,4.187915093423979e-12,4.173444441187229e-12,2.8936095788788187e-12,2.893610836231535e-12,2.50621983478137e-12,2.50624603683515e-12,2.506176902295597e-12,2.5061769757083627e-12,2.234671604088812e-12,2.234671604088812e-12,2.0233105778098256e-12,2.0233114569011063e-12,1.441811474583859e-14,4.8975431724318427e-17,2.077354843965876e-17,4.5016645600773424e-18,1.7457414141780137e-18,7.432079540142492e-22,4.2847601212112e-18,1.7449982062239995e-18,3.3125514406182997e-19,1.0113824651786242e-18
7.299874203544073e-14,0.11224537200220251,0.9,0.0,0.0,0.0,0.0,0.09999999998037763,5.025516503139529e-12,5.0072807249699085e-12,3.4723439060717407e-12,3.4723457106352116e-12,3.007468587909701e-12,3.0075061921490246e-12,3.0074230323672408e-12,3.007423137922136e-12,2.6816156241691176e-12,2.6816156241691176e-12,2.4279813718695397e-12,2.427982633549751e-12,1.816022662295831e-14,7.027312186074804e-17,2.981329862079073e-17,6.460536239928813e-18,2.672077147222946e-18,1.2615639535164315e-21,6.14927347042981e-18,2.6708155832694287e-18,4.754205707270948e-19,1.4514839000319976e-18
