Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286)
1.8387291029837307e-15,0.11224537200005548,0.9,0.0,0.0,0.0,0.0,0.09999999999950573,1.2658521011643207e-13,1.2653919812012798e-13,8.7463170213506e-14,8.746317124054615e-14,7.575453966274728e-14,7.57545709777606e-14,7.575250598162359e-14,7.575250606752967e-14,6.754588578047304e-14,6.754613146373367e-14,6.115723377105846e-14,6.115723461219609e-14,4.595082778141355e-17,5.920007158165593e-20,2.5044051534012895e-20,5.427344247844265e-21,9.966283117055087e-19,4.365586707275612e-26,5.167465659262769e-21,2.263982818696475e-22,3.9927606268752906e-22,1.2192560684830958e-21,7.753809113911883e-26,4.509813947902884e-22,1.473952728976382e-21,3.105038448046714e-22,2.184691057075948e-22,2.7269678314296146e-22,1.2334665340446997e-30,7.522332188954319e-19,2.4564252640709066e-19,1.0989818219685062e-27,1.3726856281378221e-22,4.073234470346371e-23,1.183102110995682e-31
3.679055711704198e-15,0.11224537200011098,0.9,0.0,0.0,0.0,0.0,0.09999999999901105,2.5328040015173275e-13,2.531083317092274e-13,1.750023277630129e-13,1.7500233199068515e-13,1.5157483309459304e-13,1.5157495852613514e-13,1.515708251691991e-13,1.5157082551419776e-13,1.3515045608325674e-13,1.351512620541583e-13,1.223676004809873e-13,1.223676039257949e-13,1.7182271842908466e-16,2.368866002743236e-19,1.0024048870333724e-19,2.1723255670302508e-20,1.9953713101458022e-18,3.4950839773371305e-25,2.068212726279377e-20,1.7010712890902363e-21,1.5981447923625285e-21,4.8798358516551815e-21,6.20732753718039e-25,1.6402415012047462e-21,2.949183419689865e-21,1.1259834084340241e-21,7.963807449570542e-22,1.000542476584789e-21,9.064655378886352e-30,1.1909151756624152e-18,8.057032728468761e-19,4.4010063990681646e-27,4.448510907206502e-22,2.67616389252941e-22,1.4330263785055453e-30
7.359708929145134e-15,0.11224537200022207,0.9,0.0,0.0,0.0,0.0,0.09999999999802167,5.066707852919865e-13,5.060630936479883e-13,3.50080638307997e-13,3.500806559473662e-13,3.0321523234699095e-13,3.032157348072979e-13,3.0320745961223193e-13,3.032074610002883e-13,2.7035959668725725e-13,2.7036194932776983e-13,2.4478833071667076e-13,2.447883449897664e-13,6.067025570352637e-16,9.473971603493925e-19,4.01084648830976e-19,8.691919480558006e-20,4.000327139780427e-18,2.7970656237569303e-24,8.274740738081557e-20,1.2115152645169728e-20,6.394660848631325e-21,1.952277218580349e-20,4.96705339746497e-24,5.535310836034088e-21,5.899637025123938e-21,3.782194277540864e-21,2.697182011045454e-21,3.4241075700362176e-21,6.225278622812127e-29,1.6430352186141762e-18,2.3510686032545956e-18,1.764082644140606e-26,1.2789619022740395e-21,1.5718358935641352e-21,1.4531531577905967e-29
1.1040362146586068e-14,0.11224537200033313,0.9,0.0,0.0,0.0,0.0,0.0999999999970323,7.600611759217635e-13,7.58872287827867e-13,5.251589442989573e-13,5.251589826514949e-13,4.548554439937466e-13,4.54856512520257e-13,4.548440901196533e-13,4.54844093079133e-13,4.055687372896908e-13,4.0557285669593304e-13,3.672090577681801e-13,3.67209088692729e-13,1.1867787032035959e-15,2.0128258992705473e-18,8.523749251694192e-19,1.8471785616463417e-19,6.015247651953481e-18,7.99853492685548e-24,1.7584485898282981e-19,3.248627161196584e-20,1.3589955513640063e-20,4.148556419486037e-20,1.4202912032783533e-23,1.052705840876095e-20,8.8500829729302e-21,7.172606445618456e-21,5.140743932616845e-21,6.5681636962655455e-21,1.6379486084246592e-28,1.8760201084076292e-18,4.115569048102185e-18,3.754939732550965e-26,2.221511583181355e-21,3.8370136737130924e-21,4.344916319166369e-29
1.4721015364027002e-14,0.11224537200044417,0.9,0.0,0.0,0.0,0.0,0.09999999999604292,1.013451572344689e-12,1.0115659924112597e-12,7.002372457358966e-13,7.002373123114921e-13,6.064954680405109e-13,6.064972918491652e-13,6.064807166887516e-13,6.064807217507322e-13,5.407778778905574e-13,5.407838780021711e-13,4.896297816355154e-13,4.896298351820099e-13,1.881971198646932e-15,3.43299573263565e-18,1.4541061483173202e-18,3.1511784573997734e-19,8.042111371883707e-18,1.6871936965552653e-23,2.9997147598206036e-19,6.47904063897733e-20,2.3184028805018013e-20,7.076629128980711e-20,2.995748775528043e-23,1.6311858553111123e-20,1.1800521404957788e-20,1.1088793439538342e-20,7.979739195317074e-21,1.0248557703654755e-20,3.216240177623746e-28,1.9960810534560762e-18,5.992993396079928e-18,6.416624729891632e-26,3.217768582612124e-21,7.117881275785584e-21,9.252411217821935e-29
2.208232179890887e-14,0.11224537200066628,0.9,0.0,0.0,0.0,0.0,0.09999999999406417,1.5202323794181785e-12,1.5167522961260825e-12,1.050393837921772e-12,1.0503939789971274e-12,9.097750758658743e-13,9.097788546961553e-13,9.097539605778583e-13,9.09753971097334e-13,8.111961590886133e-13,8.112060399665905e-13,7.344712218971247e-13,7.344713350090684e-13,3.4725814891268038e-15,7.105467265148304e-18,3.0106282511036334e-18,6.524268221780344e-19,1.2128471459934834e-17,4.608412611103056e-23,6.210412562334758e-19,1.6199950522520576e-19,4.800196203044429e-20,1.4649653531780015e-19,8.181777427620153e-23,2.911123124052329e-20,1.770138113979546e-20,1.9726713571255364e-20,1.4276608911459716e-20,1.8471457979965355e-20,7.86145561669539e-28,2.119304021038089e-18,9.864740912930281e-18,1.3328595872549474e-25,5.263411145738079e-21,1.6136297555843545e-20,2.477665598385702e-28
2.944362823379074e-14,0.1122453720008884,0.9,0.0,0.0,0.0,0.0,0.09999999999208542,2.027013209271674e-12,2.021683180358647e-12,1.4005504133608979e-12,1.4005506575507535e-12,1.2130539938661016e-12,1.213060424422825e-12,1.2130271899698397e-12,1.2130272079142788e-12,1.081614440280907e-12,1.08162830858424e-12,9.79312650449391e-13,9.793128458072889e-13,5.3172286330982245e-15,1.2081410369104824e-17,5.120332430976336e-18,1.1096109306626088e-18,1.626989266463489e-17,9.64248367224658e-23,1.0561993760651366e-18,3.1421109003866815e-19,8.164106000636703e-20,2.491214894366459e-19,1.7117725730561417e-22,4.3350407067260874e-20,2.3602214655697205e-20,2.929984001208796e-20,2.1302751581636236e-20,2.772940477386908e-20,1.4970305636205826e-27,2.1397554014821122e-18,1.383925985564351e-17,2.274699477563533e-25,7.354230203233977e-21,2.904209212110742e-20,5.003515719648356e-28
4.416624110355448e-14,0.1122453720013326,0.9,0.0,0.0,0.0,0.0,0.0999999999881279,3.0405749468024028e-12,3.0311417939759685e-12,2.1008635092486927e-12,2.100864055623843e-12,1.819609564955812e-12,1.8196235885254127e-12,1.819573601118611e-12,1.8195736404051582e-12,1.6224510026465732e-12,1.6224728974079008e-12,1.4689954691045377e-12,1.4689959049399298e-12,9.40511210979277e-15,2.6310462050267414e-17,1.1155983423273654e-17,2.4175494878375777e-18,2.4762254641379468e-17,3.0447784449393133e-22,2.3010978527237865e-18,8.278559709344928e-19,1.7788487886318787e-19,5.426048265776894e-19,5.403816178420371e-22,7.353440465742803e-20,3.5403803887135284e-20,4.95212484469384e-20,3.6238971881621635e-20,4.758523848314654e-20,3.810957827733409e-27,2.1419496326409314e-18,2.1827005735281308e-17,5.004518375567709e-25,1.1550342713771465e-20,6.775234290980324e-20,1.375988364817958e-27
5.741659268634185e-14,0.11224537200173239,0.9,0.0,0.0,0.0,0.0,0.09999999998456614,3.952780599158748e-12,3.939366303508467e-12,2.7311452335780364e-12,2.7311461606175816e-12,2.3655070267497802e-12,2.3655304646471474e-12,2.3654653174640023e-12,2.3654653832821974e-12,2.1092039087543515e-12,2.109233056526497e-12,1.9097099625649094e-12,1.9097107009081506e-12,1.3367295333227882e-14,4.3935236038063205e-17,1.8634659698137755e-17,4.0381709975569726e-18,3.265248208973404e-17,6.418734952180259e-22,3.843612508138811e-18,1.5368215960590787e-18,2.9714616707761136e-19,9.06110698919034e-19,1.1389643654682262e-21,1.0174431437419269e-19,4.602515338923229e-20,6.836908257907644e-20,5.022902387445276e-20,6.631373430884656e-20,6.923997782455065e-27,2.129272844802916e-18,2.903062802046586e-17,8.434028733558125e-25,1.5331952593424085e-20,1.1713849200537652e-19,2.596822225196777e-27
7.066694426912921e-14,0.1122453720021322,0.9,0.0,0.0,0.0,0.0,0.09999999998100438,4.86498633651667e-12,4.847485658163775e-12,3.3614268989957555e-12,3.3614283105368827e-12,2.9114020625811613e-12,2.9114373684053075e-12,2.911356982767417e-12,2.911357082082467e-12,2.595956814841859e-12,2.59599322240822e-12,2.3504244148342105e-12,2.350425537924981e-12,1.7429723771163e-14,6.613917744449682e-17,2.8058675929690177e-17,6.080315719867932e-18,4.0788835729125997e-17,1.1675637825294878e-21,5.787385772229589e-18,2.491391322732618e-18,4.474385183203889e-19,1.3639886597917278e-18,2.0713653564451653e-21,1.3015298040287226e-19,5.664643708209204e-20,8.732969182146449e-20,6.433019969902203e-20,8.524817852686584e-20,1.1039754572847844e-26,2.123649888495449e-18,3.6227195903963747e-17,1.2818902182522022e-24,1.911036483695653e-20,1.8036176710968722e-19,4.242915983280614e-27
