Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086),S(20),C7F15(34),H2(879),S(107),C2HF4(98),S(1286),S(466),CHF2(348),S(1313)
1.9048121821696096e-15,0.11224537200005749,0.9,0.0,0.0,0.0,0.0,0.09999999999948798,1.3113462443617593e-13,1.3108536963820137e-13,9.060655633917046e-14,9.06065574425901e-14,7.84771218512871e-14,7.847715545858015e-14,7.847501621897255e-14,7.847501631117627e-14,6.997345388244713e-14,6.997371550626854e-14,6.335519663538665e-14,6.335519744635231e-14,4.9189144540004166e-17,6.353108977730492e-20,2.6876533628680135e-20,5.824464440920823e-21,1.0324632553393195e-18,4.8533953543639746e-26,5.5455605973559784e-21,2.511057312334286e-22,4.284913843231753e-22,1.3084664018987745e-21,8.620198025145448e-26,4.822487228072053e-22,1.5269258639964532e-21,3.319933255956965e-22,2.3363650028911636e-22,2.9170253623397137e-22,1.3669128165877173e-30,7.72169396237617e-19,2.6156954481100826e-19,1.1794103339372569e-27,1.4609341713748997e-22,4.493194662999662e-23,1.3478796286221073e-31,8.31941865257819e-23,9.342599594400069e-24,2.974009753615357e-32
3.811279283698185e-15,0.112245372000115,0.9,0.0,0.0,0.0,0.0,0.09999999999897552,2.6238318148131483e-13,2.62199394373142e-13,1.8129183090776917e-13,1.812918354529451e-13,1.5702235830357656e-13,1.570224929193826e-13,1.570182108914899e-13,1.5701821126181503e-13,1.400077013818263e-13,1.400085551978445e-13,1.2676543574366808e-13,1.2676543907562866e-13,1.835233404656202e-16,2.542148545921541e-19,1.0757508270428273e-19,2.3312741713562904e-20,2.067204712650878e-18,3.885621458222502e-25,2.219536697748295e-20,1.8828077865707566e-21,1.7150822161072433e-21,5.236868792085144e-21,6.900899574597726e-25,1.748708194099971e-21,3.0551755220859272e-21,1.200210210271263e-21,8.491703766599745e-22,1.0673236287253318e-21,1.0018275237826234e-29,1.2149218359497473e-18,8.534541616913509e-19,4.7232533394979895e-27,4.708811618970819e-22,2.9371808281724452e-22,1.6201705893016908e-30,3.02263393842998e-22,6.812485139387433e-23,4.191005864356601e-31
7.624213486755335e-15,0.11224537200023005,0.9,0.0,0.0,0.0,0.0,0.09999999999795059,5.248803010478005e-13,5.242336417161149e-13,3.626623751577157e-13,3.6266239413454797e-13,3.1411262986964207e-13,3.141131691328635e-13,3.1410459601640083e-13,3.1410459750653616e-13,2.800761963785151e-13,2.800786727823752e-13,2.535859105434563e-13,2.5358592441080987e-13,6.45597476451171e-16,1.016687544021435e-18,4.304316986209722e-19,9.327897208063933e-20,4.144909876469054e-18,3.109604624985835e-24,8.880154812970524e-20,1.336279421852335e-20,6.862562862487456e-21,2.095104193455747e-20,5.522016376310884e-24,5.873537723932217e-21,6.1116665018144174e-21,4.012160665658078e-21,2.8626165986042453e-21,3.636461754927617e-21,6.85072147085301e-29,1.6634244488963119e-18,2.4742256259243823e-18,1.8934627553675986e-26,1.3449191059342797e-21,1.7144736424023664e-21,1.6258612934118947e-29,1.0183547450564882e-21,4.636803364843699e-22,5.3549035111539966e-30
1.1437147689812485e-14,0.11224537200034511,0.9,0.0,0.0,0.0,0.0,0.09999999999692566,7.873774265425713e-13,7.861152850094355e-13,5.440329145204176e-13,5.440329557901358e-13,4.71202700103477e-13,4.712038469052853e-13,4.711909769174014e-13,4.711909800947009e-13,4.201446913731344e-13,4.201490130978189e-13,3.8040638192647e-13,3.804064120404959e-13,1.2598768154915839e-15,2.160026821248686e-18,9.147420850975148e-19,1.9823332843701347e-19,6.233546627941653e-18,8.892272416358899e-24,1.887101862676744e-19,3.576586931615184e-20,1.4584342505554008e-20,4.452044774371462e-20,1.578974092690273e-23,1.113820085661878e-20,9.16814927960744e-21,7.586529417580687e-21,5.440564967059345e-21,6.956430689235202e-21,1.7985500168106045e-28,1.8905881834875916e-18,4.3163359265833526e-18,4.0307170371573975e-26,2.3281475545649594e-21,4.173684413310174e-21,4.8394344187499215e-29,1.934748723995647e-21,1.2148769716674394e-21,1.774896359343996e-29
1.5250081892869637e-14,0.11224537200046014,0.9,0.0,0.0,0.0,0.0,0.09999999999590073,1.0498745582893212e-12,1.0478767461364226e-12,7.25403448995878e-13,7.25403520641653e-13,6.282925690113635e-13,6.282945264336432e-13,6.282773535915784e-13,6.282773590263095e-13,5.602131863656842e-13,5.602194670240681e-13,5.072268498927092e-13,5.072269021218891e-13,1.993937538962351e-15,3.684041281432054e-18,1.5605004951319442e-18,3.38174261018252e-19,8.335247746015035e-18,1.8757159529339946e-23,3.2191804038548865e-19,7.122198048200771e-20,2.4880421165611618e-20,7.594295110443767e-20,3.330441885620359e-23,1.7219003212647927e-20,1.2224624016204659e-20,1.170136553428371e-20,8.425813244037397e-21,1.0830235123968573e-20,3.5253205351634166e-28,2.0056451789977744e-18,6.270552921419417e-18,6.888567470984002e-26,3.364492091260611e-21,7.727424808703188e-21,1.0269467849444032e-28,2.995487799151436e-21,2.3776721897696135e-21,4.10886256774415e-29
2.2875950298983937e-14,0.11224537200069021,0.9,0.0,0.0,0.0,0.0,0.09999999999385085,1.5748688371210641e-12,1.571192320466563e-12,1.0881445064767465e-12,1.0881446582959974e-12,9.424718343469496e-13,9.424758900310671e-13,9.42450097013372e-13,9.42450108307813e-13,8.403501763459267e-13,8.403604923701524e-13,7.608677778062278e-13,7.608678883647446e-13,3.668461853194111e-15,7.62503679715194e-18,3.2309081152816223e-18,7.00162671379354e-19,1.2574228208375017e-17,5.123339971242038e-23,6.664774843978057e-19,1.776770556011285e-19,5.151430074885241e-20,1.5721207603649402e-19,9.095827925413885e-23,3.0630805405507935e-20,1.8337555193135536e-20,2.074880371751556e-20,1.502615472610738e-20,1.9458027766458534e-20,8.595129155119557e-28,2.1219846101698198e-18,1.0292761361585494e-17,1.4311514123148833e-25,5.4886605539711735e-21,1.7476880464666006e-20,2.736896401335052e-28,5.3398416209035904e-21,5.7851525371458174e-21,1.241556684990978e-28
3.050181870509824e-14,0.1122453720009203,0.9,0.0,0.0,0.0,0.0,0.09999999999180098,2.0998631404935473e-12,2.0942462430345852e-12,1.450885545985494e-12,1.4508858087492332e-12,1.2566503593874053e-12,1.2566572610739657e-12,1.2566228248762858e-12,1.2566228441428556e-12,1.1204871663185587e-12,1.12050162225489e-12,1.0145086931550489e-12,1.0145088843852018e-12,5.603153396371144e-15,1.2964799206902462e-17,5.494969961678081e-18,1.1907963276720827e-18,1.6873119251310175e-17,1.0719893165980802e-22,1.1334719418935886e-18,3.439775311153932e-19,8.761479618668495e-20,2.673421133338277e-19,1.9030007432404414e-22,4.549385768005201e-20,2.4450458401176264e-20,3.07373619108843e-20,2.2362482773247147e-20,2.913419801732626e-20,1.6334402332437868e-27,2.1397392380489514e-18,1.4413554431692115e-17,2.442898213443728e-25,7.655944793980496e-21,3.1403523048089035e-20,5.507067250537463e-28,7.944353918362507e-21,1.0976877153164031e-20,2.7550000539109977e-28
4.575355551732684e-14,0.11224537200138049,0.9,0.0,0.0,0.0,0.0,0.09999999998770123,3.1498518309194266e-12,3.139950117132952e-12,2.1763675659888408e-12,2.1763681537241873e-12,1.885004978857883e-12,1.8850200297308168e-12,1.8849682294798333e-12,1.8849682716594666e-12,1.680761146238833e-12,1.6807839369001134e-12,1.5217904825946203e-12,1.521790910083166e-12,9.871606131177037e-15,2.823422906985483e-17,1.1972208774196629e-17,2.5944255233065346e-18,2.5697647291544657e-17,3.3849827174012496e-22,2.469448624553492e-18,9.02993311199942e-19,1.9090084593317983e-19,5.822830733385937e-19,6.007428956460556e-22,7.688765479440381e-20,3.66761822843839e-20,5.1763133338578683e-20,3.790103383262196e-20,4.9806320632489276e-20,4.1433431900954214e-27,2.140601235772997e-18,2.2689787255314548e-17,5.37711998195843e-25,1.2003307467801415e-20,7.31020137787411e-20,1.5051350992453459e-27,1.345830514143316e-20,2.776850311444356e-20,9.138036816218074e-28
5.948011864833257e-14,0.11224537200179464,0.9,0.0,0.0,0.0,0.0,0.09999999998401146,4.094841747477712e-12,4.080798181353902e-12,2.8293013174878155e-12,2.82930231442174e-12,2.4505213974848087e-12,2.4505465521193687e-12,2.450479036005489e-12,2.4504791066671215e-12,2.1850077281389187e-12,2.185038055782691e-12,1.97834404659582e-12,1.9783447715874774e-12,1.399310292105401e-14,4.714770008293219e-17,1.9998032000245047e-17,4.333609339075238e-18,3.39064915198219e-17,7.135914089405177e-22,4.124816992719275e-18,1.672413557815604e-18,3.188885702954881e-19,9.72359759686362e-19,1.2661775272765564e-21,1.0614785828292066e-19,4.7679248452044335e-20,7.130929835989835e-20,5.2414073288259297e-20,6.924449401053925e-20,7.511494457637092e-27,2.1286389691060674e-18,3.0151134215052387e-17,9.065643244569217e-25,1.5920289270654045e-20,1.2624311500566992e-19,2.830553112755182e-27,1.8606569879993742e-20,5.0260367554711936e-20,1.9293372469147657e-27
7.320668177933832e-14,0.11224537200220883,0.9,0.0,0.0,0.0,0.0,0.09999999998032169,5.039831755295854e-12,5.021545785651894e-12,3.482235005764561e-12,3.48223652335533e-12,3.0160352126843815e-12,3.0160731042007627e-12,3.015989787755377e-12,3.015989894372878e-12,2.689254310012232e-12,2.6892921897693843e-12,2.434897566396988e-12,2.434898669977883e-12,1.8209790103849192e-14,7.097521091485332e-17,3.0111496247247066e-17,6.525148505629636e-18,4.238030495451544e-17,1.2980164388525537e-21,6.210802997157025e-18,2.7062226175482633e-18,4.801779235402076e-19,1.4636986669412804e-18,2.3027009680355336e-21,1.3558271166888882e-19,5.868224579381899e-20,9.095320688415775e-20,6.702566670526008e-20,8.886944509074286e-20,1.1956931510542749e-26,2.12355270409987e-18,3.760560456177524e-17,1.3784448175465239e-24,1.9834195360252738e-20,1.9423345914656972e-19,4.613035621575107e-27,2.3789090842927747e-20,7.990976740682914e-20,3.44104020671036e-27
8.693324491034406e-14,0.11224537200262297,0.9,0.0,0.0,0.0,0.0,0.09999999997663192,5.984821854687313e-12,5.962260591634002e-12,4.135168630748921e-12,4.1351707807064925e-12,3.5815464218447468e-12,3.5815996861947637e-12,3.581500484675739e-12,3.5815006347242452e-12,3.193500891858744e-12,3.1935463410455964e-12,2.8914510419490757e-12,2.8914526054087184e-12,2.245399690241498e-14,9.972109343538671e-17,4.2314664606262434e-17,9.169476626590567e-18,5.11239572795959e-17,2.1370493692986778e-21,8.727876993828017e-18,4.009164817923754e-18,6.748058638915072e-19,2.0563182352807083e-18,3.790407989506202e-21,1.6498021132196948e-19,6.968518542227686e-20,1.1056668367311432e-19,8.162251731596249e-20,1.084945600663308e-19,1.7487411906587734e-26,2.1232200032322234e-18,4.505532073550483e-17,1.9565868836968366e-24,2.374620877212924e-20,2.7708833977260955e-19,6.856853081483722e-27,2.89661516928179e-20,1.1676440054798804e-19,5.495385810982831e-27
1.1438637117235554e-13,0.11224537200345129,0.9,0.0,0.0,0.0,0.0,0.09999999996925238,7.874802511558349e-12,7.84366504702013e-12,5.441035564081513e-12,5.441039537575381e-12,4.712555806244291e-12,4.712652999934873e-12,4.7125216043750874e-12,4.712521878524687e-12,4.201994055417686e-12,4.202054752753572e-12,3.804557771686068e-12,3.804560661579643e-12,3.0941160122345016e-14,1.8180809100162393e-16,7.717211935085087e-17,1.6722473352460125e-17,6.99718575176632e-17,5.64929255983894e-21,1.5918628418542235e-17,7.970564299363431e-18,1.2308464975295666e-18,3.747072988148053e-18,1.0012541635829048e-20,2.236188741930136e-19,9.169091746402999e-20,1.496925645641595e-19,1.1073729232905943e-19,1.4763881400861016e-19,3.3977789301264267e-26,2.1236666178916253e-18,5.99536380606983e-17,3.683923116606059e-24,3.156998003160639e-20,5.171525123315823e-19,1.3652058132486454e-26,3.929234137818106e-20,2.265202956921296e-19,1.255140473784412e-26
1.692926236963785e-13,0.11224537200510792,0.9,0.0,0.0,0.0,0.0,0.09999999995449331,1.1654765291013847e-11,1.1606415601331806e-11,8.052768417330024e-12,8.05277782607961e-12,6.974532880680401e-12,6.974760106438183e-12,6.9745629674314664e-12,6.974563607902669e-12,6.218980382106434e-12,6.219071929845979e-12,5.630770522658478e-12,5.630777366803192e-12,4.788938357395327e-14,4.2464168364370043e-16,1.803167863278415e-16,3.9070313684038876e-17,1.120333874707167e-16,2.2061271852226306e-20,3.7202435525201174e-17,2.023312837299173e-17,2.8767347161168035e-18,8.739227528132524e-18,3.9036071104113687e-20,3.4082641609898903e-19,1.3570280329576312e-19,2.27904533246773e-19,1.6892801232849722e-19,2.258570439992757e-19,8.432415174083871e-26,2.123726182518994e-18,8.975109700437281e-17,9.215270613674324e-24,4.7217851556563e-20,1.235256532479987e-18,3.46204417320124e-26,5.99311928994188e-20,5.613261348924775e-19,3.6447463497042684e-26
2.791051287444244e-13,0.11224537200842126,0.9,0.0,0.0,0.0,0.0,0.09999999992497516,1.9214696712517783e-11,1.913159249840545e-11,1.3276230070163513e-11,1.3276257501857224e-11,1.1498320401800493e-11,1.1498976235276952e-11,1.1498642195520493e-11,1.1498644033768779e-11,1.0252953033767379e-11,1.0253107695470798e-11,9.283193190599197e-12,9.283213148632041e-12,8.17726193564109e-14,1.2245391513068149e-15,5.201882027459033e-16,1.1269647359138683e-16,2.1367935686126445e-16,1.1674042932530864e-19,1.0737885544211005e-16,6.211055127938266e-17,8.303739862731747e-18,2.5116061918126137e-17,2.058601435662173e-19,5.752191969085019e-19,2.2373446515712447e-19,3.8431614707273924e-19,2.8529670185814744e-19,3.822685631224886e-19,2.544708718198802e-25,2.1237306265005244e-18,1.4934609382161187e-16,3.0314958883780126e-23,7.851365448735624e-20,3.6233690915726764e-18,1.0606457118483117e-25,1.0120447232377688e-19,1.692064620209614e-18,1.2360115918316767e-25
3.7793638328766577e-13,0.11224537201140322,0.9,0.0,0.0,0.0,0.0,0.09999999989840883,2.6018639727397945e-11,2.5903981845439002e-11,1.797734228334392e-11,1.797739171299052e-11,1.5569594683590875e-11,1.5570772298736072e-11,1.5570310680481687e-11,1.5570313967213838e-11,1.3883528418875676e-11,1.3883741024542072e-11,1.2570371302562949e-11,1.2570407267765189e-11,1.12265130911519e-13,2.197975342936707e-15,9.338759958891405e-16,2.023023213830103e-16,3.1936157493790313e-16,2.6934742173078523e-19,1.9283851751013377e-16,1.138155572898421e-16,1.4912789442151305e-17,4.4983119966106e-17,4.741461258978157e-19,7.861712349349376e-19,3.0297380131787074e-19,5.250858123951638e-19,3.9002764112041843e-19,5.230370054091912e-19,4.637042686538513e-25,2.1237311445128332e-18,2.0298156680346776e-16,5.865850885276066e-23,1.066798932980939e-19,6.541577638811511e-18,1.9419876379324016e-25,1.3835011980157193e-19,3.0822042549228548e-18,2.338684893541437e-25
4.767676378309071e-13,0.1122453720143852,0.9,0.0,0.0,0.0,0.0,0.0999999998718425,3.2822587754731117e-11,3.26760848005262e-11,2.2678451030673728e-11,2.267852857329674e-11,1.9640726743347837e-11,1.9642570000191328e-11,1.9641976186476298e-11,1.964198130756079e-11,1.7514103802516335e-11,1.751437556028783e-11,1.5857546991475374e-11,1.5857603414399244e-11,1.4275620717389624e-13,3.4394117647508096e-15,1.4615527371464562e-15,3.1658349885261766e-16,4.401318122860742e-16,5.143779396190207e-19,3.0190284424034644e-16,1.803547536858873e-16,2.334744703301563e-17,7.023507538673616e-17,9.038654097412328e-19,9.971232856896854e-19,3.822300418039354e-19,6.658554829704483e-19,4.947585595678227e-19,6.638053119366683e-19,7.323197642136326e-25,2.123731571523369e-18,2.5661701214053015e-16,9.841840547367348e-23,1.3484614802593473e-19,1.0273659256393479e-17,3.07561249126154e-25,1.7549576080486205e-19,4.86660099606179e-18,3.778340506816892e-25
5.755988923741485e-13,0.11224537201736713,0.9,0.0,0.0,0.0,0.0,0.09999999984527616,3.9626540516854515e-11,3.944791740792908e-11,2.7379556504142533e-11,2.7379667935921005e-11,2.3711724565688098e-11,2.3714369248904498e-11,2.3713638883629393e-11,2.371364619845297e-11,2.1144679184770652e-11,2.1145011235867248e-11,1.9144720391560566e-11,1.914480147622097e-11,1.7324603863705712e-13,4.933712701124191e-15,2.096806809387866e-15,4.541469328027046e-16,5.752005613852392e-16,8.639703245473917e-19,4.332639799408769e-16,2.6090585782675066e-16,3.350658553148011e-17,1.0053876207213217e-16,1.5156589354161466e-18,1.2080754614547252e-18,4.615067146627313e-19,8.066252173717976e-19,5.994895257962436e-19,8.045736407747969e-19,1.057027962555637e-24,2.1237320375857542e-18,3.1025243248559576e-16,1.5020868792724581e-22,1.6301241774932155e-19,1.4774530652301e-17,4.447545412760978e-25,2.1264141892585365e-19,7.023415551559907e-18,5.536324773269493e-25
7.732614014606312e-13,0.11224537202333115,0.9,0.0,0.0,0.0,0.0,0.09999999979214348,5.323445683869536e-11,5.2990966870323476e-11,3.678175998510669e-11,3.678195236735257e-11,3.1853414391325116e-11,3.1857971274815726e-11,3.185695788706013e-11,3.185697039430427e-11,2.840582994611776e-11,2.840628518640116e-11,2.571906197210698e-11,2.5719201967409624e-11,2.3422293130844595e-13,8.498130575986185e-15,3.612362286122641e-15,7.822929548264684e-16,8.780785142487481e-16,1.85139223610504e-18,7.468328531957652e-16,4.539603731460953e-16,5.775751144894624e-17,1.7256656708843669e-16,3.239246230264023e-18,1.629980153930645e-18,6.201195947660409e-19,1.0881648603430737e-18,8.089516009947505e-19,1.0861104276704695e-18,1.83436279649067e-24,2.1237330970528216e-18,4.1752321975723115e-16,2.8483785960031108e-22,2.1934499138011433e-19,2.5529485581273168e-17,7.734868779001233e-25,2.869327858293218e-19,1.21863372572238e-17,9.778246750715293e-25
