Time (s),Volume (m^3),O2,Ar,He,Ne,N2,PFOA(1),C2F5(28),S(27),C5F11(24),S(23),S(25),C3F7(26),S(21),C4F9(22),C7HF15(3),CO2(2),C6F13(30),S(29),S(52),S(53),S(165),S(164),H(19),S(825),C2F4(54),S(689),CF3(32),S(251),S(1113),S(66),S(39),S(119),S(481),S(189),S(1086)
1.6988688130225392e-15,0.11224537200005126,0.9,0.0,0.0,0.0,0.0,0.09999999999954334,1.1695668775729002e-13,1.1691719904577145e-13,8.081040976649644e-14,8.081041079309778e-14,6.999238153384528e-14,6.999240826458055e-14,6.999050039294804e-14,6.999050046626246e-14,6.240810493199506e-14,6.240810493199506e-14,5.650539660479155e-14,5.6505397321444347e-14,3.9436510042111324e-17,5.0537823716792624e-20,2.1379084344685107e-20,4.633103052649704e-21,1.7955450035327542e-22,3.443255711015123e-26,4.411270554529976e-21,1.7945891167084539e-22,3.408454194177427e-22,1.0408342860666683e-21,6.115665144992405e-26,3.8792954960361635e-22,5.261300215272047e-31,2.67158067254697e-22,1.8788955222922397e-22,2.344005692006582e-22,9.795099887594096e-31
3.3992136198009625e-15,0.11224537200010257,0.9,0.0,0.0,0.0,0.0,0.09999999999908628,2.3401498985244247e-13,2.338666140803579e-13,1.6169102710796127e-13,1.6169103131114617e-13,1.4004551976574483e-13,1.400456268305746e-13,1.4004180809689383e-13,1.4004180839126378e-13,1.2487043063244717e-13,1.2487043063244717e-13,1.1305988474231611e-13,1.1305988767359987e-13,1.4816611668943668e-16,2.0222864762270407e-19,8.557127668187666e-20,1.854427710629913e-20,1.3551383227814894e-21,2.7566691740873156e-25,1.7655612445793384e-20,1.3543730704078632e-21,1.364269944894937e-21,4.165761040879917e-21,4.895934134420594e-25,1.4200329077792233e-21,7.957224550640892e-30,9.75223561094295e-22,6.892428895747142e-22,8.651382226971852e-22,7.240128805259465e-30
6.799903233357809e-15,0.11224537200020517,0.9,0.0,0.0,0.0,0.0,0.09999999999817216,4.681315983077934e-13,4.676033471488645e-13,3.2345225790307506e-13,3.2345227531322827e-13,2.801516360728279e-13,2.8015206493715843e-13,2.8014442014860463e-13,2.8014442133264203e-13,2.4979508203220943e-13,2.4979508203220943e-13,2.2616885829916774e-13,2.261688704279798e-13,5.274075011469514e-16,8.088077299937815e-19,3.423903570228217e-19,7.419958841730087e-20,9.724872612663093e-21,2.2061266644953862e-24,7.063891551264696e-20,9.718748871934705e-21,5.458856821402923e-21,1.666616124775629e-20,3.9177286760058835e-24,4.841560887524816e-21,1.1461211160252041e-28,3.3102189425130804e-21,2.3580102759563237e-21,2.9893363257547983e-21,5.018741886238766e-29
1.0200592846914655e-14,0.11224537200030778,0.9,0.0,0.0,0.0,0.0,0.09999999999725805,7.022482113828625e-13,7.012094436873223e-13,4.852134848103731e-13,4.852135225276183e-13,4.202575922276522e-13,4.2025850422611165e-13,4.2024702884122613e-13,4.2024703136539584e-13,3.747197334308297e-13,3.747197334308297e-13,3.3927782913782193e-13,3.3927785540299423e-13,1.036968703744953e-15,1.7184029935840569e-18,7.276400556166162e-19,1.576867633844956e-19,2.618197937066498e-20,6.308682431383827e-24,1.5011369463573206e-19,2.6164468573839772e-20,1.1601181531622265e-20,3.541559284485344e-20,1.12025161487294e-23,9.265737667146036e-21,4.0175490544835297e-28,6.317751877415893e-21,4.5222727608372086e-21,5.768483608711698e-21,1.3268402401790582e-28
1.3601282460471502e-14,0.11224537200041039,0.9,0.0,0.0,0.0,0.0,0.09999999999634393,9.36364829339645e-13,9.34710245994346e-13,6.469747078298555e-13,6.469747731346036e-13,5.603633882346749e-13,5.603649448551684e-13,5.603496341724586e-13,5.603496384895254e-13,4.996443848283081e-13,4.996443848283081e-13,4.5238679725827873e-13,4.5238684272553e-13,1.6515059119116812e-15,2.930866066774383e-18,1.2413162951784177e-18,2.690047025034398e-19,5.2393325954447957e-20,1.330741060544506e-23,2.5607741542249354e-19,5.2356390485514755e-20,1.9791244088316574e-20,6.041254089235602e-20,2.3629034688626895e-23,1.443056786401331e-20,9.76360864336433e-28,9.817530209575444e-21,7.055143380238234e-21,9.044845562917649e-21,2.615527407526954e-28
2.0402661687585195e-14,0.11224537200061559,0.9,0.0,0.0,0.0,0.0,0.09999999999451568,1.404598077269364e-12,1.4015248156027177e-12,9.704971447443552e-13,9.704972826912415e-13,8.405746044054605e-13,8.405778296063396e-13,8.405548369406593e-13,8.405548459114214e-13,7.494936876205846e-13,7.494936876205846e-13,6.786047271197495e-13,6.786048231531704e-13,3.066864896776383e-15,6.066243746471377e-18,2.5700653557054295e-18,5.569542697422291e-19,1.3166205216180108e-19,3.6348008701005725e-23,5.30166763363172e-19,1.3156117279436427e-19,4.0977284608170985e-20,1.2506427762887133e-19,6.453454618708692e-23,2.593942536346059e-20,3.1874512917189637e-27,1.7591889673258008e-20,1.271290514770206e-20,1.6416585303874667e-20,6.4290026190958385e-28
2.7204040914698888e-14,0.11224537200082081,0.9,0.0,0.0,0.0,0.0,0.09999999999268744,1.8728313444682375e-12,1.86809851371627e-12,1.2940195673619709e-12,1.2940198056171275e-12,1.1207852316926856e-12,1.1207907201137025e-12,1.1207600273351167e-12,1.120760042637269e-12,9.993429904086616e-13,9.993429904086616e-13,9.048226469854398e-13,9.048228128586155e-13,4.721916435383905e-15,1.031448682072019e-17,4.371050743068446e-18,9.472383497395966e-19,2.5643054084374785e-19,7.605342184767182e-23,9.016507313380225e-19,2.562194761655613e-19,6.969358767938659e-20,2.1267778114727763e-19,1.3501879250111205e-22,3.885457562895323e-20,7.536162243443387e-27,2.6282909765851134e-20,1.9081038294736645e-20,2.4788607184445038e-20,1.2297534883117653e-27
4.080679936892627e-14,0.11224537200123125,0.9,0.0,0.0,0.0,0.0,0.09999999998903096,2.8092979449787255e-12,2.8008472315792934e-12,1.941064365651236e-12,1.9410648972517928e-12,1.6812045527638353e-12,1.6812165219394006e-12,1.681170367463134e-12,1.681170400966881e-12,1.4990415959710265e-12,1.4990415959710265e-12,1.3572584538941732e-12,1.3572588241493951e-12,8.426803528770065e-15,2.2462621991886292e-17,9.523511798178377e-18,2.0637917748817333e-18,6.812247285920303e-19,2.401525521815046e-22,1.9643890032310384e-18,6.805583610547945e-19,1.5185294484386778e-19,4.632405695410345e-19,4.262446303038802e-22,6.646307240854255e-20,2.964524964564518e-26,4.4791802610904513e-20,3.2735092244215277e-20,4.290757213790133e-20,3.1559809692479362e-27
5.304928197773092e-14,0.11224537200160063,0.9,0.0,0.0,0.0,0.0,0.09999999998574012,3.652117960820374e-12,3.640028536107748e-12,2.5234046312073747e-12,2.523405531883342e-12,2.185579762971844e-12,2.185599767675455e-12,2.1855396277483413e-12,2.185539683883865e-12,1.9487703409616157e-12,1.9487703409616157e-12,1.7644506431236393e-12,1.764451270684107e-12,1.204934580317673e-14,3.750981978986706e-17,1.590787098710915e-17,3.447282421214891e-18,1.2713996612776302e-18,5.062700076400932e-22,3.2811920517124273e-18,1.269995048042473e-18,2.5366136090954074e-19,7.735962203733923e-19,8.984132224386423e-22,9.243595252653306e-20,6.999492164083231e-26,6.215270065537586e-20,4.5610985535808584e-20,6.012336894555712e-20,5.762554083557319e-27
6.529176458653557e-14,0.11224537200196999,0.9,0.0,0.0,0.0,0.0,0.09999999998244928,4.4949380491389925e-12,4.479094791341868e-12,3.1057448464700027e-12,3.1057462166210607e-12,2.6899529021609366e-12,2.689983036929969e-12,2.6899088444599077e-12,2.689908929174337e-12,2.3984990859374318e-12,2.3984990859374318e-12,2.1716427971899954e-12,2.171643752214928e-12,1.5782747513026414e-14,5.6466404301585e-17,2.395295506781594e-17,5.190628515794297e-18,2.0699878783047634e-18,9.209045637571739e-22,4.94053509046068e-18,2.067433193621467e-18,3.8195970838176933e-19,1.1645389092825596e-18,1.6339184961526713e-21,1.1866385680259483e-19,1.3837661413297238e-25,7.966179283458793e-20,5.86271291195628e-20,7.758858924890882e-20,9.222488851886248e-27
7.753424719534021e-14,0.11224537200233937,0.9,0.0,0.0,0.0,0.0,0.09999999997915844,5.337758210267932e-12,5.3181161958420205e-12,3.6880850113833084e-12,3.688086951675709e-12,3.194323968229543e-12,3.194366329941857e-12,3.194278017552254e-12,3.1942781367965432e-12,2.848227830898459e-12,2.848227830898459e-12,2.5788349160542204e-12,2.578836268914264e-12,1.9556801751748536e-14,7.933579873303048e-17,3.366042705219507e-17,7.294180879273979e-18,3.0819282625680597e-18,1.5161801202932072e-21,6.942790703251919e-18,3.0777227115067374e-18,5.367773856980705e-19,1.6360913899583494e-18,2.68961362924726e-21,1.4489414442326878e-19,2.426882183665574e-25,9.716389099905445e-20,7.165010649200208e-20,9.509068922869092e-20,1.3544393610587043e-26
1.020192124129495e-13,0.11224537200307813,0.9,0.0,0.0,0.0,0.0,0.09999999997257678,7.02339875122157e-12,6.9961351724333225e-12,4.852765190069559e-12,4.8527685728891976e-12,4.203059878278021e-12,4.2031329874640946e-12,4.203016232841711e-12,4.2030164389670266e-12,3.74768532077612e-12,3.74768532077612e-12,3.3932190481116806e-12,3.3932214079642116e-12,2.71161365957679e-14,1.3681666005560085e-16,5.806459993587788e-17,1.2582299678398494e-17,5.7540153177251226e-18,3.424121910570896e-21,1.1976655061826264e-17,5.744520041269387e-18,9.260194163649185e-19,2.8208087234487257e-18,6.071757679254312e-21,1.9723070146622187e-19,6.031340901943922e-25,1.32084978886225e-19,9.763538768184345e-20,1.300228383581811e-19,2.4780856949184976e-26
1.509891428481681e-13,0.11224537200455567,0.9,0.0,0.0,0.0,0.0,0.09999999995941344,1.0394681290510544e-11,1.0352084293280501e-11,7.182124539775702e-12,7.1821328222625385e-12,6.220490232229372e-12,6.220666778815278e-12,6.220491791568454e-12,6.22049228943389e-12,5.54660030023546e-12,5.54660030023546e-12,5.021986607708616e-12,5.021992390119647e-12,4.223963554544017e-14,3.3001681475969455e-16,1.401209578188481e-16,3.036154215828101e-17,1.5432018158325228e-17,1.4798969156302022e-20,2.890712091839895e-17,1.539102271521101e-17,2.2352486194319684e-18,6.795329188886025e-18,2.619951383393045e-20,3.0175959068432945e-19,3.0398760152832126e-24,2.0183522680047237e-19,1.4953242162845125e-19,1.997864211557273e-19,6.452157731098249e-26
1.999590732833867e-13,0.11224537200603317,0.9,0.0,0.0,0.0,0.0,0.09999999994625011,1.3765964995655872e-11,1.3707976998062131e-11,9.51148308330545e-12,9.511497877146321e-12,8.237887428529887e-12,8.23820095116319e-12,8.237966653615469e-12,8.237967536769002e-12,7.345515279458002e-12,7.345515279458002e-12,6.650753603660886e-12,6.650763935494241e-12,5.735239028145537e-14,5.857644453140507e-16,2.487615573580817e-16,5.389929311452764e-17,2.8585781033947935e-17,3.499215376578073e-20,5.132802450893608e-17,2.848891002088704e-17,3.969097038541528e-18,1.2048249355769516e-17,6.188641264087654e-20,4.062848030382362e-19,7.553345762898608e-24,2.715852040360264e-19,2.014261653364029e-19,2.6953824356321404e-19,1.1807426177580472e-25
2.9789893415382386e-13,0.11224537200898825,0.9,0.0,0.0,0.0,0.0,0.09999999991992344,2.050853706935564e-11,2.041950051471582e-11,1.4170196945661593e-11,1.4170231208848705e-11,1.227254929671349e-11,1.2273270819800608e-11,1.2272913596191905e-11,1.2272915618913436e-11,1.0943345236955898e-11,1.0943345236955898e-11,9.90828534098832e-12,9.908309279106479e-12,8.757144429584999e-14,1.347159989943979e-15,5.72282582360812e-16,1.2398264995081148e-16,6.884071647093405e-17,1.2789149971858728e-19,1.1813128805950453e-16,6.84872746209831e-17,9.135271382402647e-18,2.7632224678380508e-17,2.255796392316672e-19,6.153340447023815e-19,2.928899932157218e-23,4.1108515282019023e-19,3.052125120226011e-19,4.090372949581769e-19,2.8042660538960163e-25
